,ROC_daily_60
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,4.6202
2001-04-30,2.9862
2001-05-31,7.6000
2001-06-29,12.8199
2001-07-31,-6.6290
2001-08-31,-12.8685
2001-09-28,-11.9359
2001-10-31,-12.7467
2001-11-30,-3.1708
2001-12-31,23.1224
2002-01-31,19.2852
2002-02-28,16.9108
2002-03-29,0
2002-04-30,-0.9290
2002-05-31,-4.8319
2002-06-28,-10.7132
2002-07-31,0.4472
2002-08-30,4.2832
2002-09-30,2.6145
2002-10-31,3.8642
2002-11-29,-3.5371
2002-12-31,4.6769
2003-01-31,-8.4707
2003-02-28,-6.3159
2003-03-31,-7.5672
2003-04-30,-0.9113
2003-05-30,17.8035
2003-06-30,8.5595
2003-07-31,7.7189
2003-08-29,-5.9064
2003-09-30,-2.1806
2003-10-31,11.9534
2003-11-28,11.5641
2003-12-31,10.4374
2004-01-30,13.9229
2004-02-27,14.0692
2004-03-31,9.4368
2004-04-30,5.1426
2004-05-31,0
2004-06-30,-1.0924
2004-07-30,-4.1772
2004-08-31,-1.6883
2004-09-30,6.4673
2004-10-29,16.2058
2004-11-30,13.8821
2004-12-31,14.9180
2005-01-31,5.9384
2005-02-28,3.2262
2005-03-31,-2.7602
2005-04-29,-6.2298
2005-05-31,-8.6145
2005-06-30,3.5341
2005-07-29,1.2557
2005-08-31,9.8670
2005-09-30,11.7663
2005-10-31,4.0201
2005-11-30,9.9948
2005-12-30,12.8838
2006-01-31,2.3780
2006-02-28,-0.1129
2006-03-31,11.1926
2006-04-28,7.9728
2006-05-31,-4.6785
2006-06-30,-12.3563
2006-07-31,0.9559
2006-08-31,8.8078
2006-09-29,12.7149
2006-10-31,14.0224
2006-11-30,19.2836
2006-12-29,16.9554
2007-01-31,5.1028
2007-02-28,-3.6670
2007-03-30,-5.9920
2007-04-30,-3.1846
2007-05-31,9.5477
2007-06-29,10.5918
2007-07-31,-10.3337
2007-08-31,-28.8894
2007-09-28,-23.9992
2007-10-31,-12.0060
2007-11-30,-0.9378
2007-12-31,-16.9480
2008-01-31,-9.3405
2008-02-29,-16.1665
2008-03-31,-15.2145
2008-04-30,-5.4479
2008-05-30,3.2896
2008-06-30,4.0524
2008-07-31,0.2062
2008-08-29,-4.5280
2008-09-30,-16.3267
2008-10-31,-35.6458
2008-11-28,-41.5693
2008-12-31,-10.0337
2009-01-30,-15.0478
2009-02-27,-9.9199
2009-03-31,-6.0212
2009-04-30,30.8039
2009-05-29,60.9640
2009-06-30,24.2510
2009-07-31,-4.7973
2009-08-31,10.1016
2009-09-30,-12.2820
2009-10-30,-2.9107
2009-11-30,4.0258
2009-12-31,29.9218
2010-01-29,25.2027
2010-02-26,14.9231
2010-03-31,6.7859
2010-04-30,-4.5072
2010-05-31,0
2010-06-30,-20.0962
2010-07-30,-3.0240
2010-08-31,1.5761
2010-09-30,20.2675
2010-10-29,23.3088
2010-11-30,17.0061
2010-12-31,9.0117
2011-01-31,3.7492
2011-02-28,11.1453
2011-03-31,7.6518
2011-04-29,10.8462
2011-05-31,12.0437
2011-06-30,7.6032
2011-07-29,2.6670
2011-08-31,1.9613
2011-09-30,-4.1631
2011-10-31,2.4863
2011-11-30,7.1379
2011-12-30,10.6806
2012-01-31,10.2228
