,ROC_daily_60
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,0
2010-08-31,0
2010-09-30,0
2010-10-29,0
2010-11-30,0
2010-12-31,0
2011-01-31,0
2011-02-28,0
2011-03-31,0
2011-04-29,0
2011-05-31,0
2011-06-30,0
2011-07-29,0
2011-08-31,0
2011-09-30,0
2011-10-31,0
2011-11-30,0
2011-12-30,0
2012-01-31,0
2012-02-29,0
2012-03-30,0
2012-04-30,0
2012-05-31,0
2012-06-29,0
2012-07-31,0
2012-08-31,0
2012-09-28,0
2012-10-31,0
2012-11-30,0
2012-12-31,5.9726
2013-01-31,20.5740
2013-02-28,18.5399
2013-03-29,0
2013-04-30,12.2134
2013-05-31,-5.2161
2013-06-28,-4.2318
2013-07-31,-1.2498
2013-08-30,7.6219
2013-09-30,4.1881
2013-10-31,5.4261
2013-11-29,10.7298
2013-12-31,6.7727
2014-01-31,12.9653
2014-02-28,10.5958
2014-03-31,8.5464
2014-04-30,25.0779
2014-05-30,28.8190
2014-06-30,31.4154
2014-07-31,22.3603
2014-08-29,24.9396
2014-09-30,15.8880
2014-10-31,-9.5028
2014-11-28,-11.2087
2014-12-31,-8.3445
2015-01-30,11.7355
2015-02-27,18.6306
2015-03-31,5.7483
2015-04-30,2.3538
2015-05-29,-9.1043
2015-06-30,-8.5670
2015-07-31,-21.1888
2015-08-31,-8.7149
2015-09-30,-23.3500
2015-10-30,-3.2000
2015-11-30,0.3349
2015-12-31,18.1482
2016-01-29,4.5556
2016-02-29,-16.7063
2016-03-31,-14.1071
2016-04-29,18.2927
2016-05-31,3.6854
2016-06-30,-5.5728
2016-07-29,-8.8235
2016-08-31,-9.3251
2016-09-30,8.1518
2016-10-31,-5.8182
2016-11-30,-18.6041
2016-12-30,-2.4040
2017-01-31,4.5161
2017-02-28,9.2728
2017-03-31,-9.4572
2017-04-28,10.6587
2017-05-31,22.2687
2017-06-30,31.8201
2017-07-31,11.5905
2017-08-31,8.4106
2017-09-29,5.5825
2017-10-31,0.6827
2017-11-30,-4.6746
2017-12-29,-8.4570
2018-01-31,6.4994
2018-02-28,1.2118
2018-03-30,0
2018-04-30,-12.8590
2018-05-31,-3.1868
2018-06-29,-3.4992
2018-07-31,-0.6329
2018-08-31,6.8721
2018-09-28,21.6031
2018-10-31,4.7911
2018-11-30,6.6890
2018-12-31,-6.5862
2019-01-31,12.8268
2019-02-28,9.1010
2019-03-29,18.0364
2019-04-30,2.6993
2019-05-31,3.3471
2019-06-28,2.3336
2019-07-31,11.5918
2019-08-30,4.2035
2019-09-30,-0.3996
2019-10-31,6.0922
2019-11-29,3.8686
2019-12-31,0.3695
2020-01-31,-5.7273
2020-02-28,-9.5181
2020-03-31,-48.1865
2020-04-30,-19.8441
2020-05-29,-6.7789
2020-06-30,60.5525
2020-07-31,5.7971
2020-08-31,3.9665
2020-09-30,7.5073
2020-10-30,-4.1508
2020-11-30,10.6626
2020-12-31,20.3653
2021-01-29,26.7617
2021-02-26,12.9231
2021-03-31,14.1314
2021-04-30,10.3840
2021-05-31,0
2021-06-30,17.8265
2021-07-30,6.1507
2021-08-31,2.0650
2021-09-30,0.9593
2021-10-29,8.0886
2021-11-30,4.2312
2021-12-31,9.6310
2022-01-31,10.6277
2022-02-28,16.0787
2022-03-31,0.0377
