,ROC_daily_60
2000-01-31,-4.9172
2000-02-29,-28.3958
2000-03-31,4.7378
2000-04-28,28.9502
2000-05-31,66.9556
2000-06-30,5.1971
2000-07-31,32.1639
2000-08-31,23.1494
2000-09-29,42.4459
2000-10-31,6.7948
2000-11-30,4.3312
2000-12-29,13.2455
2001-01-31,-3.4949
2001-02-28,-7.2129
2001-03-30,-12.8459
2001-04-30,-3.6072
2001-05-31,11.0238
2001-06-29,20.7029
2001-07-31,-2.8301
2001-08-31,-15.3183
2001-09-28,-19.8246
2001-10-31,6.1499
2001-11-30,12.2555
2001-12-31,-3.1724
2002-01-31,-8.0065
2002-02-28,4.5276
2002-03-29,0
2002-04-30,11.6038
2002-05-31,-13.1866
2002-06-28,-16.6974
2002-07-31,-34.2060
2002-08-30,-24.4029
2002-09-30,-20.5645
2002-10-31,14.1824
2002-11-29,26.8396
2002-12-31,23.8140
2003-01-31,-1.3077
2003-02-28,-13.5326
2003-03-31,-8.5459
2003-04-30,6.4024
2003-05-30,18.8551
2003-06-30,11.0011
2003-07-31,2.1508
2003-08-29,-3.6228
2003-09-30,1.3014
2003-10-31,10.5207
2003-11-28,5.8607
2003-12-31,6.2363
2004-01-30,9.2772
2004-02-27,14.8821
2004-03-31,2.0564
2004-04-30,-2.0122
2004-05-31,0
2004-06-30,-3.2552
2004-07-30,-9.0978
2004-08-31,-13.7987
2004-09-30,-15.0965
2004-10-29,-1.6418
2004-11-30,6.9807
2004-12-31,9.3261
2005-01-31,8.1751
2005-02-28,2.6867
2005-03-31,-0.8265
2005-04-29,-5.1705
2005-05-31,-0.3693
2005-06-30,12.2361
2005-07-29,17.1480
2005-08-31,12.2042
2005-09-30,11.5208
2005-10-31,2.8653
2005-11-30,8.1097
2005-12-30,4.8595
2006-01-31,-0.9887
2006-02-28,-7.1522
2006-03-31,-9.6431
2006-04-28,-2.9422
2006-05-31,4.2346
2006-06-30,6.1317
2006-07-31,0.4768
2006-08-31,2.7381
2006-09-29,5.7038
2006-10-31,15.6507
2006-11-30,16.8734
2006-12-29,11.8775
2007-01-31,-0.1479
2007-02-28,-2.0100
2007-03-30,-2.8308
2007-04-30,4.5692
2007-05-31,5.8238
2007-06-29,2.1150
2007-07-31,-6.6737
2007-08-31,-6.0245
2007-09-28,-6.9677
2007-10-31,2.7370
2007-11-30,4.8362
2007-12-31,1.0002
2008-01-31,-7.7540
2008-02-29,-12.7103
2008-03-31,-8.0435
2008-04-30,3.8802
2008-05-30,5.5394
2008-06-30,-11.4086
2008-07-31,-13.6520
2008-08-29,-11.5438
2008-09-30,5.1371
2008-10-31,-0.6135
