,ROC_daily_60
2000-01-31,-14.7174
2000-02-29,-26.3764
2000-03-31,-5.3302
2000-04-28,3.6437
2000-05-31,1.5412
2000-06-30,-4.4708
2000-07-31,4.2560
2000-08-31,-9.4158
2000-09-29,14.3250
2000-10-31,30.6068
2000-11-30,28.7320
2000-12-29,-7.2923
2001-01-31,-13.2237
2001-02-28,-12.7385
2001-03-30,-11.9691
2001-04-30,-17.8417
2001-05-31,-5.7960
2001-06-29,-8.2869
2001-07-31,7.6195
2001-08-31,-1.1720
2001-09-28,19.2148
2001-10-31,-14.6083
2001-11-30,-8.1913
2001-12-31,-13.7558
2002-01-31,-2.2867
2002-02-28,1.9796
2002-03-29,0
2002-04-30,-15.2593
2002-05-31,-11.4086
2002-06-28,-19.3591
2002-07-31,-10.0717
2002-08-30,-22.7727
2002-09-30,-35.9420
2002-10-31,1.2551
2002-11-29,23.2432
2002-12-31,27.9195
2003-01-31,-10.8761
2003-02-28,-25.4341
2003-03-31,-29.3314
2003-04-30,-5.3207
2003-05-30,25.1156
2003-06-30,20.5369
2003-07-31,0.5177
2003-08-29,-13.4822
2003-09-30,-13.3902
2003-10-31,5.4723
2003-11-28,3.5450
2003-12-31,17.5374
2004-01-30,8.1457
2004-02-27,5.6451
2004-03-31,-7.3335
2004-04-30,-0.4001
2004-05-31,0
2004-06-30,-0.3057
2004-07-30,2.0248
2004-08-31,10.2585
2004-09-30,9.8059
2004-10-29,2.0007
2004-11-30,-1.9317
2004-12-31,-4.2118
2005-01-31,-5.5038
2005-02-28,-4.6076
2005-03-31,-5.2832
2005-04-29,-0.0961
2005-05-31,-2.2598
2005-06-30,-0.6692
2005-07-29,3.7645
2005-08-31,3.7638
2005-09-30,2.6113
2005-10-31,-2.1012
2005-11-30,3.8106
2005-12-30,5.0172
2006-01-31,9.9795
2006-02-28,12.2360
2006-03-31,10.0869
2006-04-28,-0.0396
2006-05-31,-2.3405
2006-06-30,4.2473
2006-07-31,17.0930
2006-08-31,18.4814
2006-09-29,17.7151
2006-10-31,12.3958
2006-11-30,8.5650
2006-12-29,11.5574
2007-01-31,12.6336
2007-02-28,11.0042
2007-03-30,14.0029
2007-04-30,3.4968
2007-05-31,15.8714
2007-06-29,6.7427
2007-07-31,0.0555
2007-08-31,1.7665
2007-09-28,4.1978
2007-10-31,4.1573
2007-11-30,-3.0400
2007-12-31,-0.1903
2008-01-31,-3.8022
2008-02-29,-8.0831
2008-03-31,-5.6312
2008-04-30,2.4871
2008-05-30,13.7132
2008-06-30,-11.5454
2008-07-31,-21.1731
2008-08-29,-17.9467
2008-09-30,-13.5287
2008-10-31,-10.2508
2008-11-28,-8.1002
2008-12-31,7.8220
2009-01-30,-10.1367
2009-02-27,-10.5038
2009-03-31,-13.0533
2009-04-30,2.6072
2009-05-29,9.5135
2009-06-30,-5.9302
2009-07-31,-0.0118
2009-08-31,7.9142
2009-09-30,12.9488
2009-10-30,2.0431
2009-11-30,8.7948
2009-12-31,4.8581
2010-01-29,0.6087
2010-02-26,-6.5055
2010-03-31,-8.2118
2010-04-30,3.5446
2010-05-31,0
2010-06-30,-6.5523
2010-07-30,2.3973
2010-08-31,13.0617
2010-09-30,17.5503
2010-10-29,8.2219
2010-11-30,2.7617
2010-12-31,2.6555
2011-01-31,-3.9024
2011-02-28,1.8340
2011-03-31,3.9543
2011-04-29,14.0556
2011-05-31,14.6427
2011-06-30,3.7566
2011-07-29,-6.6912
2011-08-31,-4.7439
2011-09-30,-8.6776
2011-10-31,2.8524
2011-11-30,5.7139
2011-12-30,6.8174
2012-01-31,2.6341
2012-02-29,7.6404
2012-03-30,4.1504
2012-04-30,12.0444
2012-05-31,12.7939
2012-06-29,14.5617
2012-07-31,16.8314
2012-08-31,8.5916
2012-09-28,6.7041
2012-10-31,-6.8867
2012-11-30,-6.2031
2012-12-31,-9.8075
2013-01-31,0.9040
2013-02-28,6.5937
2013-03-29,0
2013-04-30,6.7533
2013-05-31,-2.4289
2013-06-28,-5.5040
2013-07-31,-3.7043
2013-08-30,-4.3344
2013-09-30,-4.4160
2013-10-31,3.0964
2013-11-29,7.0442
2013-12-31,5.5937
2014-01-31,-7.3590
2014-02-28,-7.0145
2014-03-31,1.6914
2014-04-30,13.1944
2014-05-30,11.8351
2014-06-30,0.5366
2014-07-31,1.5790
2014-08-29,0.8896
2014-09-30,-0.8999
2014-10-31,3.1743
2014-11-28,2.5845
2014-12-31,-4.1150
2015-01-30,-4.1721
2015-02-27,-0.0294
2015-03-31,-2.2361
2015-04-30,2.3257
2015-05-29,3.0506
2015-06-30,8.1048
2015-07-31,5.4803
2015-08-31,-2.6655
2015-09-30,-7.6876
2015-10-30,-0.7432
2015-11-30,3.3529
2015-12-31,4.7683
2016-01-29,8.8015
2016-02-29,10.9586
2016-03-31,15.6391
2016-04-29,7.0322
2016-05-31,4.4986
2016-06-30,11.8271
2016-07-29,12.5826
2016-08-31,3.8836
2016-09-30,-3.9953
2016-10-31,-13.7142
2016-11-30,-5.1576
2016-12-30,8.6057
2017-01-31,17.2944
2017-02-28,9.4630
2017-03-31,-1.7004
2017-04-28,-4.6403
2017-05-31,-7.0662
2017-06-30,-8.0092
2017-07-31,3.9568
2017-08-31,-2.0803
2017-09-29,5.3523
2017-10-31,-11.5336
2017-11-30,0.7436
2017-12-29,-0.3198
2018-01-31,14.4090
2018-02-28,1.1109
2018-03-30,0
2018-04-30,-15.3093
2018-05-31,-11.0944
2018-06-29,-9.8879
2018-07-31,1.0180
2018-08-31,-4.0617
2018-09-28,4.6081
2018-10-31,-3.8953
2018-11-30,-1.4721
2018-12-31,-14.6050
2019-01-31,0.2602
