,ROC_daily_60
2000-01-31,-3.1885
2000-02-29,-1.7976
2000-03-31,-0.7429
2000-04-28,9.8825
2000-05-31,14.0298
2000-06-30,2.8098
2000-07-31,8.5833
2000-08-31,5.3097
2000-09-29,1.0602
2000-10-31,-12.6255
2000-11-30,0.9439
2000-12-29,11.8522
2001-01-31,4.0000
2001-02-28,3.8517
2001-03-30,-3.8512
2001-04-30,1.2966
2001-05-31,-1.2956
2001-06-29,10.5299
2001-07-31,5.7471
2001-08-31,5.5157
2001-09-28,2.3166
2001-10-31,2.6696
2001-11-30,-1.0239
2001-12-31,11.3817
2002-01-31,10.4995
2002-02-28,8.8229
2002-03-29,0
2002-04-30,3.7891
2002-05-31,2.2322
2002-06-28,5.6822
2002-07-31,-2.6816
2002-08-30,-6.2445
2002-09-30,-11.6711
2002-10-31,-7.6633
2002-11-29,-6.4883
2002-12-31,2.4224
2003-01-31,-3.0314
2003-02-28,-5.5289
2003-03-31,-1.9688
2003-04-30,11.3064
2003-05-30,26.2121
2003-06-30,20.2924
2003-07-31,19.2821
2003-08-29,12.0596
2003-09-30,8.4597
2003-10-31,10.7338
2003-11-28,15.8637
2003-12-31,10.4452
2004-01-30,12.1876
2004-02-27,5.8610
2004-03-31,14.2007
2004-04-30,-9.9621
2004-05-31,0
2004-06-30,-2.5037
2004-07-30,15.3249
2004-08-31,14.8231
2004-09-30,7.5616
2004-10-29,14.3052
2004-11-30,15.0140
2004-12-31,18.6702
2005-01-31,2.4804
2005-02-28,-6.8500
2005-03-31,-7.8073
2005-04-29,7.6256
2005-05-31,9.7754
2005-06-30,15.5789
2005-07-29,14.6108
2005-08-31,8.9157
2005-09-30,5.8614
2005-10-31,-5.1411
2005-11-30,-1.5243
2005-12-30,-0.5887
2006-01-31,14.0195
2006-02-28,5.9119
2006-03-31,12.1309
2006-04-28,8.2758
2006-05-31,-1.2905
2006-06-30,0.5430
2006-07-31,12.7467
2006-08-31,13.7392
2006-09-29,11.4631
2006-10-31,15.8104
2006-11-30,20.3202
2006-12-29,9.4141
2007-01-31,4.6966
2007-02-28,3.4611
2007-03-30,-1.2811
2007-04-30,-4.9927
2007-05-31,-0.8310
2007-06-29,-7.9320
2007-07-31,-10.4801
2007-08-31,-6.0126
2007-09-28,-4.1658
2007-10-31,5.2562
2007-11-30,-14.6888
2007-12-31,-22.5202
2008-01-31,-13.5283
2008-02-29,-5.1198
2008-03-31,-0.7041
2008-04-30,-0.3426
2008-05-30,17.7468
2008-06-30,-1.0270
2008-07-31,-0.4706
2008-08-29,1.6260
2008-09-30,7.2286
2008-10-31,-27.8039
2008-11-28,-46.0314
2008-12-31,-23.1206
2009-01-30,-23.0225
2009-02-27,-22.5566
2009-03-31,-41.8861
2009-04-30,-1.7484
2009-05-29,51.3982
2009-06-30,12.9418
2009-07-31,-3.3962
2009-08-31,19.3261
2009-09-30,58.3098
2009-10-30,7.3643
2009-11-30,21.9048
2009-12-31,13.8987
2010-01-29,9.6142
2010-02-26,1.4141
2010-03-31,9.2071
2010-04-30,27.2242
2010-05-31,0
2010-06-30,-7.5826
2010-07-30,1.1593
2010-08-31,13.5401
2010-09-30,18.0418
2010-10-29,3.4439
2010-11-30,-5.9801
2010-12-31,-3.6767
2011-01-31,0.8841
2011-02-28,14.7046
2011-03-31,4.9918
2011-04-29,11.0499
2011-05-31,12.2190
2011-06-30,6.2154
2011-07-29,-0.8572
2011-08-31,-8.5967
2011-09-30,-22.3037
2011-10-31,3.4837
2011-11-30,-10.2026
2011-12-30,7.2465
2012-01-31,1.8661
2012-02-29,11.2348
2012-03-30,12.0708
2012-04-30,2.7040
2012-05-31,3.1348
2012-06-29,2.1802
2012-07-31,-2.4545
2012-08-31,0.1056
2012-09-28,-3.5002
2012-10-31,-5.5595
2012-11-30,-5.4468
2012-12-31,1.1742
2013-01-31,7.3210
2013-02-28,7.2486
2013-03-29,0
2013-04-30,2.5293
2013-05-31,-3.1154
2013-06-28,-4.2055
2013-07-31,-2.6314
2013-08-30,1.7244
2013-09-30,0.4072
2013-10-31,5.9904
2013-11-29,9.7889
2013-12-31,5.9177
2014-01-31,3.1769
2014-02-28,10.3916
2014-03-31,12.0762
2014-04-30,13.7472
2014-05-30,8.6937
2014-06-30,8.3494
2014-07-31,3.1467
2014-08-29,-1.9113
2014-09-30,-4.9559
2014-10-31,5.1984
2014-11-28,5.0805
2014-12-31,18.9064
2015-01-30,11.3671
2015-02-27,8.9647
2015-03-31,4.1603
2015-04-30,-7.6065
2015-05-29,-7.5252
2015-06-30,-15.1916
2015-07-31,-1.9899
2015-08-31,-10.6147
2015-09-30,-7.1047
2015-10-30,6.3527
2015-11-30,11.5855
2015-12-31,8.3255
2016-01-29,-13.2745
2016-02-29,-11.9755
2016-03-31,-3.3588
2016-04-29,11.1718
2016-05-31,3.9324
2016-06-30,5.9818
2016-07-29,14.1321
2016-08-31,8.5099
2016-09-30,4.0234
2016-10-31,-11.5117
2016-11-30,-5.0713
2016-12-30,9.3604
2017-01-31,22.7546
2017-02-28,13.1427
2017-03-31,-6.1757
2017-04-28,-7.3725
2017-05-31,-14.1982
2017-06-30,-6.1584
2017-07-31,3.3112
2017-08-31,0.9159
2017-09-29,3.7253
2017-10-31,-5.5394
2017-11-30,5.2249
2017-12-29,1.4942
2018-01-31,-1.5220
2018-02-28,-13.6110
2018-03-30,0
2018-04-30,-3.4899
2018-05-31,4.0543
2018-06-29,10.0617
2018-07-31,3.2888
2018-08-31,8.6041
2018-09-28,-1.9197
2018-10-31,-6.4835
2018-11-30,-4.5612
2018-12-31,-12.3164
2019-01-31,4.6281
2019-02-28,-3.6823
2019-03-29,12.8435
2019-04-30,-0.6038
2019-05-31,-1.6187
2019-06-28,-5.9859
2019-07-31,-4.1288
2019-08-30,-10.3769
2019-09-30,-1.8031
2019-10-31,7.7845
2019-11-29,5.3390
2019-12-31,8.0006
2020-01-31,3.9690
2020-02-28,-12.0931
2020-03-31,-44.6068
2020-04-30,-33.7466
2020-05-29,-34.2094
2020-06-30,21.8247
2020-07-31,-2.4239
2020-08-31,-16.9009
2020-09-30,-4.4609
2020-10-30,-12.7604
2020-11-30,9.2111
2020-12-31,7.7471
2021-01-29,26.1327
2021-02-26,11.8283
2021-03-31,25.4639
2021-04-30,21.9025
2021-05-31,0
2021-06-30,2.8040
2021-07-30,-4.7802
2021-08-31,-15.2173
2021-09-30,-6.4832
2021-10-29,1.5031
2021-11-30,-2.9692
2021-12-31,-2.2894
2022-01-31,-5.2648
2022-02-28,11.9466
2022-03-31,1.3382
