,ROC_daily_60
2000-01-31,51.1242
2000-02-29,176.0547
2000-03-31,39.7313
2000-04-28,24.4048
2000-05-31,-19.4545
2000-06-30,116.2051
2000-07-31,73.3451
2000-08-31,106.9889
2000-09-29,43.0991
2000-10-31,54.2833
2000-11-30,-29.2658
2000-12-29,-7.0704
2001-01-31,-30.7866
2001-02-28,-10.9699
2001-03-30,-41.5137
2001-04-30,-39.2182
2001-05-31,-2.6368
2001-06-29,59.6774
2001-07-31,6.2783
2001-08-31,-24.2505
2001-09-28,-61.9730
2001-10-31,-39.3114
2001-11-30,-32.4433
2001-12-31,29.8996
2002-01-31,-18.3285
2002-02-28,-13.7945
2002-03-29,0
2002-04-30,4.7783
2002-05-31,-21.2061
2002-06-28,-38.7970
2002-07-31,16.1176
2002-08-30,15.3623
2002-09-30,17.1736
2002-10-31,6.6921
2002-11-29,2.3691
2002-12-31,-8.8032
2003-01-31,-33.5893
2003-02-28,-42.0252
2003-03-31,-31.9071
2003-04-30,-12.9870
2003-05-30,43.5644
2003-06-30,19.5261
2003-07-31,10.9160
2003-08-29,-22.5569
2003-09-30,-18.7046
2003-10-31,5.4357
2003-11-28,-33.9879
2003-12-31,-22.5299
2004-01-30,-23.4749
2004-02-27,20.4060
2004-03-31,-6.9170
2004-04-30,-8.2803
2004-05-31,0
2004-06-30,10.0508
2004-07-30,-0.1082
2004-08-31,5.1892
2004-09-30,-2.2346
2004-10-29,26.5116
2004-11-30,3.6098
2004-12-31,-8.9578
2005-01-31,-10.9457
2005-02-28,7.7498
2005-03-31,-8.5938
2005-04-29,-9.8392
2005-05-31,30.3371
2005-06-30,77.3684
2005-07-29,64.9431
2005-08-31,39.4996
2005-09-30,32.7986
2005-10-31,39.6562
2005-11-30,41.4309
2005-12-30,23.8031
2006-01-31,48.8333
2006-02-28,69.5686
2006-03-31,29.2476
2006-04-28,0.8877
2006-05-31,-20.5435
2006-06-30,0.8239
2006-07-31,-5.8162
2006-08-31,8.5039
2006-09-29,-7.5295
2006-10-31,28.1970
2006-11-30,27.2623
2006-12-29,7.2821
2007-01-31,-11.1362
2007-02-28,-31.6329
2007-03-30,-24.0108
2007-04-30,-11.6667
2007-05-31,1.3212
2007-06-29,-4.3216
2007-07-31,6.0059
2007-08-31,38.7464
