,ROC_daily_60
2000-01-31,-29.2683
2000-02-29,-25.0000
2000-03-31,-17.1750
2000-04-28,5.0133
2000-05-31,7.0166
2000-06-30,-5.0963
2000-07-31,10.6182
2000-08-31,33.8937
2000-09-29,50.0743
2000-10-31,20.0466
2000-11-30,1.3001
2000-12-29,21.6827
2001-01-31,59.7172
2001-02-28,97.5586
2001-03-30,28.3019
2001-04-30,29.2857
2001-05-31,11.5349
2001-06-29,30.4761
2001-07-31,28.8211
2001-08-31,27.0401
2001-09-28,3.7480
2001-10-31,16.0040
2001-11-30,6.7528
2001-12-31,-4.6384
2002-01-31,-2.0383
2002-02-28,8.3348
2002-03-29,0
2002-04-30,14.6919
2002-05-31,5.8502
2002-06-28,2.5494
2002-07-31,-0.3964
2002-08-30,0.4009
2002-09-30,7.0603
2002-10-31,-10.5306
2002-11-29,-3.6237
2002-12-31,-10.8489
2003-01-31,-0.9775
2003-02-28,-0.2217
2003-03-31,4.0227
2003-04-30,18.3419
2003-05-30,18.0063
2003-06-30,30.0714
2003-07-31,27.0047
2003-08-29,20.5416
2003-09-30,9.0314
2003-10-31,20.9902
2003-11-28,11.3459
2003-12-31,23.1281
2004-01-30,30.2638
2004-02-27,32.4973
2004-03-31,25.6200
2004-04-30,-7.5736
2004-05-31,0
2004-06-30,-14.4232
2004-07-30,13.4078
2004-08-31,19.4323
2004-09-30,5.2979
2004-10-29,5.2239
2004-11-30,0.4535
2004-12-31,2.7174
2005-01-31,-8.3428
2005-02-28,-6.6967
2005-03-31,-6.5690
2005-04-29,5.0242
2005-05-31,5.0099
2005-06-30,20.8818
2005-07-29,21.8316
2005-08-31,7.4138
2005-09-30,4.0052
2005-10-31,1.0968
2005-11-30,-0.7881
2005-12-30,1.7430
2006-01-31,3.3342
2006-02-28,-0.5608
2006-03-31,2.2275
2006-04-28,8.5107
2006-05-31,4.7127
2006-06-30,5.6099
2006-07-31,8.9605
2006-08-31,24.6887
2006-09-29,12.5907
2006-10-31,7.2396
2006-11-30,-1.0609
2006-12-29,9.3946
2007-01-31,20.4789
2007-02-28,19.2003
2007-03-30,1.6899
2007-04-30,-8.3264
2007-05-31,-3.2080
2007-06-29,-13.1621
2007-07-31,-23.6109
2007-08-31,-4.4377
2007-09-28,8.9004
2007-10-31,26.3844
2007-11-30,15.8921
2007-12-31,2.7889
2008-01-31,10.7028
2008-02-29,-2.4375
2008-03-31,2.5372
2008-04-30,10.4226
2008-05-30,14.1557
2008-06-30,-9.6131
2008-07-31,-6.8827
2008-08-29,-7.1925
2008-09-30,22.8812
2008-10-31,-19.4981
2008-11-28,-47.0028
2008-12-31,-18.7685
2009-01-30,-13.9249
2009-02-27,19.4190
2009-03-31,-27.5504
2009-04-30,2.1428
2009-05-29,36.4529
2009-06-30,16.5606
2009-07-31,24.9811
2009-08-31,26.1583
2009-09-30,36.0590
2009-10-30,9.1328
2009-11-30,18.8521
2009-12-31,17.1089
2010-01-29,5.4254
2010-02-26,4.1480
2010-03-31,10.8175
2010-04-30,11.8596
2010-05-31,0
2010-06-30,-2.7889
2010-07-30,9.5225
2010-08-31,12.9007
2010-09-30,8.4996
2010-10-29,4.9481
2010-11-30,-2.9285
2010-12-31,-1.8396
2011-01-31,4.5272
2011-02-28,10.5742
2011-03-31,3.1870
2011-04-29,4.5744
2011-05-31,7.9283
2011-06-30,-2.0954
2011-07-29,-2.1874
2011-08-31,0.5847
2011-09-30,-8.5600
2011-10-31,17.7817
2011-11-30,2.5913
2011-12-30,15.0253
2012-01-31,8.5580
2012-02-29,9.4055
2012-03-30,7.3161
2012-04-30,2.0162
2012-05-31,5.7713
2012-06-29,14.2550
2012-07-31,16.1362
2012-08-31,14.1736
2012-09-28,-0.5485
2012-10-31,-4.7381
2012-11-30,-3.1257
2012-12-31,4.1458
2013-01-31,4.2792
2013-02-28,12.2870
2013-03-29,0
2013-04-30,19.8844
2013-05-31,0.6629
2013-06-28,-6.0798
2013-07-31,-17.4362
2013-08-30,-12.6666
2013-09-30,-8.6252
2013-10-31,2.7294
2013-11-29,-4.9463
2013-12-31,-5.9457
2014-01-31,-3.9676
2014-02-28,12.4228
2014-03-31,7.8259
2014-04-30,8.5948
2014-05-30,5.9813
2014-06-30,5.5784
2014-07-31,-4.1947
2014-08-29,0.1675
2014-09-30,-2.9388
2014-10-31,10.2601
2014-11-28,9.7557
2014-12-31,15.4641
2015-01-30,17.6774
2015-02-27,4.2393
2015-03-31,0.6629
2015-04-30,-12.8979
2015-05-29,-8.9141
2015-06-30,-18.2744
2015-07-31,1.2041
2015-08-31,-1.1138
2015-09-30,0.8353
2015-10-30,-7.1239
2015-11-30,-0.6806
2015-12-31,0.2131
2016-01-29,2.8754
2016-02-29,4.5431
2016-03-31,12.3906
2016-04-29,12.3565
2016-05-31,16.8811
2016-06-30,18.5979
2016-07-29,17.6509
2016-08-31,7.4523
2016-09-30,-1.0454
2016-10-31,-5.8373
2016-11-30,-17.5552
2016-12-30,-6.1062
2017-01-31,-1.2463
2017-02-28,9.0280
2017-03-31,5.1458
2017-04-28,6.8424
2017-05-31,6.0277
2017-06-30,8.8301
2017-07-31,8.7436
2017-08-31,2.5472
2017-09-29,-2.5920
2017-10-31,-3.3497
2017-11-30,-5.3036
2017-12-29,-4.4776
2018-01-31,-11.1735
2018-02-28,-23.5180
2018-03-30,0
2018-04-30,-3.9703
2018-05-31,10.0730
2018-06-29,15.3877
2018-07-31,7.5486
2018-08-31,11.2546
2018-09-28,-6.1735
2018-10-31,0.8273
2018-11-30,7.1396
2018-12-31,12.3392
2019-01-31,12.4803
2019-02-28,1.8395
2019-03-29,13.4970
2019-04-30,-2.4303
2019-05-31,5.1843
2019-06-28,10.0820
2019-07-31,9.7199
2019-08-30,16.4381
2019-09-30,5.7780
2019-10-31,-7.1448
2019-11-29,-21.0094
2019-12-31,-21.4961
2020-01-31,-6.0481
2020-02-28,-5.8258
2020-03-31,-51.6515
2020-04-30,-42.8507
2020-05-29,-33.0539
2020-06-30,64.6092
2020-07-31,36.5859
2020-08-31,-3.5905
2020-09-30,19.7008
2020-10-30,0.9701
2020-11-30,9.4323
2020-12-31,11.6400
2021-01-29,13.4800
2021-02-26,11.4286
2021-03-31,14.7398
2021-04-30,17.3230
2021-05-31,0
2021-06-30,5.4802
2021-07-30,13.0203
2021-08-31,-1.3286
2021-09-30,-3.2841
2021-10-29,-10.2951
2021-11-30,-15.9964
2021-12-31,-5.3066
2022-01-31,-2.4855
2022-02-28,19.2282
2022-03-31,16.7605
