,ROC_daily_60
2000-01-31,-9.0545
2000-02-29,-12.2353
2000-03-31,-0.3009
2000-04-28,16.4330
2000-05-31,37.3405
2000-06-30,-0.0791
2000-07-31,0.0067
2000-08-31,20.4492
2000-09-29,35.3431
2000-10-31,4.6581
2000-11-30,6.6877
2000-12-29,10.0340
2001-01-31,-0.0469
2001-02-28,4.8185
2001-03-30,11.6652
2001-04-30,24.5064
2001-05-31,10.2306
2001-06-29,-5.2929
2001-07-31,-9.0332
2001-08-31,-3.3901
2001-09-28,2.9781
2001-10-31,6.2147
2001-11-30,0.8521
2001-12-31,-2.0379
2002-01-31,-5.3147
2002-02-28,-12.2306
2002-03-29,0
2002-04-30,-2.3675
2002-05-31,-15.0184
2002-06-28,-34.1837
2002-07-31,-72.4738
2002-08-30,-51.5951
2002-09-30,-39.7411
2002-10-31,36.0897
2002-11-29,21.2613
2002-12-31,30.2386
2003-01-31,-1.8578
2003-02-28,7.5218
2003-03-31,12.8634
2003-04-30,22.0217
2003-05-30,35.8341
2003-06-30,17.9163
2003-07-31,7.9184
2003-08-29,-3.7475
2003-09-30,3.9651
2003-10-31,15.0877
2003-11-28,11.9303
2003-12-31,9.7777
2004-01-30,8.1452
2004-02-27,6.3532
2004-03-31,6.0548
2004-04-30,-1.3069
2004-05-31,0
2004-06-30,-5.6470
2004-07-30,2.9884
2004-08-31,6.8092
2004-09-30,4.6425
2004-10-29,1.1987
2004-11-30,4.1989
2004-12-31,5.0617
2005-01-31,6.0329
2005-02-28,-0.8774
2005-03-31,-3.4676
2005-04-29,-4.0533
2005-05-31,4.6009
2005-06-30,15.2118
2005-07-29,14.5625
2005-08-31,2.9242
2005-09-30,2.0934
2005-10-31,-2.5636
2005-11-30,-4.6157
2005-12-30,-1.6143
2006-01-31,8.0568
2006-02-28,1.4304
2006-03-31,-1.5784
2006-04-28,-1.9359
2006-05-31,4.5285
2006-06-30,4.7953
2006-07-31,8.2087
2006-08-31,11.2439
2006-09-29,9.3941
2006-10-31,10.2158
2006-11-30,14.2090
2006-12-29,11.4510
2007-01-31,6.6307
2007-02-28,4.4096
2007-03-30,6.3312
2007-04-30,3.6146
2007-05-31,0.4671
2007-06-29,-16.1154
2007-07-31,-14.9159
2007-08-31,-2.5511
2007-09-28,6.1833
2007-10-31,8.5671
2007-11-30,12.1179
2007-12-31,3.9954
2008-01-31,-3.1087
2008-02-29,-12.7363
2008-03-31,-8.9756
2008-04-30,-1.4985
2008-05-30,6.5536
2008-06-30,-1.5155
2008-07-31,-4.8412
2008-08-29,-1.4591
2008-09-30,1.7844
2008-10-31,-12.3600
2008-11-28,-6.1602
2008-12-31,0.4655
2009-01-30,4.9713
2009-02-27,1.6184
2009-03-31,0.1814
2009-04-30,1.2009
2009-05-29,2.7486
2009-06-30,2.7823
2009-07-31,11.2629
2009-08-31,14.6184
2009-09-30,7.2145
2009-10-30,-2.8682
2009-11-30,4.9178
2009-12-31,11.3848
2010-01-29,12.2799
2010-02-26,3.5883
2010-03-31,1.7260
2010-04-30,5.1634
2010-05-31,0
2010-06-30,-4.4896
2010-07-30,2.3743
2010-08-31,12.2269
2010-09-30,8.6754
2010-10-29,9.3553
2010-11-30,4.2096
2010-12-31,1.4599
2011-01-31,-0.2399
2011-02-28,1.6240
2011-03-31,2.0593
2011-04-29,3.6324
2011-05-31,4.6730
2011-06-30,2.0737
2011-07-29,-0.8756
2011-08-31,2.8584
2011-09-30,1.1936
2011-10-31,12.4244
2011-11-30,10.4395
2011-12-30,15.6013
2012-01-31,3.9727
2012-02-29,2.1195
2012-03-30,-1.5774
2012-04-30,3.7093
2012-05-31,7.7977
2012-06-29,7.6896
2012-07-31,9.6224
2012-08-31,-0.9052
2012-09-28,-2.2955
2012-10-31,-2.7017
2012-11-30,-2.7206
2012-12-31,-2.4304
2013-01-31,0.5689
2013-02-28,7.1644
2013-03-29,0
2013-04-30,14.5685
