,ROC_daily_60
2000-01-31,5.4516
2000-02-29,15.7565
2000-03-31,-11.8943
2000-04-28,-3.5370
2000-05-31,-27.8195
2000-06-30,-9.8107
2000-07-31,-3.4418
2000-08-31,0.4651
2000-09-29,5.0492
2000-10-31,-17.0422
2000-11-30,-18.2829
2000-12-29,-4.1353
2001-01-31,30.0864
2001-02-28,7.5931
2001-03-30,-18.7686
2001-04-30,-21.4312
2001-05-31,0.3342
2001-06-29,43.6677
2001-07-31,-2.3573
2001-08-31,-2.9637
2001-09-28,-21.6318
2001-10-31,2.7202
2001-11-30,9.2013
2001-12-31,33.3093
2002-01-31,10.2244
2002-02-28,0.4291
2002-03-29,0
2002-04-30,5.9450
2002-05-31,4.4960
2002-06-28,-10.3884
2002-07-31,-12.1955
2002-08-30,-1.4516
2002-09-30,6.6815
2002-10-31,23.0400
2002-11-29,22.7446
2002-12-31,6.7437
2003-01-31,-11.3896
2003-02-28,-3.5769
2003-03-31,9.6917
2003-04-30,16.5559
2003-05-30,19.7800
2003-06-30,18.3548
2003-07-31,12.1909
2003-08-29,66.7520
2003-09-30,44.4101
2003-10-31,74.1260
2003-11-28,21.1549
2003-12-31,20.6727
2004-01-30,7.4339
2004-02-27,12.5669
2004-03-31,5.9084
2004-04-30,16.8713
2004-05-31,0
2004-06-30,20.1492
2004-07-30,10.7344
2004-08-31,64.8135
2004-09-30,58.3670
2004-10-29,47.5223
2004-11-30,-13.4596
2004-12-31,-6.0748
2005-01-31,-7.4168
2005-02-28,-6.3474
2005-03-31,-14.4478
2005-04-29,-5.4445
2005-05-31,-16.7123
2005-06-30,-8.2932
2005-07-29,-7.2091
2005-08-31,-11.4062
2005-09-30,-8.9236
2005-10-31,14.2895
2005-11-30,22.4362
2005-12-30,11.4145
2006-01-31,3.1143
2006-02-28,-2.1937
2006-03-31,5.4468
2006-04-28,-10.2645
2006-05-31,-19.4020
2006-06-30,-21.0538
2006-07-31,-22.0731
2006-08-31,-3.1760
2006-09-29,10.2746
2006-10-31,14.3252
2006-11-30,2.9169
2006-12-29,-2.6581
2007-01-31,-5.8648
2007-02-28,13.6585
2007-03-30,10.6938
2007-04-30,14.5036
2007-05-31,2.5831
2007-06-29,-2.0480
2007-07-31,-8.3249
2007-08-31,-9.3407
2007-09-28,-7.7370
2007-10-31,8.5833
2007-11-30,4.6960
2007-12-31,4.1104
