,SMA_daily_20
2000-01-31,17.8065
2000-02-29,20.5652
2000-03-31,26.8145
2000-04-28,37.0600
2000-05-31,41.6410
2000-06-30,43.2380
2000-07-31,40.8002
2000-08-31,33.1082
2000-09-29,28.8235
2000-10-31,21.4395
2000-11-30,20.6530
2000-12-29,15.2815
2001-01-31,19.8355
2001-02-28,23.6535
2001-03-30,25.3000
2001-04-30,25.2545
2001-05-31,30.5170
2001-06-29,27.4510
2001-07-31,20.0165
2001-08-31,15.2620
2001-09-28,11.0675
2001-10-31,9.6795
2001-11-30,13.3120
2001-12-31,16.5005
2002-01-31,17.8180
2002-02-28,14.4260
2002-03-29,0
2002-04-30,12.7610
2002-05-31,11.6360
2002-06-28,9.5975
2002-07-31,8.6885
2002-08-30,9.2130
2002-09-30,7.0095
2002-10-31,4.7345
2002-11-29,6.8010
2002-12-31,7.1950
2003-01-31,6.3465
2003-02-28,5.1995
2003-03-31,6.0735
2003-04-30,7.5300
2003-05-30,7.3330
2003-06-30,6.6545
2003-07-31,7.1785
2003-08-29,8.6905
2003-09-30,11.8900
2003-10-31,13.8330
2003-11-28,17.1300
2003-12-31,15.0560
2004-01-30,15.5825
2004-02-27,14.8125
2004-03-31,15.1940
2004-04-30,16.3280
2004-05-31,0
2004-06-30,15.2725
2004-07-30,13.2260
2004-08-31,11.5965
2004-09-30,12.2835
2004-10-29,14.7380
2004-11-30,19.7475
2004-12-31,22.3840
2005-01-31,16.8995
2005-02-28,17.2660
2005-03-31,16.3360
2005-04-29,15.5430
2005-05-31,15.5445
2005-06-30,17.4300
2005-07-29,19.5650
2005-08-31,20.5970
2005-09-30,23.1385
2005-10-31,22.4190
2005-11-30,25.5330
2005-12-30,28.5130
2006-01-31,35.9745
2006-02-28,40.5135
2006-03-31,35.2015
2006-04-28,32.9865
2006-05-31,32.2430
2006-06-30,25.7340
2006-07-31,21.0390
2006-08-31,22.6365
2006-09-29,26.0730
2006-10-31,22.8020
2006-11-30,21.4160
2006-12-29,21.1050
2007-01-31,17.9600
2007-02-28,15.1010
2007-03-30,13.7430
2007-04-30,13.6790
2007-05-31,14.6140
2007-06-29,14.0225
2007-07-31,14.8880
2007-08-31,12.3800
2007-09-28,13.1065
2007-10-31,13.5880
2007-11-30,11.7755
2007-12-31,8.3845
2008-01-31,6.7370
2008-02-29,6.8890
2008-03-31,6.3600
2008-04-30,6.0750
2008-05-30,6.9705
2008-06-30,7.0055
2008-07-31,4.7430
2008-08-29,5.4840
2008-09-30,5.3915
2008-10-31,3.7605
2008-11-28,2.6745
2008-12-31,2.1665
2009-01-30,2.3375
2009-02-27,2.2130
2009-03-31,2.7315
2009-04-30,3.4920
2009-05-29,4.2980
2009-06-30,4.1490
2009-07-31,3.6980
2009-08-31,3.8070
2009-09-30,5.5115
2009-10-30,5.6255
2009-11-30,6.0885
2009-12-31,9.0675
2010-01-29,8.8390
2010-02-26,7.7760
2010-03-31,9.0680
2010-04-30,9.6370
2010-05-31,0
2010-06-30,8.2383
2010-07-30,7.5405
2010-08-31,6.5180
2010-09-30,6.3266
2010-10-29,7.1002
2010-11-30,7.5995
2010-12-31,8.0590
2011-01-31,8.1692
2011-02-28,8.6105
2011-03-31,8.6228
2011-04-29,8.4865
2011-05-31,8.7035
2011-06-30,7.3055
2011-07-29,6.9480
2011-08-31,6.3170
2011-09-30,6.4978
2011-10-31,4.9653
2011-11-30,5.5245
2011-12-30,5.3455
2012-01-31,6.0790
2012-02-29,7.2465
2012-03-30,7.8355
2012-04-30,7.7000
2012-05-31,6.5285
2012-06-29,5.7438
2012-07-31,4.7560
2012-08-31,4.0410
2012-09-28,3.6125
2012-10-31,2.6960
2012-11-30,1.9805
2012-12-31,2.3950
2013-01-31,2.6605
2013-02-28,2.6235
2013-03-29,0
2013-04-30,2.5205
2013-05-31,3.9655
2013-06-28,4.0060
2013-07-31,4.0430
2013-08-30,3.6130
2013-09-30,3.7480
2013-10-31,3.6005
2013-11-29,3.4115
2013-12-31,3.6975
2014-01-31,3.9240
2014-02-28,3.6025
2014-03-31,3.9040
2014-04-30,3.9725
2014-05-30,4.0145
2014-06-30,4.1630
2014-07-31,4.0960
2014-08-29,4.1525
2014-09-30,3.8695
2014-10-31,2.8035
2014-11-28,2.7505
2014-12-31,2.5990
2015-01-30,2.5680
2015-02-27,3.0188
2015-03-31,2.7990
2015-04-30,2.5408
2015-05-29,2.3035
2015-06-30,2.4185
2015-07-31,1.9085
2015-08-31,1.8650
2015-09-30,1.8003
2015-10-30,2.0120
2015-11-30,2.1645
2015-12-31,2.5783
2016-01-29,2.2495
2016-02-29,1.9710
2016-03-31,2.6310
2016-04-29,3.0125
2016-05-31,3.8870
2016-06-30,4.7715
2016-07-29,5.6170
2016-08-31,7.0763
2016-09-30,6.4088
2016-10-31,6.8823
2016-11-30,7.7185
2016-12-30,10.6925
2017-01-31,10.6490
2017-02-28,13.3480
2017-03-31,13.7780
2017-04-28,13.3610
2017-05-31,10.9593
2017-06-30,12.6240
2017-07-31,13.7190
2017-08-31,12.5820
2017-09-29,12.7820
2017-10-31,13.3000
2017-11-30,11.2940
2017-12-29,10.3700
2018-01-31,12.4255
2018-02-28,12.0585
2018-03-30,0
2018-04-30,10.1115
2018-05-31,12.5845
2018-06-29,15.6825
2018-07-31,16.8285
2018-08-31,21.4200
2018-09-28,30.5490
2018-10-31,23.9780
2018-11-30,20.4055
2018-12-31,19.3390
2019-01-31,20.4100
2019-02-28,23.6445
2019-03-29,24.2825
2019-04-30,27.9490
2019-05-31,27.4015
2019-06-28,30.4430
2019-07-31,33.0615
2019-08-30,30.9640
2019-09-30,30.2380
2019-10-31,31.0020
2019-11-29,38.0720
2019-12-31,42.5005
2020-01-31,49.2020
2020-02-28,51.1580
2020-03-31,44.1560
2020-04-30,52.4840
2020-05-29,53.5030
2020-06-30,53.4805
2020-07-31,61.0015
2020-08-31,83.7075
2020-09-30,79.1573
2020-10-30,82.0985
2020-11-30,83.1960
2020-12-31,93.1980
2021-01-29,91.6797
2021-02-26,88.5275
2021-03-31,78.7025
2021-04-30,81.8820
2021-05-31,0
2021-06-30,83.5255
2021-07-30,91.9835
2021-08-31,108.6140
2021-09-30,105.2825
2021-10-29,112.8775
2021-11-30,148.0445
2021-12-31,142.8495
2022-01-31,126.8400
2022-02-28,119.3610
2022-03-31,112.3820
