,SMA_daily_20
2000-01-31,11.5732
2000-02-29,11.2758
2000-03-31,11.5450
2000-04-28,12.8329
2000-05-31,13.6469
2000-06-30,14.0922
2000-07-31,14.8732
2000-08-31,16.0327
2000-09-29,16.1949
2000-10-31,15.6023
2000-11-30,15.9384
2000-12-29,16.8930
2001-01-31,16.1549
2001-02-28,15.9546
2001-03-30,15.5977
2001-04-30,15.0226
2001-05-31,15.7719
2001-06-29,16.2618
2001-07-31,16.0843
2001-08-31,16.2414
2001-09-28,15.4607
2001-10-31,14.9289
2001-11-30,15.0340
2001-12-31,15.5802
2002-01-31,15.7388
2002-02-28,15.4061
2002-03-29,0
2002-04-30,16.7179
2002-05-31,16.9958
2002-06-28,17.2226
2002-07-31,15.8818
2002-08-30,16.2010
2002-09-30,16.3896
2002-10-31,15.6198
2002-11-29,16.1234
2002-12-31,16.0609
2003-01-31,15.9469
2003-02-28,16.0840
2003-03-31,16.6770
2003-04-30,17.7798
2003-05-30,18.5971
2003-06-30,19.6751
2003-07-31,20.0215
2003-08-29,19.3437
2003-09-30,20.1082
2003-10-31,20.7283
2003-11-28,21.2925
2003-12-31,22.1103
2004-01-30,22.7846
2004-02-27,24.1053
2004-03-31,25.0739
2004-04-30,23.0108
2004-05-31,0
2004-06-30,23.6012
2004-07-30,24.9844
2004-08-31,26.0831
2004-09-30,26.4589
2004-10-29,28.2935
2004-11-30,29.1813
2004-12-31,30.9628
2005-01-31,29.5057
2005-02-28,29.4319
2005-03-31,29.9131
2005-04-29,31.1306
2005-05-31,33.2906
2005-06-30,34.2125
2005-07-29,36.9299
2005-08-31,35.6700
2005-09-30,36.2903
2005-10-31,35.4636
2005-11-30,37.8396
2005-12-30,39.3871
2006-01-31,41.0897
2006-02-28,43.0689
2006-03-31,48.8215
2006-04-28,47.3657
2006-05-31,46.1487
2006-06-30,46.9584
2006-07-31,50.5533
2006-08-31,53.0738
2006-09-29,55.5980
2006-10-31,56.9021
2006-11-30,59.5890
2006-12-29,62.6781
2007-01-31,67.3951
2007-02-28,71.8468
2007-03-30,67.2564
2007-04-30,67.5725
2007-05-31,65.0637
2007-06-29,61.7200
2007-07-31,59.0722
2007-08-31,57.0975
2007-09-28,58.0665
2007-10-31,62.4472
2007-11-30,56.7069
2007-12-31,57.2771
2008-01-31,55.3947
2008-02-29,55.4650
2008-03-31,56.6752
2008-04-30,61.8611
2008-05-30,62.6622
2008-06-30,60.0961
2008-07-31,59.4874
2008-08-29,63.3393
2008-09-30,60.8569
2008-10-31,44.7307
2008-11-28,35.8400
2008-12-31,35.2841
2009-01-30,30.8872
2009-02-27,26.6744
2009-03-31,23.4653
2009-04-30,28.8047
2009-05-29,31.6623
2009-06-30,31.9091
2009-07-31,32.7114
2009-08-31,39.4290
2009-09-30,43.3694
2009-10-30,42.4375
2009-11-30,43.3225
2009-12-31,46.2795
2010-01-29,45.4238
2010-02-26,44.2342
2010-03-31,50.6713
2010-04-30,53.5395
2010-05-31,0
2010-06-30,52.1027
2010-07-30,52.8207
2010-08-31,56.5620
2010-09-30,59.1082
2010-10-29,60.1178
2010-11-30,58.8074
2010-12-31,58.5682
2011-01-31,61.8201
2011-02-28,65.5576
2011-03-31,64.2424
2011-04-29,68.1187
2011-05-31,73.0519
2011-06-30,72.5843
2011-07-29,76.8117
2011-08-31,70.0343
2011-09-30,68.5813
2011-10-31,64.5929
2011-11-30,66.9581
2011-12-30,68.1696
2012-01-31,71.3011
2012-02-29,73.8892
2012-03-30,73.8499
2012-04-30,74.0243
2012-05-31,75.0986
2012-06-29,74.0215
2012-07-31,78.7549
2012-08-31,79.9058
2012-09-28,81.0304
2012-10-31,78.6199
2012-11-30,74.0830
2012-12-31,75.4879
2013-01-31,78.0908
2013-02-28,76.3555
2013-03-29,0
2013-04-30,79.0226
2013-05-31,80.8927
2013-06-28,78.1531
2013-07-31,79.7462
2013-08-30,75.2189
2013-09-30,78.1059
2013-10-31,78.9029
2013-11-29,75.1695
2013-12-31,74.9909
2014-01-31,79.6384
2014-02-28,83.4712
2014-03-31,85.6395
2014-04-30,89.1836
2014-05-30,90.9888
2014-06-30,90.4160
2014-07-31,92.2994
2014-08-29,92.9372
2014-09-30,90.4821
2014-10-31,93.3486
2014-11-28,98.8324
2014-12-31,102.7347
2015-01-30,111.8973
2015-02-27,112.5544
2015-03-31,111.7590
2015-04-30,110.9215
2015-05-29,106.4893
2015-06-30,101.2286
2015-07-31,101.0760
2015-08-31,96.3562
2015-09-30,93.3434
2015-10-30,99.5075
2015-11-30,102.0465
2015-12-31,103.5455
2016-01-29,99.8052
2016-02-29,93.4259
2016-03-31,101.8338
2016-04-29,107.0561
2016-05-31,106.7680
2016-06-30,106.5496
2016-07-29,113.8722
2016-08-31,118.4465
2016-09-30,115.3038
2016-10-31,105.9736
2016-11-30,101.6556
2016-12-30,105.6153
2017-01-31,109.7863
2017-02-28,113.8414
2017-03-31,111.9701
2017-04-28,113.4363
2017-05-31,103.5399
2017-06-30,106.0049
2017-07-31,102.8708
2017-08-31,103.6055
2017-09-29,103.9534
2017-10-31,107.2670
2017-11-30,107.2020
2017-12-29,109.5738
2018-01-31,107.0806
2018-02-28,101.8262
2018-03-30,0
2018-04-30,104.9690
2018-05-31,105.3409
2018-06-29,106.7046
2018-07-31,109.8998
2018-08-31,113.9534
2018-09-28,110.9336
2018-10-31,103.5205
2018-11-30,110.6220
2018-12-31,107.4772
2019-01-31,107.0804
2019-02-28,118.6354
2019-03-29,118.5499
2019-04-30,122.3215
2019-05-31,118.7486
2019-06-28,120.2963
2019-07-31,118.8212
2019-08-30,115.3478
2019-09-30,118.1638
2019-10-31,118.6607
2019-11-29,125.4591
2019-12-31,124.8335
2020-01-31,127.4446
2020-02-28,130.5548
2020-03-31,96.2725
2020-04-30,87.4352
2020-05-29,76.9053
2020-06-30,88.3938
2020-07-31,84.5525
2020-08-31,81.7546
2020-09-30,78.8944
2020-10-30,74.1298
2020-11-30,86.3959
2020-12-31,93.1419
2021-01-29,88.0113
2021-02-26,90.8418
2021-03-31,100.4598
2021-04-30,102.6545
2021-05-31,0
2021-06-30,116.0709
2021-07-30,113.1995
2021-08-31,112.2453
2021-09-30,108.8616
2021-10-29,113.5734
2021-11-30,114.5705
2021-12-31,112.7804
2022-01-31,118.7983
2022-02-28,116.8693
2022-03-31,124.6294
