,SMA_daily_20
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,19.9659
2007-08-31,17.9497
2007-09-28,17.1067
2007-10-31,16.2394
2007-11-30,13.7259
2007-12-31,12.5758
2008-01-31,11.3792
2008-02-29,12.1669
2008-03-31,12.2296
2008-04-30,14.2595
2008-05-30,14.1840
2008-06-30,11.8805
2008-07-31,11.4186
2008-08-29,12.0038
2008-09-30,12.4401
2008-10-31,8.4917
2008-11-28,7.9893
2008-12-31,7.4850
2009-01-30,6.5711
2009-02-27,5.3606
2009-03-31,4.9175
2009-04-30,6.3201
2009-05-29,7.3420
2009-06-30,7.7048
2009-07-31,8.8280
2009-08-31,10.4843
2009-09-30,12.2203
2009-10-30,12.6279
2009-11-30,12.3068
2009-12-31,12.3177
2010-01-29,11.7176
2010-02-26,10.8182
2010-03-31,12.1327
2010-04-30,12.7091
2010-05-31,0
2010-06-30,11.0981
2010-07-30,12.0351
2010-08-31,11.9385
2010-09-30,13.0260
2010-10-29,14.0334
2010-11-30,15.0469
2010-12-31,15.1571
2011-01-31,16.2328
2011-02-28,17.3699
2011-03-31,18.4537
2011-04-29,19.8839
2011-05-31,19.9141
2011-06-30,19.4286
2011-07-29,21.4417
2011-08-31,19.2999
2011-09-30,20.4530
2011-10-31,19.4010
2011-11-30,19.4608
2011-12-30,19.8006
2012-01-31,21.6996
2012-02-29,23.9551
2012-03-30,26.3506
2012-04-30,27.3136
2012-05-31,27.2736
2012-06-29,27.1539
2012-07-31,29.0959
2012-08-31,31.1484
2012-09-28,31.9145
2012-10-31,33.1535
2012-11-30,33.8841
2012-12-31,33.0339
2013-01-31,32.6756
2013-02-28,32.4706
2013-03-29,0
2013-04-30,36.1487
2013-05-31,39.3008
2013-06-28,39.8167
2013-07-31,41.9340
2013-08-30,41.4870
2013-09-30,42.5574
2013-10-31,43.4333
2013-11-29,44.0058
2013-12-31,45.1862
