,SMA_daily_20
2000-01-31,19.3597
2000-02-29,17.1979
2000-03-31,19.5359
2000-04-28,22.4816
2000-05-31,22.4367
2000-06-30,20.4430
2000-07-31,20.0426
2000-08-31,21.2336
2000-09-29,21.4179
2000-10-31,18.0215
2000-11-30,18.8925
2000-12-29,17.7870
2001-01-31,18.1984
2001-02-28,17.9924
2001-03-30,16.8068
2001-04-30,16.5745
2001-05-31,17.9000
2001-06-29,17.9028
2001-07-31,16.3209
2001-08-31,16.5053
2001-09-28,14.7741
2001-10-31,14.8387
2001-11-30,16.6400
2001-12-31,16.8825
2002-01-31,16.5763
2002-02-28,17.2462
2002-03-29,0
2002-04-30,17.7572
2002-05-31,16.7823
2002-06-28,15.5566
2002-07-31,14.3038
2002-08-30,12.9921
2002-09-30,12.3500
2002-10-31,11.6841
2002-11-29,12.9725
2002-12-31,13.3562
2003-01-31,13.1560
2003-02-28,11.6890
2003-03-31,11.3441
2003-04-30,11.9779
2003-05-30,13.5929
2003-06-30,14.7233
2003-07-31,15.4874
2003-08-29,17.1890
2003-09-30,17.0595
2003-10-31,18.0080
2003-11-28,17.9464
2003-12-31,17.9668
2004-01-30,19.6888
2004-02-27,18.8215
2004-03-31,18.1000
2004-04-30,19.1993
2004-05-31,0
2004-06-30,19.3015
2004-07-30,18.6967
2004-08-31,17.9437
2004-09-30,18.1918
2004-10-29,17.8710
2004-11-30,19.2762
2004-12-31,19.7261
2005-01-31,18.5135
2005-02-28,18.1182
2005-03-31,18.5852
2005-04-29,17.4091
2005-05-31,17.6779
2005-06-30,17.6342
2005-07-29,18.5443
2005-08-31,19.3620
2005-09-30,19.4421
2005-10-31,18.8924
2005-11-30,19.3017
2005-12-30,19.7121
2006-01-31,20.9619
2006-02-28,22.4918
2006-03-31,23.1211
2006-04-28,23.4522
2006-05-31,23.9444
2006-06-30,22.6450
2006-07-31,22.9357
2006-08-31,22.9759
2006-09-29,23.1892
2006-10-31,23.9492
2006-11-30,24.1163
2006-12-29,24.1156
2007-01-31,23.7161
2007-02-28,24.4459
2007-03-30,23.5370
2007-04-30,23.9996
2007-05-31,23.9243
2007-06-29,25.3124
2007-07-31,25.7324
2007-08-31,24.3943
2007-09-28,24.4511
2007-10-31,23.9990
2007-11-30,22.7128
2007-12-31,22.8833
2008-01-31,19.0785
2008-02-29,21.0083
2008-03-31,20.6384
2008-04-30,22.7823
2008-05-30,26.3200
2008-06-30,25.7129
2008-07-31,24.1807
2008-08-29,24.6248
2008-09-30,22.4056
2008-10-31,15.5710
2008-11-28,14.7641
2008-12-31,15.2770
2009-01-30,16.1874
2009-02-27,14.4059
2009-03-31,12.8946
2009-04-30,15.7970
2009-05-29,16.3269
2009-06-30,17.6706
2009-07-31,17.2438
2009-08-31,17.8990
2009-09-30,19.4880
2009-10-30,20.3301
2009-11-30,21.3812
2009-12-31,21.7411
2010-01-29,23.0719
2010-02-26,22.9467
2010-03-31,24.5502
2010-04-30,26.0948
2010-05-31,0
2010-06-30,23.4890
2010-07-30,23.7658
2010-08-31,24.7556
2010-09-30,26.8312
2010-10-29,28.6454
2010-11-30,29.2356
2010-12-31,31.1020
2011-01-31,31.4869
2011-02-28,35.2131
2011-03-31,34.6019
2011-04-29,35.6474
2011-05-31,34.8884
2011-06-30,34.2667
2011-07-29,35.7887
2011-08-31,29.2420
2011-09-30,27.4294
2011-10-31,28.9396
2011-11-30,29.4734
2011-12-30,31.1945
2012-01-31,32.9564
2012-02-29,35.7778
2012-03-30,34.5826
2012-04-30,33.8073
2012-05-31,31.8560
2012-06-29,30.1607
2012-07-31,29.0596
2012-08-31,31.6881
2012-09-28,33.0242
2012-10-31,31.8814
2012-11-30,34.3798
2012-12-31,35.9506
2013-01-31,37.7874
2013-02-28,40.0742
2013-03-29,0
2013-04-30,39.8091
2013-05-31,42.6887
2013-06-28,44.1660
2013-07-31,46.4742
2013-08-30,49.0843
2013-09-30,50.6555
2013-10-31,50.9000
2013-11-29,52.1142
2013-12-31,52.5944
2014-01-31,53.0744
2014-02-28,49.4443
2014-03-31,55.7339
2014-04-30,57.9265
2014-05-30,59.4029
2014-06-30,61.6265
2014-07-31,61.2759
2014-08-29,60.5120
2014-09-30,58.8477
2014-10-31,53.1138
2014-11-28,56.1344
2014-12-31,50.6795
2015-01-30,48.8103
2015-02-27,50.9921
2015-03-31,49.5421
2015-04-30,50.9580
2015-05-29,53.2995
2015-06-30,51.1101
2015-07-31,46.4173
2015-08-31,43.9008
2015-09-30,42.2083
2015-10-30,43.8595
2015-11-30,45.9608
2015-12-31,44.3285
2016-01-29,40.2753
2016-02-29,42.6169
2016-03-31,45.9742
2016-04-29,47.0948
2016-05-31,47.0244
2016-06-30,50.3343
2016-07-29,51.5467
2016-08-31,53.3381
2016-09-30,51.1631
2016-10-31,50.1154
2016-11-30,50.9922
2016-12-30,55.5032
2017-01-31,57.4736
2017-02-28,58.1499
2017-03-31,57.9497
2017-04-28,59.0580
2017-05-31,59.6615
2017-06-30,60.0113
2017-07-31,61.8973
2017-08-31,63.0922
2017-09-29,66.6754
2017-10-31,70.3194
2017-11-30,70.7335
2017-12-29,73.7042
2018-01-31,77.9270
2018-02-28,75.5075
2018-03-30,0
2018-04-30,71.2058
2018-05-31,72.1305
2018-06-29,70.9610
2018-07-31,71.9306
2018-08-31,78.4630
2018-09-28,82.6249
2018-10-31,78.4245
2018-11-30,80.3597
2018-12-31,71.5088
2019-01-31,74.6395
2019-02-28,84.9737
2019-03-29,87.0103
2019-04-30,92.0601
2019-05-31,89.8517
2019-06-28,92.4272
2019-07-31,94.5069
2019-08-30,86.8026
2019-09-30,94.2469
2019-10-31,95.8916
2019-11-29,105.5940
2019-12-31,109.7920
2020-01-31,113.0871
2020-02-28,111.7608
2020-03-31,82.7550
2020-04-30,85.0520
2020-05-29,88.2490
2020-06-30,96.0921
2020-07-31,99.2027
2020-08-31,107.4009
2020-09-30,108.2995
2020-10-30,110.4939
2020-11-30,118.9348
2020-12-31,120.9670
2021-01-29,123.1205
2021-02-26,119.4353
2021-03-31,133.3140
2021-04-30,141.6361
2021-05-31,0
2021-06-30,148.0927
2021-07-30,156.8248
2021-08-31,170.9208
2021-09-30,165.2962
2021-10-29,162.6015
2021-11-30,172.2951
2021-12-31,172.7748
2022-01-31,175.8441
2022-02-28,161.7281
2022-03-31,155.1785
