,SMA_daily_20
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,310.2553
2000-10-31,190.9175
2000-11-30,176.8558
2000-12-29,131.5760
2001-01-31,132.7061
2001-02-28,130.8826
2001-03-30,55.0267
2001-04-30,31.4493
2001-05-31,36.5731
2001-06-29,31.9116
2001-07-31,31.6034
2001-08-31,27.1730
2001-09-28,15.4100
2001-10-31,13.5608
2001-11-30,28.4058
2001-12-31,52.4712
2002-01-31,68.5361
2002-02-28,45.4724
2002-03-29,0
2002-04-30,20.1486
2002-05-31,12.5335
2002-06-28,10.6072
2002-07-31,11.0053
2002-08-30,10.0550
2002-09-30,6.8831
2002-10-31,6.2025
2002-11-29,7.5638
2002-12-31,6.4570
2003-01-31,4.1952
2003-02-28,3.0062
2003-03-31,2.8456
2003-04-30,2.4817
2003-05-30,4.5504
2003-06-30,6.9566
2003-07-31,11.0848
2003-08-29,12.7704
2003-09-30,15.9967
2003-10-31,15.4666
2003-11-28,16.9113
2003-12-31,21.5572
2004-01-30,26.9005
2004-02-27,23.8619
2004-03-31,25.9783
2004-04-30,25.4872
2004-05-31,0
2004-06-30,25.9041
2004-07-30,23.7780
2004-08-31,24.9101
2004-09-30,24.7455
2004-10-29,28.4909
2004-11-30,30.6925
2004-12-31,32.2467
2005-01-31,33.5060
2005-02-28,35.0390
2005-03-31,33.8748
2005-04-29,31.5645
2005-05-31,28.2557
2005-06-30,32.4935
2005-07-29,35.4202
2005-08-31,31.8739
2005-09-30,33.1219
2005-10-31,29.8132
2005-11-30,30.5961
2005-12-30,32.9735
2006-01-31,36.4780
2006-02-28,38.0644
2006-03-31,44.9323
2006-04-28,47.1250
2006-05-31,48.6066
2006-06-30,42.2600
2006-07-31,39.9963
2006-08-31,44.1658
2006-09-29,48.9132
2006-10-31,52.7324
2006-11-30,58.0027
2006-12-29,62.4760
2007-01-31,64.7980
2007-02-28,67.8559
2007-03-30,67.9394
2007-04-30,70.0888
2007-05-31,66.0448
2007-06-29,69.6060
2007-07-31,73.7984
2007-08-31,71.7309
2007-09-28,70.0835
2007-10-31,79.7758
2007-11-30,85.0329
2007-12-31,81.3907
2008-01-31,65.3831
2008-02-29,57.5356
2008-03-31,51.2845
2008-04-30,62.8890
2008-05-30,71.7538
2008-06-30,76.1633
2008-07-31,70.2140
2008-08-29,62.4171
2008-09-30,60.5715
2008-10-31,45.6005
2008-11-28,41.7744
2008-12-31,41.0039
2009-01-30,44.3135
2009-02-27,41.2307
2009-03-31,40.8827
2009-04-30,51.5959
2009-05-29,55.8521
2009-06-30,57.2788
2009-07-31,59.8632
2009-08-31,66.5392
2009-09-30,71.7281
2009-10-30,75.3844
2009-11-30,75.9779
2009-12-31,84.2636
2010-01-29,83.0958
2010-02-26,75.9514
2010-03-31,81.2643
2010-04-30,80.7446
2010-05-31,0
2010-06-30,67.4193
2010-07-30,68.5265
2010-08-31,73.1656
2010-09-30,78.7653
2010-10-29,63.0824
2010-11-30,66.1885
2010-12-31,66.2114
2011-01-31,69.1353
2011-02-28,72.0624
2011-03-31,68.7958
2011-04-29,75.1014
2011-05-31,80.1262
2011-06-30,78.7457
2011-07-29,81.3240
2011-08-31,71.6390
2011-09-30,73.5873
2011-10-31,76.3395
2011-11-30,77.8704
2011-12-30,81.3096
2012-01-31,90.3658
2012-02-29,105.4692
2012-03-30,115.7394
2012-04-30,125.6949
