,SMA_daily_20
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,4.5493
2001-03-30,4.2976
2001-04-30,4.8008
2001-05-31,5.9607
2001-06-29,6.6256
2001-07-31,7.4378
2001-08-31,8.0962
2001-09-28,6.9654
2001-10-31,7.1097
2001-11-30,7.3743
2001-12-31,7.8510
2002-01-31,8.1405
2002-02-28,7.7708
2002-03-29,0
2002-04-30,8.7879
2002-05-31,8.5495
2002-06-28,7.9498
2002-07-31,6.4468
2002-08-30,6.2835
2002-09-30,5.9450
2002-10-31,6.5543
2002-11-29,6.8963
2002-12-31,7.3764
2003-01-31,7.1385
2003-02-28,6.7880
2003-03-31,6.7899
2003-04-30,7.4585
2003-05-30,7.5147
2003-06-30,8.1519
2003-07-31,8.5983
2003-08-29,8.7178
2003-09-30,9.0464
2003-10-31,9.4655
2003-11-28,10.4464
2003-12-31,11.2498
2004-01-30,11.6526
2004-02-27,10.7121
2004-03-31,10.6221
2004-04-30,11.7301
2004-05-31,0
2004-06-30,11.1975
2004-07-30,10.8339
2004-08-31,10.5513
2004-09-30,11.5969
2004-10-29,12.6098
2004-11-30,13.5776
2004-12-31,13.5218
2005-01-31,13.7940
2005-02-28,13.9635
2005-03-31,14.3791
2005-04-29,15.5328
2005-05-31,15.9814
2005-06-30,16.7875
2005-07-29,15.8385
2005-08-31,16.0948
2005-09-30,17.1264
2005-10-31,19.9567
2005-11-30,21.0011
2005-12-30,21.8374
2006-01-31,24.3096
2006-02-28,24.1908
2006-03-31,25.3409
2006-04-28,23.5016
2006-05-31,22.3039
2006-06-30,22.8323
2006-07-31,20.8038
2006-08-31,18.7679
2006-09-29,18.9662
2006-10-31,20.5758
2006-11-30,21.3627
2006-12-29,22.6063
2007-01-31,19.2638
2007-02-28,18.9771
2007-03-30,18.3559
2007-04-30,18.3904
2007-05-31,19.1088
2007-06-29,19.6090
2007-07-31,18.9086
2007-08-31,18.1795
2007-09-28,19.9206
2007-10-31,22.0166
2007-11-30,21.5893
2007-12-31,21.4906
2008-01-31,18.3754
2008-02-29,19.1609
2008-03-31,19.1213
2008-04-30,20.5240
2008-05-30,22.0540
2008-06-30,23.1596
2008-07-31,22.1620
2008-08-29,23.0899
2008-09-30,22.5238
2008-10-31,19.7138
2008-11-28,18.3172
2008-12-31,16.0211
2009-01-30,16.6975
2009-02-27,16.5680
2009-03-31,15.1734
2009-04-30,15.7847
2009-05-29,16.2232
2009-06-30,18.3748
2009-07-31,19.3099
2009-08-31,20.9019
2009-09-30,21.8787
2009-10-30,24.1781
2009-11-30,25.3672
2009-12-31,25.4193
2010-01-29,23.4424
2010-02-26,21.6552
2010-03-31,22.1465
2010-04-30,21.8321
2010-05-31,0
2010-06-30,19.6660
2010-07-30,18.4824
2010-08-31,18.5426
2010-09-30,19.8891
2010-10-29,19.4970
2010-11-30,19.9820
2010-12-31,21.8822
2011-01-31,23.0607
2011-02-28,23.7764
2011-03-31,23.2021
2011-04-29,25.4529
2011-05-31,25.6255
2011-06-30,24.4060
2011-07-29,24.6993
2011-08-31,21.4507
2011-09-30,20.7394
2011-10-31,21.4604
2011-11-30,21.8026
2011-12-30,22.3027
2012-01-31,23.7782
2012-02-29,25.2288
2012-03-30,25.5102
2012-04-30,22.2989
2012-05-31,21.0937
