,SMA_daily_20
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,0
2010-08-31,0
2010-09-30,0
2010-10-29,0
2010-11-30,0
2010-12-31,0
2011-01-31,0
2011-02-28,0
2011-03-31,0
2011-04-29,0
2011-05-31,0
2011-06-30,0
2011-07-29,0
2011-08-31,0
2011-09-30,0
2011-10-31,0
2011-11-30,0
2011-12-30,0
2012-01-31,0
2012-02-29,0
2012-03-30,0
2012-04-30,0
2012-05-31,0
2012-06-29,0
2012-07-31,0
2012-08-31,0
2012-09-28,0
2012-10-31,0
2012-11-30,0
2012-12-31,0
2013-01-31,0
2013-02-28,0
2013-03-29,0
2013-04-30,0
2013-05-31,0
2013-06-28,0
2013-07-31,0
2013-08-30,0
2013-09-30,0
2013-10-31,0
2013-11-29,0
2013-12-31,0
2014-01-31,0
2014-02-28,0
2014-03-31,0
2014-04-30,0
2014-05-30,0
2014-06-30,0
2014-07-31,25.7062
2014-08-29,24.9931
2014-09-30,23.8377
2014-10-31,22.6665
2014-11-28,24.5021
2014-12-31,25.3683
2015-01-30,25.7189
2015-02-27,25.9694
2015-03-31,26.0597
2015-04-30,25.9414
2015-05-29,25.7057
2015-06-30,26.0553
2015-07-31,25.9301
2015-08-31,27.6952
2015-09-30,28.4424
2015-10-30,29.6769
2015-11-30,28.9560
2015-12-31,28.8877
2016-01-29,27.8428
2016-02-29,27.2795
2016-03-31,30.5925
2016-04-29,34.3250
2016-05-31,33.5951
2016-06-30,32.0325
2016-07-29,33.7699
2016-08-31,35.3369
2016-09-30,36.2650
2016-10-31,36.2733
2016-11-30,34.9259
2016-12-30,34.5649
2017-01-31,37.2368
2017-02-28,39.1765
2017-03-31,39.9524
2017-04-28,41.9677
2017-05-31,43.5312
2017-06-30,45.5534
2017-07-31,44.2644
2017-08-31,45.3413
2017-09-29,46.0794
2017-10-31,42.8835
2017-11-30,42.8482
2017-12-29,44.3317
2018-01-31,46.6652
2018-02-28,45.4420
2018-03-30,0
2018-04-30,47.8919
2018-05-31,49.8095
2018-06-29,50.0673
2018-07-31,51.9436
2018-08-31,53.0844
2018-09-28,53.7119
2018-10-31,50.9183
2018-11-30,50.8491
2018-12-31,48.5406
2019-01-31,49.5148
2019-02-28,51.8120
2019-03-29,53.0343
2019-04-30,54.4687
2019-05-31,56.0774
2019-06-28,58.8259
2019-07-31,63.9624
2019-08-30,63.0436
2019-09-30,65.7616
2019-10-31,67.7077
2019-11-29,69.6351
2019-12-31,72.9552
2020-01-31,77.4489
2020-02-28,77.4880
2020-03-31,57.5690
2020-04-30,63.9878
2020-05-29,66.2251
2020-06-30,71.3760
2020-07-31,77.3887
2020-08-31,81.1815
2020-09-30,77.7219
2020-10-30,79.3469
2020-11-30,90.0214
2020-12-31,88.1448
2021-01-29,87.2639
2021-02-26,90.2762
2021-03-31,94.4064
2021-04-30,103.0667
2021-05-31,0
2021-06-30,109.0494
2021-07-30,113.4526
2021-08-31,118.4581
2021-09-30,120.9901
2021-10-29,122.2754
2021-11-30,127.4586
2021-12-31,131.9106
2022-01-31,120.7484
2022-02-28,111.5000
2022-03-31,0
