,SMA_daily_20
2000-01-31,6.8830
2000-02-29,6.3010
2000-03-31,7.2895
2000-04-28,9.0638
2000-05-31,7.5401
2000-06-30,7.1661
2000-07-31,6.7096
2000-08-31,5.4408
2000-09-29,5.0751
2000-10-31,4.5245
2000-11-30,5.1000
2000-12-29,4.9727
2001-01-31,5.6857
2001-02-28,5.8804
2001-03-30,5.1953
2001-04-30,5.1610
2001-05-31,5.5717
2001-06-29,5.5150
2001-07-31,6.0297
2001-08-31,6.3173
2001-09-28,5.3685
2001-10-31,4.6767
2001-11-30,5.4718
2001-12-31,5.9190
2002-01-31,6.8535
2002-02-28,7.5750
2002-03-29,0
2002-04-30,7.4233
2002-05-31,7.5859
2002-06-28,7.2955
2002-07-31,6.0662
2002-08-30,5.9060
2002-09-30,6.3145
2002-10-31,5.8282
2002-11-29,6.3541
2002-12-31,5.9785
2003-01-31,5.8480
2003-02-28,5.4071
2003-03-31,5.4538
2003-04-30,5.2846
2003-05-30,5.4027
2003-06-30,6.1292
2003-07-31,6.6361
2003-08-29,7.4456
2003-09-30,8.0875
2003-10-31,9.2244
2003-11-28,10.1078
2003-12-31,10.6831
2004-01-30,11.8879
2004-02-27,12.6614
2004-03-31,12.2585
2004-04-30,12.2198
2004-05-31,0
2004-06-30,13.4668
2004-07-30,13.6688
2004-08-31,12.5568
2004-09-30,12.6486
2004-10-29,13.0468
2004-11-30,14.4456
2004-12-31,14.7669
2005-01-31,15.3875
2005-02-28,16.4965
2005-03-31,17.3385
2005-04-29,17.4716
2005-05-31,18.4272
2005-06-30,21.7118
2005-07-29,23.3847
2005-08-31,21.3604
2005-09-30,22.7887
2005-10-31,21.3993
2005-11-30,24.3192
2005-12-30,24.1681
2006-01-31,26.2411
2006-02-28,26.4205
2006-03-31,26.4078
2006-04-28,25.4332
2006-05-31,24.0188
2006-06-30,23.6109
2006-07-31,22.6344
2006-08-31,23.0954
2006-09-29,27.2091
2006-10-31,30.8668
2006-11-30,31.5768
2006-12-29,32.3690
2007-01-31,35.3992
2007-02-28,37.6175
2007-03-30,34.3063
2007-04-30,36.5425
2007-05-31,35.2283
2007-06-29,34.2830
2007-07-31,31.4810
2007-08-31,31.6205
2007-09-28,32.2446
2007-10-31,28.1632
2007-11-30,22.5360
2007-12-31,24.3075
2008-01-31,22.2531
2008-02-29,24.8429
2008-03-31,23.1267
2008-04-30,23.3734
2008-05-30,23.8276
2008-06-30,22.6199
2008-07-31,19.7097
2008-08-29,20.0747
2008-09-30,21.7941
2008-10-31,12.0965
2008-11-28,8.5345
2008-12-31,8.5793
2009-01-30,9.3347
2009-02-27,8.8943
2009-03-31,10.5387
2009-04-30,14.4488
2009-05-29,15.3163
2009-06-30,14.0603
2009-07-31,15.9077
2009-08-31,19.9142
2009-09-30,21.3929
2009-10-30,23.4977
2009-11-30,24.0621
2009-12-31,25.7215
2010-01-29,25.7094
2010-02-26,24.9567
2010-03-31,28.6032
2010-04-30,30.5605
2010-05-31,0
2010-06-30,26.3673
2010-07-30,23.9596
2010-08-31,22.7853
2010-09-30,25.3860
2010-10-29,27.3702
2010-11-30,30.2446
2010-12-31,30.5473
2011-01-31,30.2979
2011-02-28,32.2291
2011-03-31,31.4498
2011-04-29,33.7761
2011-05-31,34.1177
2011-06-30,32.3172
2011-07-29,36.5944
2011-08-31,30.5594
2011-09-30,33.7957
2011-10-31,36.9643
2011-11-30,35.2010
2011-12-30,35.6373
2012-01-31,36.4480
2012-02-29,38.0416
2012-03-30,40.4151
2012-04-30,41.0093
2012-05-31,38.1372
2012-06-29,36.1833
2012-07-31,38.9747
2012-08-31,42.2602
2012-09-28,42.5034
2012-10-31,41.9100
2012-11-30,41.5450
2012-12-31,39.4770
2013-01-31,41.4551
2013-02-28,41.2196
2013-03-29,0
2013-04-30,42.1322
2013-05-31,45.2440
2013-06-28,44.8017
2013-07-31,47.0282
2013-08-30,44.2097
2013-09-30,43.4142
2013-10-31,44.5227
2013-11-29,47.2924
2013-12-31,46.8508
2014-01-31,45.7589
2014-02-28,45.0902
2014-03-31,47.8948
2014-04-30,47.7286
2014-05-30,50.1155
2014-06-30,52.8016
2014-07-31,53.3351
2014-08-29,53.3828
2014-09-30,53.9111
2014-10-31,54.9501
2014-11-28,57.5027
2014-12-31,59.8933
2015-01-30,60.7477
2015-02-27,62.0440
2015-03-31,63.2635
2015-04-30,61.7098
2015-05-29,59.2683
2015-06-30,58.8677
2015-07-31,61.2859
2015-08-31,59.6630
2015-09-30,58.1889
2015-10-30,57.2356
2015-11-30,51.1711
2015-12-31,45.6768
2016-01-29,40.7956
2016-02-29,43.2323
2016-03-31,48.6725
2016-04-29,45.3624
2016-05-31,36.3265
2016-06-30,33.2194
2016-07-29,35.7430
2016-08-31,43.3632
2016-09-30,44.5929
2016-10-31,46.9924
2016-11-30,49.0602
2016-12-30,47.5641
2017-01-31,39.6559
2017-02-28,39.6755
2017-03-31,39.0956
2017-04-28,41.2679
2017-05-31,39.2811
2017-06-30,41.4397
2017-07-31,42.6056
2017-08-31,40.6091
2017-09-29,42.1830
2017-10-31,38.2071
2017-11-30,36.8395
2017-12-29,42.4754
2018-01-31,45.7531
2018-02-28,45.4754
2018-03-30,0
2018-04-30,44.6384
2018-05-31,44.9071
2018-06-29,47.8648
2018-07-31,48.9394
2018-08-31,53.1346
2018-09-28,58.9644
2018-10-31,57.1825
2018-11-30,54.6383
2018-12-31,45.3560
2019-01-31,44.0951
2019-02-28,42.7155
2019-03-29,41.8275
2019-04-30,40.9947
2019-05-31,34.6987
2019-06-28,31.0289
2019-07-31,29.3453
2019-08-30,27.1169
2019-09-30,31.6000
2019-10-31,34.1515
2019-11-29,35.9539
2019-12-31,38.6367
2020-01-31,39.2666
2020-02-28,37.7508
2020-03-31,20.9387
2020-04-30,17.9345
2020-05-29,16.6774
2020-06-30,18.1073
2020-07-31,14.9996
2020-08-31,15.6684
2020-09-30,13.9808
2020-10-30,12.9694
2020-11-30,18.7597
2020-12-31,30.5812
2021-01-29,35.3795
2021-02-26,35.4768
2021-03-31,38.8953
2021-04-30,36.5686
2021-05-31,0
2021-06-30,34.4376
2021-07-30,33.3731
2021-08-31,33.6581
2021-09-30,27.7322
2021-10-29,27.7362
2021-11-30,30.6711
2021-12-31,20.9692
2022-01-31,22.4106
2022-02-28,21.6777
2022-03-31,25.5744
