,SMA_daily_20
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,28.2562
2006-12-29,26.5822
2007-01-31,26.0221
2007-02-28,26.4429
2007-03-30,25.6785
2007-04-30,26.0372
2007-05-31,27.2759
2007-06-29,26.3715
2007-07-31,25.7305
2007-08-31,25.0230
2007-09-28,26.5873
2007-10-31,27.9632
2007-11-30,28.3833
2007-12-31,28.9203
2008-01-31,27.3380
2008-02-29,26.9432
2008-03-31,26.9230
2008-04-30,27.6759
2008-05-30,28.1220
2008-06-30,29.9677
2008-07-31,28.3847
2008-08-29,27.6195
2008-09-30,28.9615
2008-10-31,26.1304
2008-11-28,26.2293
2008-12-31,27.0168
2009-01-30,28.1718
2009-02-27,28.1595
2009-03-31,25.4937
2009-04-30,26.1462
2009-05-29,25.6778
2009-06-30,26.3209
2009-07-31,25.7990
2009-08-31,25.8662
2009-09-30,25.5392
2009-10-30,26.5043
2009-11-30,26.1903
2009-12-31,27.0818
2010-01-29,27.1540
2010-02-26,27.2196
2010-03-31,27.6744
2010-04-30,25.6893
2010-05-31,0
2010-06-30,25.2266
2010-07-30,24.1929
2010-08-31,22.8373
2010-09-30,22.5009
2010-10-29,22.8358
2010-11-30,22.5702
2010-12-31,22.6676
2011-01-31,23.5526
2011-02-28,23.7714
2011-03-31,24.1648
2011-04-29,24.9112
2011-05-31,25.0873
2011-06-30,23.8630
2011-07-29,23.7944
2011-08-31,20.7367
2011-09-30,18.1958
2011-10-31,17.9944
2011-11-30,17.4725
2011-12-30,17.7395
2012-01-31,18.5718
2012-02-29,18.3654
2012-03-30,18.7292
2012-04-30,17.9618
2012-05-31,15.9794
2012-06-29,17.0209
2012-07-31,16.7130
2012-08-31,17.5112
2012-09-28,18.2719
2012-10-31,16.4797
2012-11-30,16.7593
2012-12-31,17.0422
2013-01-31,17.9819
2013-02-28,17.8862
2013-03-29,0
2013-04-30,21.4020
2013-05-31,22.9482
2013-06-28,22.1011
2013-07-31,23.6494
2013-08-30,25.4335
2013-09-30,24.9572
2013-10-31,28.2153
