,SMA_daily_20
2000-01-31,8.0880
2000-02-29,7.0347
2000-03-31,6.2328
2000-04-28,7.3249
2000-05-31,8.3397
2000-06-30,8.8608
2000-07-31,8.6801
2000-08-31,11.1530
2000-09-29,11.6357
2000-10-31,11.5385
2000-11-30,12.9591
2000-12-29,13.7049
2001-01-31,13.3678
2001-02-28,14.3987
2001-03-30,15.8078
2001-04-30,17.1997
2001-05-31,19.9028
2001-06-29,18.5197
2001-07-31,16.3054
2001-08-31,14.8330
2001-09-28,13.3885
2001-10-31,14.0465
2001-11-30,15.8909
2001-12-31,15.8092
2002-01-31,16.8093
2002-02-28,16.8217
2002-03-29,0
2002-04-30,17.1590
2002-05-31,16.9062
2002-06-28,15.8945
2002-07-31,13.5184
2002-08-30,14.7685
2002-09-30,13.9183
2002-10-31,12.3542
2002-11-29,11.7145
2002-12-31,12.1855
2003-01-31,13.2886
2003-02-28,12.5011
2003-03-31,12.3023
2003-04-30,11.7669
2003-05-30,12.6330
2003-06-30,13.7340
2003-07-31,13.6735
2003-08-29,12.4801
2003-09-30,12.1662
2003-10-31,12.4836
2003-11-28,12.4171
2003-12-31,13.4426
2004-01-30,15.2740
2004-02-27,16.8662
2004-03-31,17.7255
2004-04-30,17.6345
2004-05-31,0
2004-06-30,17.4182
2004-07-30,16.8237
2004-08-31,16.3761
2004-09-30,17.3354
2004-10-29,17.2378
2004-11-30,19.5190
2004-12-31,20.6960
2005-01-31,20.4584
2005-02-28,21.0679
2005-03-31,21.5781
2005-04-29,21.2813
2005-05-31,21.6864
2005-06-30,23.2500
2005-07-29,24.0930
2005-08-31,25.7675
2005-09-30,27.2362
2005-10-31,26.9113
2005-11-30,28.8309
2005-12-30,28.7323
2006-01-31,29.6347
2006-02-28,28.5936
2006-03-31,29.5143
2006-04-28,30.6725
2006-05-31,31.7307
2006-06-30,30.8174
2006-07-31,32.1403
2006-08-31,33.6480
2006-09-29,34.5277
2006-10-31,34.5859
2006-11-30,35.7332
2006-12-29,37.1815
2007-01-31,37.8852
2007-02-28,39.5427
2007-03-30,40.2501
2007-04-30,42.1552
2007-05-31,44.8584
2007-06-29,46.8693
2007-07-31,45.8188
2007-08-31,41.6322
2007-09-28,42.4426
2007-10-31,44.9074
2007-11-30,41.5369
2007-12-31,43.9374
2008-01-31,42.6521
2008-02-29,39.7811
2008-03-31,37.0449
2008-04-30,38.7866
2008-05-30,43.0132
2008-06-30,44.8999
2008-07-31,40.2537
2008-08-29,38.7320
2008-09-30,37.2175
2008-10-31,28.1488
2008-11-28,25.3962
2008-12-31,24.8378
2009-01-30,23.9274
2009-02-27,20.4156
2009-03-31,19.2542
2009-04-30,22.2765
2009-05-29,24.2814
2009-06-30,25.2399
2009-07-31,25.4916
2009-08-31,29.8490
2009-09-30,31.3248
2009-10-30,32.2942
2009-11-30,32.5434
2009-12-31,33.0924
2010-01-29,34.1926
2010-02-26,33.1802
2010-03-31,34.5229
2010-04-30,35.2653
2010-05-31,0
2010-06-30,30.5046
2010-07-30,33.3514
2010-08-31,33.9414
2010-09-30,34.3852
2010-10-29,36.4311
2010-11-30,35.9917
2010-12-31,35.9102
2011-01-31,37.2544
2011-02-28,39.5073
2011-03-31,39.5144
2011-04-29,40.0467
2011-05-31,38.9020
2011-06-30,38.2504
2011-07-29,38.2141
2011-08-31,33.8135
2011-09-30,33.5237
2011-10-31,34.7362
2011-11-30,35.6151
2011-12-30,35.3900
2012-01-31,35.6395
2012-02-29,35.9775
2012-03-30,36.6520
2012-04-30,37.2500
2012-05-31,37.2128
2012-06-29,37.3185
2012-07-31,37.9966
2012-08-31,37.8882
2012-09-28,38.8984
2012-10-31,39.4630
2012-11-30,38.4932
2012-12-31,38.5273
2013-01-31,40.2257
2013-02-28,40.9591
2013-03-29,0
2013-04-30,41.2806
2013-05-31,43.2989
2013-06-28,42.0732
2013-07-31,43.1173
2013-08-30,43.2963
2013-09-30,43.7941
2013-10-31,45.5548
2013-11-29,45.3366
2013-12-31,44.6879
2014-01-31,43.7341
2014-02-28,41.5020
2014-03-31,41.6541
2014-04-30,41.7564
2014-05-30,40.8587
2014-06-30,41.4413
2014-07-31,41.5029
2014-08-29,40.4238
2014-09-30,40.4407
2014-10-31,39.6442
