,SMA_daily_20
2000-01-31,4.2154
2000-02-29,4.3003
2000-03-31,4.6495
2000-04-28,5.3205
2000-05-31,5.4039
2000-06-30,5.3881
2000-07-31,5.1207
2000-08-31,4.7697
2000-09-29,4.7567
2000-10-31,5.0130
2000-11-30,5.4501
2000-12-29,5.8459
2001-01-31,5.8821
2001-02-28,6.2800
2001-03-30,6.6176
2001-04-30,6.8057
2001-05-31,6.4600
2001-06-29,6.8026
2001-07-31,7.2235
2001-08-31,7.1770
2001-09-28,7.2875
2001-10-31,7.4112
2001-11-30,7.1708
2001-12-31,6.9553
2002-01-31,7.1265
2002-02-28,7.7409
2002-03-29,0
2002-04-30,8.6240
2002-05-31,8.6730
2002-06-28,8.6446
2002-07-31,7.8339
2002-08-30,7.6271
2002-09-30,7.6422
2002-10-31,7.8231
2002-11-29,7.8431
2002-12-31,7.9603
2003-01-31,7.7070
2003-02-28,7.6507
2003-03-31,8.2106
2003-04-30,8.3355
2003-05-30,8.7662
2003-06-30,9.1759
2003-07-31,8.8139
2003-08-29,8.8749
2003-09-30,9.2335
2003-10-31,10.1035
2003-11-28,9.9280
2003-12-31,10.1635
2004-01-30,10.2622
2004-02-27,10.5558
2004-03-31,11.0076
2004-04-30,11.5938
2004-05-31,0
2004-06-30,12.0172
2004-07-30,12.2750
2004-08-31,11.4975
2004-09-30,11.8858
2004-10-29,12.1742
2004-11-30,12.8850
2004-12-31,13.2431
2005-01-31,13.3077
2005-02-28,13.2066
2005-03-31,12.8288
2005-04-29,12.1626
2005-05-31,12.0973
2005-06-30,11.7101
2005-07-29,11.8293
2005-08-31,11.9574
2005-09-30,10.9740
2005-10-31,10.9571
2005-11-30,10.9009
2005-12-30,10.8895
2006-01-31,11.0845
2006-02-28,11.3987
2006-03-31,12.1610
2006-04-28,12.2303
2006-05-31,12.5277
2006-06-30,11.8951
2006-07-31,12.4869
2006-08-31,12.9223
2006-09-29,13.3296
2006-10-31,13.4904
2006-11-30,13.7939
2006-12-29,14.2347
2007-01-31,13.9885
2007-02-28,14.2785
2007-03-30,13.8732
2007-04-30,13.9243
2007-05-31,13.6585
2007-06-29,13.6774
2007-07-31,13.4636
2007-08-31,13.4497
2007-09-28,13.2563
2007-10-31,13.1087
2007-11-30,13.5835
2007-12-31,14.1837
2008-01-31,13.3560
2008-02-29,12.9849
2008-03-31,13.3061
2008-04-30,14.1054
2008-05-30,13.8898
2008-06-30,13.9968
2008-07-31,14.4305
2008-08-29,15.4536
2008-09-30,15.0459
2008-10-31,12.9818
2008-11-28,11.7632
2008-12-31,11.5411
2009-01-30,11.9282
2009-02-27,12.0977
2009-03-31,11.8557
2009-04-30,11.1631
2009-05-29,11.8407
2009-06-30,12.2384
2009-07-31,12.7405
2009-08-31,12.4485
2009-09-30,13.1259
2009-10-30,13.4107
2009-11-30,13.9757
2009-12-31,14.1765
2010-01-29,14.5623
2010-02-26,14.4312
2010-03-31,15.1542
2010-04-30,15.3868
2010-05-31,0
2010-06-30,15.6375
2010-07-30,15.4815
2010-08-31,15.9571
2010-09-30,16.4151
2010-10-29,17.1247
2010-11-30,17.7371
2010-12-31,18.8183
2011-01-31,18.4892
2011-02-28,18.3911
2011-03-31,19.6298
2011-04-29,19.4481
2011-05-31,20.2144
2011-06-30,20.1497
2011-07-29,20.2332
2011-08-31,18.7416
2011-09-30,19.0079
2011-10-31,19.7288
2011-11-30,19.9971
2011-12-30,20.4182
2012-01-31,21.1307
2012-02-29,20.9340
2012-03-30,21.5632
2012-04-30,22.7510
2012-05-31,23.5777
2012-06-29,23.8511
2012-07-31,25.4240
2012-08-31,25.2934
2012-09-28,26.3015
2012-10-31,26.1291
2012-11-30,26.7287
2012-12-31,27.0654
2013-01-31,27.2704
2013-02-28,27.3029
2013-03-29,0
2013-04-30,30.3418
2013-05-31,31.1311
2013-06-28,30.1869
2013-07-31,30.5454
2013-08-30,30.2113
2013-09-30,28.9361
2013-10-31,28.9244
2013-11-29,29.7393
2013-12-31,29.4462
2014-01-31,29.5824
2014-02-28,28.0005
2014-03-31,29.5049
2014-04-30,30.7778
2014-05-30,30.8617
2014-06-30,31.2486
2014-07-31,30.3677
2014-08-29,29.9214
2014-09-30,29.6700
2014-10-31,29.8823
2014-11-28,31.8353
2014-12-31,32.5651
2015-01-30,32.5312
2015-02-27,32.8098
2015-03-31,32.6696
2015-04-30,34.0631
2015-05-29,34.5214
2015-06-30,34.8686
2015-07-31,35.7729
2015-08-31,36.5513
2015-09-30,36.3200
