,SMA_daily_20
2000-01-31,47.5260
2000-02-29,44.0280
2000-03-31,49.1010
2000-04-28,55.0820
2000-05-31,59.7080
2000-06-30,55.9575
2000-07-31,59.8805
2000-08-31,70.9430
2000-09-29,77.7545
2000-10-31,83.6775
2000-11-30,95.6900
2000-12-29,106.1640
2001-01-31,121.0300
2001-02-28,134.7300
2001-03-30,158.4400
2001-04-30,173.2000
2001-05-31,187.8600
2001-06-29,151.6600
2001-07-31,164.3300
2001-08-31,157.9200
2001-09-28,149.5200
2001-10-31,156.0100
2001-11-30,170.3350
2001-12-31,195.1450
2002-01-31,208.2400
2002-02-28,258.9600
2002-03-29,0
2002-04-30,356.2350
2002-05-31,361.6550
2002-06-28,331.7400
2002-07-31,287.5500
2002-08-30,303.0700
2002-09-30,312.7700
2002-10-31,314.6550
2002-11-29,330.1350
2002-12-31,327.3910
2003-01-31,339.2150
2003-02-28,331.7150
2003-03-31,323.5500
2003-04-30,357.2615
2003-05-30,381.4390
2003-06-30,416.5080
2003-07-31,418.7650
2003-08-29,427.5010
2003-09-30,455.0725
2003-10-31,502.3100
2003-11-28,480.0520
2003-12-31,479.4145
2004-01-30,436.8875
2004-02-27,458.1400
2004-03-31,462.3855
2004-04-30,449.5620
2004-05-31,0
2004-06-30,461.3425
2004-07-30,471.7030
2004-08-31,492.9205
2004-09-30,534.8150
2004-10-29,565.4305
2004-11-30,669.9610
2004-12-31,737.4380
2005-01-31,763.3980
2005-02-28,788.8830
2005-03-31,792.7455
2005-04-29,763.6000
2005-05-31,742.0830
2005-06-30,794.4375
2005-07-29,845.6650
2005-08-31,863.2170
2005-09-30,867.8890
2005-10-31,739.7340
2005-11-30,708.7920
2005-12-30,703.6280
2006-01-31,762.2745
2006-02-28,755.6925
2006-03-31,753.9885
2006-04-28,778.9465
2006-05-31,686.0625
2006-06-30,529.4105
2006-07-31,457.3100
2006-08-31,493.4025
2006-09-29,545.5890
2006-10-31,554.7935
2006-11-30,562.2620
2006-12-29,642.2110
2007-01-31,626.4010
2007-02-28,713.4235
2007-03-30,686.6380
2007-04-30,736.3905
2007-05-31,797.0385
2007-06-29,699.6040
2007-07-31,644.7945
2007-08-31,574.6305
2007-09-28,499.6810
2007-10-31,467.2140
2007-11-30,464.3540
2007-12-31,520.3355
2008-01-31,527.5095
2008-02-29,577.0140
2008-03-31,560.2010
2008-04-30,640.1165
2008-05-30,591.2640
2008-06-30,536.1985
2008-07-31,519.2770
2008-08-29,571.5535
2008-09-30,592.1910
2008-10-31,522.1735
2008-11-28,407.1400
2008-12-31,452.6715
2009-01-30,452.6620
2009-02-27,375.8435
2009-03-31,391.3110
2009-04-30,479.4385
2009-05-29,493.6930
2009-06-30,500.5315
2009-07-31,553.1385
2009-08-31,639.6810
2009-09-30,656.2590
2009-10-30,672.4875
2009-11-30,678.1665
2009-12-31,686.5835
2010-01-29,712.0640
2010-02-26,688.9615
2010-03-31,743.1320
2010-04-30,729.9000
2010-05-31,0
2010-06-30,663.6730
2010-07-30,647.9695
2010-08-31,620.7465
2010-09-30,632.1330
2010-10-29,632.5160
2010-11-30,631.0920
2010-12-31,679.5890
2011-01-31,761.0370
2011-02-28,751.9215
2011-03-31,757.2715
2011-04-29,751.0275
2011-05-31,733.1155
2011-06-30,719.6600
2011-07-29,717.1905
2011-08-31,608.9205
2011-09-30,621.6930
2011-10-31,631.4420
2011-11-30,636.8600
2011-12-30,666.9940
2012-01-31,720.6250
2012-02-29,709.6435
2012-03-30,726.4645
2012-04-30,754.9695
2012-05-31,805.4110
2012-06-29,795.6445
2012-07-31,819.0000
2012-08-31,821.5415
2012-09-28,853.3515
2012-10-31,883.2020
2012-11-30,890.1940
2012-12-31,923.3420
2013-01-31,987.3965
2013-02-28,1012.1100
2013-03-29,0
2013-04-30,1019.8870
2013-05-31,1001.1895
2013-06-28,950.8460
2013-07-31,927.5860
2013-08-30,877.2305
2013-09-30,902.5175
2013-10-31,916.1270
2013-11-29,948.3735
2013-12-31,986.3590
2014-01-31,1038.9920
2014-02-28,1169.1130
2014-03-31,1172.4840
2014-04-30,1113.9900
2014-05-30,1100.0550
2014-06-30,1133.8345
2014-07-31,1124.3490
2014-08-29,1155.3980
2014-09-30,1152.1655
2014-10-31,1172.7600
2014-11-28,1235.3310
2014-12-31,1236.6405
2015-01-30,1268.5995
2015-02-27,1320.7485
2015-03-31,1330.8490
2015-04-30,1339.8670
2015-05-29,1345.6120
2015-06-30,1362.0470
2015-07-31,1421.4215
2015-08-31,1511.7045
2015-09-30,1561.3210
2015-10-30,1596.9620
2015-11-30,1653.7255
2015-12-31,1662.4510
2016-01-29,1567.3990
2016-02-29,1586.2995
2016-03-31,1697.1140
2016-04-29,1729.5895
2016-05-31,1677.8910
2016-06-30,1719.3495
2016-07-29,1760.7580
2016-08-31,1692.4090
2016-09-30,1662.1475
2016-10-31,1587.9580
2016-11-30,1557.0420
2016-12-30,1647.6770
2017-01-31,1731.2810
2017-02-28,1898.1455
2017-03-31,2040.5505
2017-04-28,2102.8555
2017-05-31,2239.3290
2017-06-30,2419.7525
2017-07-31,2544.8810
2017-08-31,2703.3575
2017-09-29,2791.1080
2017-10-31,3045.6910
2017-11-30,3326.0545
2017-12-29,3430.4695
2018-01-31,3505.1740
2018-02-28,3013.0690
2018-03-30,0
2018-04-30,3082.2525
2018-05-31,3027.0195
2018-06-29,3074.4735
2018-07-31,2980.3585
2018-08-31,2685.9290
2018-09-28,2606.1940
2018-10-31,2249.9410
2018-11-30,2396.6790
2018-12-31,2436.3750
2019-01-31,2529.9030
2019-02-28,2628.0905
2019-03-29,2750.8830
2019-04-30,3014.2835
2019-05-31,3266.1390
2019-06-28,3362.2775
2019-07-31,3414.3595
2019-08-30,3539.8095
2019-09-30,3634.8190
2019-10-31,3697.5905
2019-11-29,3616.1685
2019-12-31,3797.6795
2020-01-31,3874.1800
2020-02-28,3905.6655
2020-03-31,2959.2740
2020-04-30,2833.5175
2020-05-29,3063.4580
2020-06-30,3316.6420
2020-07-31,3524.4450
2020-08-31,4082.1930
2020-09-30,4025.3320
2020-10-30,4229.0220
2020-11-30,4168.6275
2020-12-31,4089.4990
2021-01-29,4195.9970
2021-02-26,4628.5535
2021-03-31,4603.4250
2021-04-30,4888.6545
2021-05-31,0
2021-06-30,4784.9355
2021-07-30,5014.1460
2021-08-31,5184.1065
2021-09-30,5006.9690
2021-10-29,4892.1105
2021-11-30,5174.3405
2021-12-31,5790.2110
2022-01-31,5438.4580
2022-02-28,5113.1830
2022-03-31,4767.2280
