,SMA_daily_20
2000-01-31,2.9734
2000-02-29,2.9827
2000-03-31,2.9161
2000-04-28,2.9474
2000-05-31,3.2610
2000-06-30,3.4497
2000-07-31,3.5179
2000-08-31,3.4633
2000-09-29,3.3891
2000-10-31,3.4327
2000-11-30,3.5783
2000-12-29,3.7328
2001-01-31,3.9411
2001-02-28,3.9709
2001-03-30,3.9539
2001-04-30,4.2455
2001-05-31,4.3303
2001-06-29,4.4329
2001-07-31,4.5835
2001-08-31,4.6811
2001-09-28,4.5463
2001-10-31,4.6734
2001-11-30,4.6991
2001-12-31,4.8029
2002-01-31,5.0646
2002-02-28,5.2365
2002-03-29,0
2002-04-30,5.6028
2002-05-31,5.7200
2002-06-28,5.9467
2002-07-31,5.7074
2002-08-30,5.7570
2002-09-30,5.8734
2002-10-31,5.7000
2002-11-29,6.0454
2002-12-31,6.2607
2003-01-31,5.9697
2003-02-28,6.0602
2003-03-31,6.3405
2003-04-30,6.7428
2003-05-30,6.7682
2003-06-30,6.9919
2003-07-31,7.3634
2003-08-29,7.1919
2003-09-30,7.3471
2003-10-31,7.4649
2003-11-28,7.4861
2003-12-31,7.5578
2004-01-30,7.5964
2004-02-27,8.0607
2004-03-31,8.4175
2004-04-30,7.5108
2004-05-31,0
2004-06-30,7.9134
2004-07-30,8.0461
2004-08-31,8.2061
2004-09-30,8.7052
2004-10-29,9.2760
2004-11-30,9.6538
2004-12-31,10.1234
2005-01-31,9.3443
2005-02-28,9.6459
2005-03-31,9.4404
2005-04-29,9.4761
2005-05-31,9.9486
2005-06-30,10.2575
2005-07-29,10.2496
2005-08-31,9.6400
2005-09-30,9.9296
2005-10-31,9.1723
2005-11-30,9.4276
2005-12-30,9.3056
2006-01-31,9.6983
2006-02-28,9.7895
2006-03-31,10.2453
2006-04-28,9.7582
2006-05-31,9.5494
2006-06-30,9.5536
2006-07-31,9.7774
2006-08-31,10.4382
2006-09-29,10.8512
2006-10-31,11.4223
2006-11-30,11.8767
2006-12-29,12.4007
2007-01-31,12.5193
2007-02-28,13.0409
2007-03-30,12.5286
2007-04-30,12.8378
2007-05-31,12.5443
2007-06-29,11.8515
2007-07-31,11.4427
2007-08-31,12.4517
2007-09-28,12.8411
2007-10-31,13.4991
2007-11-30,13.4209
2007-12-31,13.2262
2008-01-31,10.9435
2008-02-29,11.3459
2008-03-31,11.9462
2008-04-30,12.8261
2008-05-30,11.9011
2008-06-30,11.5071
2008-07-31,11.8678
2008-08-29,12.5184
2008-09-30,13.0367
2008-10-31,11.1101
2008-11-28,9.9756
2008-12-31,11.1838
2009-01-30,10.3160
2009-02-27,9.5833
2009-03-31,8.7599
2009-04-30,11.0881
2009-05-29,11.2004
2009-06-30,11.7386
2009-07-31,11.7808
2009-08-31,13.3844
2009-09-30,13.9521
2009-10-30,12.7428
2009-11-30,13.2757
2009-12-31,14.3369
2010-01-29,14.9139
2010-02-26,15.1001
2010-03-31,16.5451
2010-04-30,18.0080
2010-05-31,0
2010-06-30,17.5763
2010-07-30,17.8035
2010-08-31,18.4087
2010-09-30,19.2024
2010-10-29,19.8751
2010-11-30,19.6121
2010-12-31,19.6180
2011-01-31,19.7672
2011-02-28,20.4226
2011-03-31,20.2288
2011-04-29,20.6082
2011-05-31,20.7156
2011-06-30,19.7067
2011-07-29,20.2347
2011-08-31,19.3136
2011-09-30,20.3188
2011-10-31,19.5388
2011-11-30,20.0861
2011-12-30,20.8203
2012-01-31,21.7215
2012-02-29,22.5771
2012-03-30,23.2964
2012-04-30,23.6459
2012-05-31,24.1041
2012-06-29,24.7900
2012-07-31,26.0337
2012-08-31,26.0062
2012-09-28,26.2426
2012-10-31,25.7668
2012-11-30,24.6092
2012-12-31,25.7369
2013-01-31,27.4722
2013-02-28,28.2967
2013-03-29,0
2013-04-30,30.9926
2013-05-31,33.4555
2013-06-28,28.1082
2013-07-31,29.0171
2013-08-30,26.9642
2013-09-30,26.1957
2013-10-31,27.2882
2013-11-29,26.5516
2013-12-31,25.2000
2014-01-31,26.1919
2014-02-28,28.3315
2014-03-31,28.2532
2014-04-30,28.5887
2014-05-30,29.6883
2014-06-30,30.1154
2014-07-31,30.8697
2014-08-29,30.7022
2014-09-30,29.6342
2014-10-31,30.6410
2014-11-28,32.5161
2014-12-31,33.3132
2015-01-30,36.8479
2015-02-27,36.7144
2015-03-31,36.2417
2015-04-30,35.2718
2015-05-29,33.4770
2015-06-30,32.5333
2015-07-31,33.8527
2015-08-31,34.1063
2015-09-30,33.4163
2015-10-30,35.6196
2015-11-30,35.8118
2015-12-31,37.2335
2016-01-29,39.0795
2016-02-29,43.4179
2016-03-31,44.9725
2016-04-29,46.0371
2016-05-31,46.1186
2016-06-30,48.7766
2016-07-29,52.9618
2016-08-31,51.0097
2016-09-30,50.3586
2016-10-31,46.8720
2016-11-30,42.8274
2016-12-30,42.7467
2017-01-31,45.6224
2017-02-28,46.9122
2017-03-31,45.6300
2017-04-28,47.0036
2017-05-31,42.7843
2017-06-30,43.7147
2017-07-31,44.0964
2017-08-31,45.1912
2017-09-29,46.2513
2017-10-31,44.3029
2017-11-30,44.6886
2017-12-29,44.8628
2018-01-31,43.2548
2018-02-28,40.0346
2018-03-30,0
2018-04-30,41.4793
2018-05-31,42.9425
2018-06-29,43.8628
2018-07-31,45.5009
2018-08-31,47.9479
2018-09-28,47.7529
2018-10-31,48.5911
2018-11-30,52.6501
2018-12-31,54.0833
2019-01-31,54.3876
2019-02-28,58.6182
2019-03-29,60.5782
2019-04-30,59.9445
2019-05-31,58.8764
2019-06-28,61.4411
2019-07-31,60.0173
2019-08-30,62.3604
2019-09-30,65.1589
2019-10-31,68.8325
2019-11-29,67.3379
2019-12-31,64.2000
2020-01-31,66.5210
2020-02-28,69.2887
2020-03-31,53.1860
2020-04-30,45.2228
2020-05-29,46.8271
2020-06-30,54.4954
2020-07-31,52.2585
2020-08-31,55.6839
2020-09-30,56.4749
2020-10-30,54.9245
2020-11-30,55.6581
2020-12-31,55.5178
2021-01-29,54.4525
2021-02-26,56.3868
2021-03-31,57.7697
2021-04-30,62.3563
2021-05-31,0
2021-06-30,64.2606
2021-07-30,64.9565
2021-08-31,66.9373
2021-09-30,64.3031
2021-10-29,66.1925
2021-11-30,68.5721
2021-12-31,67.6501
2022-01-31,69.0521
2022-02-28,66.7714
2022-03-31,66.3031
