,SMA_daily_20
2000-01-31,3.2806
2000-02-29,3.2807
2000-03-31,3.3402
2000-04-28,3.4947
2000-05-31,3.6925
2000-06-30,3.8331
2000-07-31,3.9547
2000-08-31,3.8573
2000-09-29,3.9892
2000-10-31,4.0686
2000-11-30,4.0282
2000-12-29,4.0802
2001-01-31,4.5636
2001-02-28,4.5652
2001-03-30,4.8906
2001-04-30,5.1070
2001-05-31,5.2184
2001-06-29,5.3015
2001-07-31,5.3362
2001-08-31,5.4038
2001-09-28,5.4979
2001-10-31,5.7510
2001-11-30,5.9508
2001-12-31,5.6834
2002-01-31,5.8882
2002-02-28,6.0069
2002-03-29,0
2002-04-30,6.6387
2002-05-31,6.6514
2002-06-28,7.0179
2002-07-31,6.6946
2002-08-30,7.0192
2002-09-30,7.0002
2002-10-31,7.0181
2002-11-29,7.2506
2002-12-31,6.4998
2003-01-31,6.3538
2003-02-28,6.1551
2003-03-31,5.9332
2003-04-30,6.1570
2003-05-30,6.8889
2003-06-30,7.3611
2003-07-31,7.7805
2003-08-29,7.6155
2003-09-30,8.0020
2003-10-31,8.6228
2003-11-28,8.5408
2003-12-31,9.0738
2004-01-30,9.7558
2004-02-27,10.4319
2004-03-31,10.5386
2004-04-30,9.1203
2004-05-31,0
2004-06-30,9.0792
2004-07-30,9.5405
2004-08-31,9.5633
2004-09-30,9.8886
2004-10-29,10.5641
2004-11-30,10.6225
2004-12-31,10.8530
2005-01-31,10.2174
2005-02-28,10.2428
2005-03-31,9.6798
2005-04-29,9.6885
2005-05-31,10.6015
2005-06-30,10.9828
2005-07-29,11.2731
2005-08-31,10.7829
2005-09-30,11.1097
2005-10-31,10.4679
2005-11-30,10.9644
2005-12-30,10.9670
2006-01-31,11.3679
2006-02-28,11.5408
2006-03-31,11.9375
2006-04-28,11.6626
2006-05-31,11.2414
2006-06-30,11.2781
2006-07-31,11.6230
2006-08-31,12.5524
2006-09-29,13.3219
2006-10-31,14.0041
2006-11-30,14.6488
2006-12-29,16.0806
2007-01-31,17.3573
2007-02-28,17.8729
2007-03-30,16.4222
2007-04-30,16.3560
2007-05-31,14.9234
2007-06-29,13.5118
2007-07-31,13.1876
2007-08-31,13.0332
2007-09-28,14.7782
2007-10-31,15.6751
2007-11-30,14.8769
2007-12-31,15.4243
2008-01-31,14.6394
2008-02-29,14.0520
2008-03-31,14.6213
2008-04-30,17.4140
2008-05-30,16.7430
2008-06-30,15.9800
2008-07-31,16.2207
2008-08-29,17.2107
2008-09-30,17.7468
2008-10-31,14.7450
2008-11-28,11.2941
2008-12-31,12.0682
2009-01-30,11.6991
2009-02-27,10.8293
2009-03-31,9.1328
2009-04-30,10.5201
2009-05-29,11.3468
2009-06-30,11.3471
2009-07-31,11.8555
2009-08-31,14.6781
2009-09-30,15.1149
2009-10-30,15.5982
2009-11-30,15.7922
2009-12-31,16.8769
2010-01-29,16.0358
2010-02-26,15.5411
2010-03-31,17.7177
2010-04-30,17.7981
2010-05-31,0
2010-06-30,17.9065
2010-07-30,18.8792
2010-08-31,19.5205
2010-09-30,20.5312
2010-10-29,20.4398
2010-11-30,19.2049
2010-12-31,19.6867
2011-01-31,20.7280
2011-02-28,21.2285
2011-03-31,21.4443
2011-04-29,21.9346
2011-05-31,21.7610
