,SMA_daily_20
2000-01-31,0
2000-02-29,5.7428
2000-03-31,5.3727
2000-04-28,5.7644
2000-05-31,6.4275
2000-06-30,5.9891
2000-07-31,6.1299
2000-08-31,6.1567
2000-09-29,6.3965
2000-10-31,6.8039
2000-11-30,7.7557
2000-12-29,8.3248
2001-01-31,7.8725
2001-02-28,7.6500
2001-03-30,7.4956
2001-04-30,7.5240
2001-05-31,8.2447
2001-06-29,8.5172
2001-07-31,9.6921
2001-08-31,10.5610
2001-09-28,9.3153
2001-10-31,9.4550
2001-11-30,9.4567
2001-12-31,9.5602
2002-01-31,9.7486
2002-02-28,9.8011
2002-03-29,0
2002-04-30,10.6632
2002-05-31,10.9173
2002-06-28,10.5851
2002-07-31,9.7873
2002-08-30,10.1836
2002-09-30,9.6619
2002-10-31,9.3258
2002-11-29,9.2947
2002-12-31,9.5689
2003-01-31,9.8281
2003-02-28,9.2009
2003-03-31,9.4015
2003-04-30,9.9100
2003-05-30,9.9114
2003-06-30,9.7627
2003-07-31,10.0363
2003-08-29,10.6689
2003-09-30,10.8470
2003-10-31,10.6797
2003-11-28,10.6399
2003-12-31,11.5965
2004-01-30,12.0670
2004-02-27,12.1729
2004-03-31,12.2398
2004-04-30,12.7941
2004-05-31,0
2004-06-30,13.0185
2004-07-30,13.1713
2004-08-31,12.6013
2004-09-30,13.0562
2004-10-29,12.7746
2004-11-30,12.6413
2004-12-31,12.8039
2005-01-31,12.6440
2005-02-28,13.1563
2005-03-31,13.9351
2005-04-29,13.1370
2005-05-31,12.4668
2005-06-30,12.1452
2005-07-29,11.9892
2005-08-31,12.1226
2005-09-30,11.7303
2005-10-31,11.1070
2005-11-30,12.4867
2005-12-30,13.3849
2006-01-31,13.5348
2006-02-28,13.5213
2006-03-31,13.3924
2006-04-28,13.4105
2006-05-31,12.8637
2006-06-30,12.6599
2006-07-31,13.3214
2006-08-31,13.5295
2006-09-29,13.8312
2006-10-31,13.8111
2006-11-30,13.8159
2006-12-29,13.6598
2007-01-31,13.7630
2007-02-28,14.7063
2007-03-30,15.2557
2007-04-30,15.4812
2007-05-31,15.8422
2007-06-29,16.0135
2007-07-31,16.7990
2007-08-31,15.5184
2007-09-28,16.6845
2007-10-31,19.0091
2007-11-30,18.5276
2007-12-31,17.9460
2008-01-31,16.2614
2008-02-29,15.3684
2008-03-31,14.4805
2008-04-30,14.0041
2008-05-30,15.6034
2008-06-30,15.4001
2008-07-31,15.7503
2008-08-29,16.4388
2008-09-30,16.0213
2008-10-31,11.7896
2008-11-28,9.3273
2008-12-31,8.6471
2009-01-30,9.5176
2009-02-27,8.8835
2009-03-31,8.1015
2009-04-30,9.8521
2009-05-29,10.8917
2009-06-30,10.8427
2009-07-31,12.4541
2009-08-31,13.4466
2009-09-30,14.3819
2009-10-30,14.2644
2009-11-30,13.5576
2009-12-31,15.9849
2010-01-29,16.1933
2010-02-26,15.6545
2010-03-31,17.4152
2010-04-30,17.6821
2010-05-31,0
2010-06-30,15.7896
2010-07-30,16.6011
2010-08-31,16.5004
2010-09-30,16.7525
2010-10-29,17.0295
2010-11-30,18.2780
2010-12-31,18.7843
2011-01-31,20.1429
2011-02-28,20.9074
2011-03-31,20.1426
2011-04-29,20.5185
2011-05-31,20.8286
2011-06-30,20.1427
2011-07-29,20.3412
2011-08-31,17.1019
2011-09-30,18.6641
2011-10-31,18.6392
2011-11-30,18.9112
2011-12-30,18.3172
2012-01-31,19.8248
2012-02-29,21.6224
2012-03-30,22.2318
2012-04-30,21.8315
2012-05-31,20.6289
2012-06-29,20.6069
2012-07-31,22.3822
2012-08-31,23.8569
2012-09-28,25.3424
2012-10-31,27.1560
2012-11-30,27.2287
2012-12-31,28.3285
2013-01-31,29.9854
2013-02-28,30.8711
2013-03-29,0
2013-04-30,34.5539
2013-05-31,38.1701
2013-06-28,37.8737
2013-07-31,40.5177
2013-08-30,42.0046
2013-09-30,44.3963
2013-10-31,46.7776
2013-11-29,48.0641
2013-12-31,48.5002
2014-01-31,50.6210
2014-02-28,54.3874
2014-03-31,56.7696
2014-04-30,53.9308
2014-05-30,53.4420
2014-06-30,56.2898
2014-07-31,54.1147
2014-08-29,53.0036
2014-09-30,53.5229
2014-10-31,52.3633
2014-11-28,58.5832
2014-12-31,62.6689
2015-01-30,63.5273
2015-02-27,64.7626
2015-03-31,63.7073
2015-04-30,60.2551
2015-05-29,56.8477
2015-06-30,54.6063
2015-07-31,54.5575
2015-08-31,57.3366
2015-09-30,52.6028
2015-10-30,55.3449
2015-11-30,55.0592
2015-12-31,53.1757
2016-01-29,47.3490
2016-02-29,40.1155
2016-03-31,47.3549
2016-04-29,52.5795
2016-05-31,55.4576
2016-06-30,56.9380
2016-07-29,61.0655
2016-08-31,65.2509
2016-09-30,68.6486
2016-10-31,69.8872
2016-11-30,71.5047
2016-12-30,74.1197
2017-01-31,76.3472
2017-02-28,81.1585
2017-03-31,79.5453
2017-04-28,80.4794
2017-05-31,87.8368
2017-06-30,93.4826
2017-07-31,96.8381
2017-08-31,95.4478
2017-09-29,100.9833
2017-10-31,102.6199
2017-11-30,98.7396
2017-12-29,103.9742
2018-01-31,111.9892
2018-02-28,104.6677
2018-03-30,0
2018-04-30,101.4181
2018-05-31,104.5603
2018-06-29,105.2613
2018-07-31,101.7063
2018-08-31,99.1082
2018-09-28,101.5171
2018-10-31,82.1868
2018-11-30,86.4876
2018-12-31,80.3409
2019-01-31,81.9831
2019-02-28,87.8484
2019-03-29,89.2334
2019-04-30,91.2197
2019-05-31,86.5465
2019-06-28,86.5656
2019-07-31,92.1533
2019-08-30,92.2872
2019-09-30,96.1265
2019-10-31,99.9038
2019-11-29,104.3672
2019-12-31,104.0893
2020-01-31,98.5615
2020-02-28,92.2453
2020-03-31,81.1014
2020-04-30,83.3509
2020-05-29,89.8198
2020-06-30,96.3121
2020-07-31,96.2878
2020-08-31,93.6731
2020-09-30,102.6531
2020-10-30,110.5078
2020-11-30,123.0550
2020-12-31,129.9395
2021-01-29,135.6681
2021-02-26,128.8128
2021-03-31,130.8665
2021-04-30,137.1376
2021-05-31,0
2021-06-30,135.5273
2021-07-30,133.4699
2021-08-31,142.9983
2021-09-30,143.1282
2021-10-29,135.2858
2021-11-30,132.1888
2021-12-31,130.9192
2022-01-31,136.7271
2022-02-28,147.3413
2022-03-31,152.1892
