,SMA_daily_20
2000-01-31,5.6031
2000-02-29,4.7608
2000-03-31,4.6034
2000-04-28,5.3895
2000-05-31,6.5771
2000-06-30,6.2774
2000-07-31,7.0687
2000-08-31,6.9706
2000-09-29,6.4396
2000-10-31,5.3761
2000-11-30,6.3704
2000-12-29,6.7018
2001-01-31,6.8765
2001-02-28,6.7598
2001-03-30,7.8114
2001-04-30,7.9197
2001-05-31,7.9813
2001-06-29,8.2820
2001-07-31,8.5754
2001-08-31,8.6117
2001-09-28,7.9186
2001-10-31,7.4177
2001-11-30,7.4516
2001-12-31,8.2323
2002-01-31,8.3149
2002-02-28,7.4583
2002-03-29,0
2002-04-30,8.2680
2002-05-31,8.8234
2002-06-28,8.9201
2002-07-31,7.8751
2002-08-30,8.7793
2002-09-30,8.3778
2002-10-31,8.5142
2002-11-29,9.2370
2002-12-31,8.9834
2003-01-31,8.8842
2003-02-28,8.3988
2003-03-31,8.4364
2003-04-30,8.8452
2003-05-30,9.5505
2003-06-30,10.1306
2003-07-31,10.3206
2003-08-29,10.4696
2003-09-30,9.8242
2003-10-31,10.1345
2003-11-28,10.5407
2003-12-31,11.1035
2004-01-30,11.1036
2004-02-27,11.3541
2004-03-31,11.5328
2004-04-30,12.2671
2004-05-31,0
2004-06-30,12.4335
2004-07-30,12.6007
2004-08-31,12.1433
2004-09-30,12.5824
2004-10-29,13.0799
2004-11-30,13.7233
2004-12-31,14.4971
2005-01-31,14.4271
2005-02-28,13.9558
2005-03-31,14.3308
2005-04-29,14.8043
2005-05-31,15.6986
2005-06-30,15.8509
2005-07-29,16.2004
2005-08-31,15.8810
2005-09-30,15.6494
2005-10-31,15.2446
2005-11-30,15.9350
2005-12-30,16.5292
2006-01-31,16.9202
2006-02-28,17.2938
2006-03-31,18.2746
2006-04-28,19.3961
2006-05-31,18.6847
2006-06-30,17.8397
2006-07-31,17.9312
2006-08-31,17.7101
2006-09-29,17.4313
2006-10-31,18.6325
2006-11-30,19.0510
2006-12-29,18.6269
2007-01-31,19.1096
2007-02-28,19.6110
2007-03-30,18.6648
2007-04-30,18.9642
2007-05-31,19.8249
2007-06-29,20.7911
2007-07-31,21.2982
