,SMA_daily_20
2000-01-31,13.3907
2000-02-29,11.6212
2000-03-31,12.0257
2000-04-28,13.0378
2000-05-31,11.6107
2000-06-30,11.1921
2000-07-31,11.5486
2000-08-31,12.1689
2000-09-29,11.5490
2000-10-31,9.8213
2000-11-30,10.6176
2000-12-29,9.8495
2001-01-31,11.0942
2001-02-28,11.6305
2001-03-30,11.9311
2001-04-30,11.0620
2001-05-31,12.9799
2001-06-29,12.0421
2001-07-31,11.4333
2001-08-31,12.4250
2001-09-28,12.4032
2001-10-31,11.8959
2001-11-30,11.9832
2001-12-31,13.0587
2002-01-31,14.3133
2002-02-28,16.0522
2002-03-29,0
2002-04-30,17.7073
2002-05-31,18.1745
2002-06-28,17.1931
2002-07-31,15.7349
2002-08-30,16.3195
2002-09-30,15.8985
2002-10-31,14.2898
2002-11-29,14.4116
2002-12-31,13.9169
2003-01-31,14.1044
2003-02-28,13.9811
2003-03-31,13.7553
2003-04-30,13.6674
2003-05-30,16.0648
2003-06-30,16.5073
2003-07-31,16.8110
2003-08-29,18.1617
2003-09-30,18.9197
2003-10-31,19.2550
2003-11-28,19.0074
2003-12-31,20.8409
2004-01-30,23.2179
2004-02-27,23.0909
2004-03-31,23.7278
2004-04-30,24.8492
2004-05-31,0
2004-06-30,24.6908
2004-07-30,25.6522
2004-08-31,27.7119
2004-09-30,29.3898
2004-10-29,31.0147
2004-11-30,34.1461
2004-12-31,32.5659
2005-01-31,29.4232
2005-02-28,28.6087
2005-03-31,27.7418
2005-04-29,25.7495
2005-05-31,23.8693
2005-06-30,23.4534
2005-07-29,24.9680
2005-08-31,23.3742
2005-09-30,22.0387
2005-10-31,22.3711
2005-11-30,27.7943
2005-12-30,27.0901
2006-01-31,27.8177
2006-02-28,28.4751
2006-03-31,29.4210
2006-04-28,31.3863
2006-05-31,35.1440
2006-06-30,36.4407
2006-07-31,35.4967
2006-08-31,32.7477
2006-09-29,34.0172
2006-10-31,35.3430
2006-11-30,35.3119
2006-12-29,34.2772
2007-01-31,35.3333
2007-02-28,35.5293
2007-03-30,33.1549
2007-04-30,34.4670
2007-05-31,35.6446
2007-06-29,35.4967
2007-07-31,36.3568
2007-08-31,36.3014
2007-09-28,34.2733
2007-10-31,31.7514
2007-11-30,29.6142
2007-12-31,31.4853
2008-01-31,31.2168
2008-02-29,39.7024
2008-03-31,40.5187
2008-04-30,43.9951
2008-05-30,49.3011
2008-06-30,47.6649
2008-07-31,45.9537
2008-08-29,46.0120
2008-09-30,43.5742
2008-10-31,30.0510
2008-11-28,24.6804
2008-12-31,24.3431
2009-01-30,24.6770
2009-02-27,20.1326
2009-03-31,17.2186
2009-04-30,18.2519
2009-05-29,19.2191
2009-06-30,20.1853
2009-07-31,19.9778
2009-08-31,27.1481
2009-09-30,28.2456
2009-10-30,29.5924
2009-11-30,29.7940
2009-12-31,29.9911
2010-01-29,27.6900
2010-02-26,24.4746
2010-03-31,26.7747
2010-04-30,31.5381
2010-05-31,0
2010-06-30,30.5923
2010-07-30,29.7877
2010-08-31,29.0977
2010-09-30,30.3668
2010-10-29,31.9315
2010-11-30,31.7659
2010-12-31,35.6091
2011-01-31,36.7079
2011-02-28,35.5012
2011-03-31,35.3397
2011-04-29,37.2163
2011-05-31,39.4048
2011-06-30,38.3646
2011-07-29,42.2189
2011-08-31,32.8269
2011-09-30,31.1170
2011-10-31,32.9405
2011-11-30,37.4221
2011-12-30,38.8157
2012-01-31,41.1922
2012-02-29,39.6562
2012-03-30,40.0492
2012-04-30,37.5612
2012-05-31,33.2056
2012-06-29,29.9560
2012-07-31,26.8168
2012-08-31,30.7523
2012-09-28,30.9080
2012-10-31,32.5088
2012-11-30,34.7049
2012-12-31,37.5506
2013-01-31,41.1839
2013-02-28,43.5181
2013-03-29,0
2013-04-30,44.2798
2013-05-31,47.5585
2013-06-28,47.1826
2013-07-31,47.0876
2013-08-30,45.7446
2013-09-30,45.7331
2013-10-31,47.9381
2013-11-29,52.1723
2013-12-31,54.6915
2014-01-31,56.4638
2014-02-28,55.8781
2014-03-31,60.8571
2014-04-30,63.1060
2014-05-30,65.3228
2014-06-30,68.3060
2014-07-31,69.7238
2014-08-29,69.5496
2014-09-30,72.3758
2014-10-31,66.4815
2014-11-28,72.4240
2014-12-31,72.3609
2015-01-30,70.2006
2015-02-27,72.6296
2015-03-31,75.0883
2015-04-30,76.1773
2015-05-29,75.6590
2015-06-30,73.6833
2015-07-31,71.8618
2015-08-31,68.7549
2015-09-30,63.7448
2015-10-30,57.8040
2015-11-30,54.8212
2015-12-31,46.2010
2016-01-29,41.5850
2016-02-29,45.1231
2016-03-31,51.0587
2016-04-29,53.3339
2016-05-31,55.3098
2016-06-30,52.8748
2016-07-29,53.9628
2016-08-31,53.5069
2016-09-30,53.6741
2016-10-31,54.1334
2016-11-30,63.3116
2016-12-30,65.1102
2017-01-31,62.9991
2017-02-28,62.9860
2017-03-31,62.1965
2017-04-28,61.7374
2017-05-31,55.1200
2017-06-30,56.9332
2017-07-31,61.3887
2017-08-31,62.0343
2017-09-29,67.9710
2017-10-31,69.5060
2017-11-30,67.1608
2017-12-29,70.1749
2018-01-31,74.8291
2018-02-28,67.9836
2018-03-30,0
2018-04-30,61.1979
2018-05-31,58.4799
2018-06-29,60.8089
2018-07-31,64.5284
2018-08-31,67.1927
2018-09-28,65.7138
2018-10-31,55.7268
2018-11-30,48.3151
2018-12-31,43.6469
2019-01-31,47.4943
2019-02-28,53.5945
2019-03-29,53.3548
2019-04-30,57.3222
2019-05-31,51.3002
2019-06-28,49.2317
2019-07-31,50.5787
2019-08-30,42.8312
2019-09-30,46.7429
2019-10-31,45.9304
2019-11-29,47.6533
2019-12-31,48.1089
2020-01-31,48.1772
2020-02-28,40.3489
2020-03-31,27.3157
2020-04-30,26.3659
2020-05-29,30.5497
2020-06-30,36.0363
2020-07-31,38.1690
2020-08-31,37.0466
2020-09-30,40.0742
2020-10-30,46.9032
2020-11-30,53.5588
2020-12-31,60.2316
2021-01-29,63.7411
2021-02-26,64.1155
2021-03-31,72.3327
2021-04-30,74.7698
2021-05-31,0
2021-06-30,74.8900
2021-07-30,71.5258
2021-08-31,76.0615
2021-09-30,79.0832
2021-10-29,84.0905
2021-11-30,85.1587
2021-12-31,79.8360
2022-01-31,76.4936
2022-02-28,74.8010
2022-03-31,80.6300
