,SMA_daily_20
2000-01-31,15.0662
2000-02-29,13.8240
2000-03-31,14.2130
2000-04-28,14.9904
2000-05-31,14.9924
2000-06-30,16.0231
2000-07-31,16.9188
2000-08-31,18.0770
2000-09-29,16.0172
2000-10-31,13.0823
2000-11-30,14.3873
2000-12-29,15.9730
2001-01-31,16.7918
2001-02-28,17.6136
2001-03-30,17.2652
2001-04-30,17.5605
2001-05-31,17.4403
2001-06-29,16.3596
2001-07-31,15.3334
2001-08-31,15.2456
2001-09-28,14.5501
2001-10-31,15.5621
2001-11-30,18.0842
2001-12-31,20.2719
2002-01-31,19.6298
2002-02-28,19.8732
2002-03-29,0
2002-04-30,20.2776
2002-05-31,19.5565
2002-06-28,18.5472
2002-07-31,17.0626
2002-08-30,16.9010
2002-09-30,15.2354
2002-10-31,15.1712
2002-11-29,17.4159
2002-12-31,17.8193
2003-01-31,16.8175
2003-02-28,15.8899
2003-03-31,15.7401
2003-04-30,17.5618
2003-05-30,19.1876
2003-06-30,19.8322
2003-07-31,18.2399
2003-08-29,18.4256
2003-09-30,18.6163
2003-10-31,18.5996
2003-11-28,19.0714
2003-12-31,20.4018
2004-01-30,20.9134
2004-02-27,20.4963
2004-03-31,20.9881
2004-04-30,21.8604
2004-05-31,0
2004-06-30,22.1671
2004-07-30,21.7377
2004-08-31,21.1088
2004-09-30,21.0045
2004-10-29,19.1992
2004-11-30,20.5498
2004-12-31,22.5673
2005-01-31,22.3982
2005-02-28,22.8953
2005-03-31,21.7739
2005-04-29,21.7624
2005-05-31,22.9294
2005-06-30,23.3110
2005-07-29,23.9243
2005-08-31,24.3543
2005-09-30,24.2456
2005-10-31,24.8299
2005-11-30,25.3411
2005-12-30,26.2975
2006-01-31,27.0258
2006-02-28,26.8601
2006-03-31,26.8647
2006-04-28,26.5297
2006-05-31,28.3393
2006-06-30,27.8528
2006-07-31,27.4296
2006-08-31,29.8704
2006-09-29,31.0164
2006-10-31,32.4102
2006-11-30,33.3492
2006-12-29,33.8309
2007-01-31,33.8416
2007-02-28,35.5831
2007-03-30,34.7882
2007-04-30,35.6155
2007-05-31,38.5125
2007-06-29,37.5856
2007-07-31,36.8237
2007-08-31,35.6363
2007-09-28,34.6438
2007-10-31,35.0509
2007-11-30,34.7177
2007-12-31,34.5485
2008-01-31,31.1489
2008-02-29,36.9077
2008-03-31,35.5995
2008-04-30,39.9469
2008-05-30,44.1056
2008-06-30,41.6606
2008-07-31,38.6093
2008-08-29,42.4883
2008-09-30,41.5872
2008-10-31,29.0201
2008-11-28,24.9418
2008-12-31,27.8998
2009-01-30,26.5904
2009-02-27,20.8350
2009-03-31,18.6178
2009-04-30,22.5532
2009-05-29,23.6633
2009-06-30,23.3257
2009-07-31,22.9738
2009-08-31,28.6674
2009-09-30,27.7570
2009-10-30,28.0994
2009-11-30,28.9579
2009-12-31,31.3037
2010-01-29,33.3679
2010-02-26,32.3287
2010-03-31,33.6205
2010-04-30,36.2640
2010-05-31,0
2010-06-30,33.3256
2010-07-30,33.9354
2010-08-31,32.9395
2010-09-30,35.8400
2010-10-29,38.3069
2010-11-30,41.5129
2010-12-31,44.9207
2011-01-31,44.7942
2011-02-28,46.3510
2011-03-31,46.5203
2011-04-29,48.5382
2011-05-31,48.0774
2011-06-30,46.7449
2011-07-29,49.2061
2011-08-31,39.8073
2011-09-30,39.2258
2011-10-31,40.0057
2011-11-30,42.7288
2011-12-30,41.3254
2012-01-31,43.8406
2012-02-29,49.3792
2012-03-30,49.6121
2012-04-30,49.5451
2012-05-31,49.6913
2012-06-29,50.5641
2012-07-31,52.7897
2012-08-31,57.0205
2012-09-28,59.3533
2012-10-31,61.0183
2012-11-30,64.2051
2012-12-31,65.3404
2013-01-31,66.9090
2013-02-28,65.9097
2013-03-29,0
2013-04-30,69.3692
2013-05-31,75.5233
2013-06-28,75.5418
2013-07-31,78.5140
2013-08-30,80.4737
2013-09-30,82.9380
2013-10-31,84.1669
2013-11-29,88.8414
2013-12-31,89.6917
2014-01-31,88.6789
2014-02-28,90.3926
2014-03-31,95.1362
2014-04-30,96.1687
2014-05-30,98.1897
2014-06-30,100.2902
2014-07-31,103.2772
2014-08-29,105.2232
2014-09-30,106.0572
2014-10-31,105.1849
2014-11-28,115.5685
2014-12-31,116.9215
2015-01-30,115.0122
2015-02-27,122.0030
2015-03-31,124.2647
2015-04-30,128.4016
2015-05-29,134.0337
2015-06-30,136.5938
2015-07-31,139.6802
2015-08-31,141.5277
2015-09-30,134.8219
2015-10-30,139.5261
2015-11-30,146.2122
2015-12-31,148.3796
2016-01-29,139.7126
2016-02-29,125.9222
2016-03-31,135.5616
2016-04-29,138.9452
2016-05-31,141.3947
2016-06-30,135.7547
2016-07-29,139.3319
2016-08-31,135.6096
2016-09-30,132.0553
2016-10-31,133.6947
2016-11-30,144.9834
2016-12-30,152.4072
2017-01-31,155.6739
2017-02-28,151.7188
2017-03-31,149.9354
2017-04-28,148.3013
2017-05-31,147.9385
2017-06-30,140.1072
2017-07-31,137.1874
2017-08-31,132.8135
2017-09-29,132.2382
2017-10-31,138.5867
2017-11-30,143.2274
2017-12-29,154.8234
2018-01-31,161.8007
2018-02-28,145.6504
2018-03-30,0
