,SMA_daily_20
2000-01-31,6.2542
2000-02-29,5.6426
2000-03-31,5.9286
2000-04-28,6.2041
2000-05-31,7.7948
2000-06-30,9.3252
2000-07-31,9.5374
2000-08-31,8.8029
2000-09-29,10.3082
2000-10-31,11.2000
2000-11-30,12.6729
2000-12-29,12.5810
2001-01-31,12.7707
2001-02-28,13.4185
2001-03-30,11.4133
2001-04-30,12.0136
2001-05-31,13.8994
2001-06-29,13.5278
2001-07-31,14.8291
2001-08-31,14.9019
2001-09-28,14.6612
2001-10-31,15.8850
2001-11-30,15.9811
2001-12-31,16.7342
2002-01-31,16.9174
2002-02-28,17.4582
2002-03-29,0
2002-04-30,17.4018
2002-05-31,18.6447
2002-06-28,17.3778
2002-07-31,15.5028
2002-08-30,16.8168
2002-09-30,16.2863
2002-10-31,16.1209
2002-11-29,15.2309
2002-12-31,16.0992
2003-01-31,18.3819
2003-02-28,19.2103
2003-03-31,21.0502
2003-04-30,22.3560
2003-05-30,24.0076
2003-06-30,26.1350
2003-07-31,23.5512
2003-08-29,23.9340
2003-09-30,24.4357
2003-10-31,25.0510
2003-11-28,26.3588
2003-12-31,26.9918
2004-01-30,28.8266
2004-02-27,32.6103
2004-03-31,32.6043
2004-04-30,33.5528
2004-05-31,0
2004-06-30,33.8649
2004-07-30,31.2347
2004-08-31,29.5150
2004-09-30,31.9270
2004-10-29,33.4727
2004-11-30,34.0660
2004-12-31,36.8354
2005-01-31,34.6318
2005-02-28,35.2931
2005-03-31,33.4129
2005-04-29,33.4103
2005-05-31,35.1001
2005-06-30,36.6162
2005-07-29,40.2722
2005-08-31,40.3658
2005-09-30,41.4206
2005-10-31,41.8110
2005-11-30,44.2891
2005-12-30,45.3703
2006-01-31,46.4714
2006-02-28,42.6964
2006-03-31,39.2535
2006-04-28,34.1736
2006-05-31,32.5511
2006-06-30,29.5622
2006-07-31,30.2618
2006-08-31,31.3064
2006-09-29,32.4896
2006-10-31,32.2088
2006-11-30,31.5640
2006-12-29,33.4735
2007-01-31,34.7730
2007-02-28,37.0012
2007-03-30,34.3412
2007-04-30,36.6082
2007-05-31,38.7503
2007-06-29,37.9259
2007-07-31,38.4968
2007-08-31,39.6037
2007-09-28,39.9099
