,SMA_daily_20
2000-01-31,61.1807
2000-02-29,73.6768
2000-03-31,79.1472
2000-04-28,85.6924
2000-05-31,82.1009
2000-06-30,78.7266
2000-07-31,65.8216
2000-08-31,57.0498
2000-09-29,46.0126
2000-10-31,28.6758
2000-11-30,30.7302
2000-12-29,33.2049
2001-01-31,37.0129
2001-02-28,34.8022
2001-03-30,32.5718
2001-04-30,31.5177
2001-05-31,37.7227
2001-06-29,36.6508
2001-07-31,30.7850
2001-08-31,30.4191
2001-09-28,25.0193
2001-10-31,20.6905
2001-11-30,25.4222
2001-12-31,28.0933
2002-01-31,28.8190
2002-02-28,29.4253
2002-03-29,0
2002-04-30,33.2961
2002-05-31,27.8636
2002-06-28,24.0153
2002-07-31,17.1861
2002-08-30,13.5133
2002-09-30,10.4487
2002-10-31,9.3767
2002-11-29,12.6996
2002-12-31,13.0014
2003-01-31,12.1747
2003-02-28,9.8867
2003-03-31,11.2515
2003-04-30,11.3980
2003-05-30,13.4117
2003-06-30,16.3144
2003-07-31,16.4880
2003-08-29,15.6131
2003-09-30,19.0815
2003-10-31,18.7633
2003-11-28,22.5573
2003-12-31,22.3491
2004-01-30,25.8255
2004-02-27,23.8983
2004-03-31,21.2847
2004-04-30,21.9295
2004-05-31,0
2004-06-30,19.8118
2004-07-30,17.1272
2004-08-31,13.3771
2004-09-30,12.6921
2004-10-29,13.8623
2004-11-30,15.9902
2004-12-31,15.8045
2005-01-31,13.7626
2005-02-28,14.0672
2005-03-31,13.8979
2005-04-29,11.8790
2005-05-31,11.5079
2005-06-30,12.3384
2005-07-29,13.1914
2005-08-31,14.6048
2005-09-30,15.1812
2005-10-31,13.5703
2005-11-30,13.2882
2005-12-30,14.0452
2006-01-31,15.3403
2006-02-28,16.0417
2006-03-31,14.4504
2006-04-28,15.2861
2006-05-31,14.8631
2006-06-30,13.3158
2006-07-31,12.1588
2006-08-31,12.5176
2006-09-29,12.8433
2006-10-31,12.9588
2006-11-30,13.3069
2006-12-29,14.0944
2007-01-31,14.4326
2007-02-28,14.6460
2007-03-30,15.4863
2007-04-30,15.7843
2007-05-31,15.8265
2007-06-29,16.1142
2007-07-31,16.1717
2007-08-31,14.3077
2007-09-28,13.3448
2007-10-31,12.3005
2007-11-30,10.5235
2007-12-31,9.8961
2008-01-31,9.0563
2008-02-29,10.4154
2008-03-31,11.4275
2008-04-30,12.0830
2008-05-30,12.8110
2008-06-30,10.8660
2008-07-31,9.3010
2008-08-29,8.9262
2008-09-30,7.9843
2008-10-31,5.2323
2008-11-28,3.9447
2008-12-31,3.7922
2009-01-30,4.6811
2009-02-27,4.3134
2009-03-31,3.9447
2009-04-30,4.8266
2009-05-29,6.0497
2009-06-30,6.4530
2009-07-31,6.8404
2009-08-31,7.5581
2009-09-30,8.2066
2009-10-30,9.0848
2009-11-30,8.1495
2009-12-31,9.5962
2010-01-29,9.8498
2010-02-26,9.0801
2010-03-31,10.1745
2010-04-30,11.3025
2010-05-31,0
2010-06-30,10.1169
2010-07-30,9.5480
