,SMA_daily_20
2000-01-31,0.9181
2000-02-29,0.8160
2000-03-31,0.7750
2000-04-28,0.8764
2000-05-31,0.9240
2000-06-30,0.8631
2000-07-31,0.9471
2000-08-31,1.1677
2000-09-29,1.3094
2000-10-31,1.3277
2000-11-30,1.2573
2000-12-29,1.4286
2001-01-31,1.9293
2001-02-28,2.2012
2001-03-30,2.3832
2001-04-30,2.5246
2001-05-31,2.6065
2001-06-29,2.9254
2001-07-31,3.2416
2001-08-31,3.6261
2001-09-28,3.4561
2001-10-31,3.8204
2001-11-30,3.7967
2001-12-31,3.7840
2002-01-31,3.8699
2002-02-28,3.8277
2002-03-29,0
2002-04-30,4.2636
2002-05-31,4.2648
2002-06-28,4.3246
2002-07-31,4.0894
2002-08-30,4.3308
2002-09-30,4.3670
2002-10-31,3.7831
2002-11-29,4.0651
2002-12-31,3.8858
2003-01-31,3.8928
2003-02-28,3.9021
2003-03-31,4.1503
2003-04-30,4.3625
2003-05-30,4.8249
2003-06-30,5.2133
2003-07-31,5.7394
2003-08-29,5.8056
2003-09-30,6.3009
2003-10-31,6.5436
2003-11-28,7.0914
2003-12-31,7.6691
2004-01-30,8.4987
2004-02-27,9.4921
2004-03-31,9.7572
2004-04-30,8.6041
2004-05-31,0
2004-06-30,8.6257
2004-07-30,9.2332
2004-08-31,9.8378
2004-09-30,10.0630
2004-10-29,10.0867
2004-11-30,10.5409
2004-12-31,10.4180
2005-01-31,9.7726
2005-02-28,10.0495
2005-03-31,10.1310
2005-04-29,10.0442
2005-05-31,10.5583
2005-06-30,11.5486
2005-07-29,12.3691
2005-08-31,11.8881
2005-09-30,12.4581
2005-10-31,12.1782
2005-11-30,12.4826
2005-12-30,12.8174
2006-01-31,13.1418
2006-02-28,12.3033
2006-03-31,13.3439
2006-04-28,13.2763
2006-05-31,13.2197
2006-06-30,13.3635
2006-07-31,14.3293
2006-08-31,15.6196
2006-09-29,16.2911
2006-10-31,16.1866
2006-11-30,15.8049
2006-12-29,16.9778
2007-01-31,18.2841
2007-02-28,19.7268
2007-03-30,18.3244
2007-04-30,18.0272
2007-05-31,17.7676
2007-06-29,16.3693
2007-07-31,15.4887
2007-08-31,15.4313
2007-09-28,17.3709
2007-10-31,18.8274
2007-11-30,18.3986
2007-12-31,19.4517
2008-01-31,18.8166
2008-02-29,18.7473
2008-03-31,19.5167
2008-04-30,21.3600
2008-05-30,21.2044
2008-06-30,20.3116
2008-07-31,19.4657
2008-08-29,20.4560
2008-09-30,20.8980
2008-10-31,16.5830
2008-11-28,11.6390
2008-12-31,12.9815
2009-01-30,13.3391
2009-02-27,11.7816
2009-03-31,11.0597
2009-04-30,12.7882
2009-05-29,13.6401
2009-06-30,14.2046
2009-07-31,15.1307
2009-08-31,18.4306
2009-09-30,18.7015
2009-10-30,19.4045
2009-11-30,20.1607
2009-12-31,21.5372
2010-01-29,21.6008
2010-02-26,21.3725
2010-03-31,23.5554
2010-04-30,23.5911
2010-05-31,0
2010-06-30,24.2584
2010-07-30,24.8694
2010-08-31,25.7282
2010-09-30,26.7517
2010-10-29,27.5700
2010-11-30,27.0721
2010-12-31,26.2147
2011-01-31,27.6644
2011-02-28,28.6281
2011-03-31,27.4752
2011-04-29,28.8158
2011-05-31,28.8410
2011-06-30,27.9973
2011-07-29,28.7489
2011-08-31,26.0380
2011-09-30,27.4031
2011-10-31,27.5314
2011-11-30,28.0623
2011-12-30,28.7052
2012-01-31,30.2967
2012-02-29,31.1438
2012-03-30,30.9645
2012-04-30,31.0007
2012-05-31,31.8810
