,SMA_daily_20
2000-01-31,42.0798
2000-02-29,35.5697
2000-03-31,35.4413
2000-04-28,39.2127
2000-05-31,37.0268
2000-06-30,36.9685
2000-07-31,39.6487
2000-08-31,34.1127
2000-09-29,33.7831
2000-10-31,30.6490
2000-11-30,32.1310
2000-12-29,34.8314
2001-01-31,36.0712
2001-02-28,35.2715
2001-03-30,32.8287
2001-04-30,34.1172
2001-05-31,35.2055
2001-06-29,33.4558
2001-07-31,35.2190
2001-08-31,34.5780
2001-09-28,32.0043
2001-10-31,35.3358
2001-11-30,37.0386
2001-12-31,37.6800
2002-01-31,38.8968
2002-02-28,40.4548
2002-03-29,0
2002-04-30,39.5886
2002-05-31,37.6491
2002-06-28,37.8228
2002-07-31,34.0691
2002-08-30,34.9571
2002-09-30,35.8351
2002-10-31,36.9900
2002-11-29,36.6194
2002-12-31,34.7496
2003-01-31,33.5331
2003-02-28,32.4382
2003-03-31,34.3808
2003-04-30,37.2837
2003-05-30,36.6734
2003-06-30,36.9251
2003-07-31,38.2241
2003-08-29,39.5161
2003-09-30,39.2683
2003-10-31,39.9990
2003-11-28,38.6440
2003-12-31,35.8560
2004-01-30,36.3899
2004-02-27,39.2094
2004-03-31,40.4020
2004-04-30,39.6629
2004-05-31,0
2004-06-30,37.8708
2004-07-30,36.1665
2004-08-31,36.5790
2004-09-30,36.2896
2004-10-29,36.3809
2004-11-30,38.2339
2004-12-31,36.3254
2005-01-31,36.8172
2005-02-28,36.1443
2005-03-31,35.5575
2005-04-29,33.1692
2005-05-31,33.0934
2005-06-30,33.4834
2005-07-29,34.4490
2005-08-31,32.8463
2005-09-30,30.7427
2005-10-31,31.3516
2005-11-30,34.0185
2005-12-30,33.6174
2006-01-31,31.9218
2006-02-28,31.9256
2006-03-31,32.6617
2006-04-28,32.2466
2006-05-31,33.4001
2006-06-30,33.6268
2006-07-31,31.4517
2006-08-31,31.2685
2006-09-29,33.7623
2006-10-31,34.7285
2006-11-30,33.3344
2006-12-29,32.5867
2007-01-31,33.8201
2007-02-28,34.3840
2007-03-30,33.4770
2007-04-30,34.2633
2007-05-31,33.8036
2007-06-29,35.0870
2007-07-31,34.2059
2007-08-31,31.9445
2007-09-28,31.1417
2007-10-31,32.5470
2007-11-30,32.5348
2007-12-31,34.7987
2008-01-31,34.5746
2008-02-29,36.0850
2008-03-31,36.9193
2008-04-30,40.6478
2008-05-30,41.2876
2008-06-30,42.2288
2008-07-31,41.7558
2008-08-29,42.9184
2008-09-30,44.2358
2008-10-31,39.1565
2008-11-28,39.4225
2008-12-31,40.6803
2009-01-30,37.5749
2009-02-27,35.5967
2009-03-31,36.8874
2009-04-30,37.4161
2009-05-29,36.8275
2009-06-30,36.5789
2009-07-31,36.0878
2009-08-31,37.8798
2009-09-30,37.6453
2009-10-30,37.4801
2009-11-30,39.5460
2009-12-31,40.3656
2010-01-29,40.2371
2010-02-26,40.1348
2010-03-31,41.4924
2010-04-30,41.1204
2010-05-31,0
2010-06-30,38.3474
2010-07-30,38.0642
2010-08-31,38.8578
2010-09-30,40.3551
2010-10-29,41.1572
2010-11-30,41.4688
2010-12-31,41.4982
2011-01-31,42.4591
2011-02-28,42.0952
2011-03-31,40.2148
2011-04-29,41.2569
2011-05-31,42.8621
2011-06-30,41.2212
2011-07-29,41.7865
2011-08-31,40.2697
2011-09-30,40.5995
2011-10-31,43.4715
2011-11-30,45.1490
2011-12-30,46.2415
2012-01-31,47.4776
2012-02-29,47.9998
2012-03-30,48.0241
2012-04-30,47.7247
2012-05-31,49.2204
2012-06-29,53.9990
2012-07-31,57.9594
2012-08-31,58.5036
2012-09-28,59.5086
2012-10-31,60.5256
2012-11-30,57.0110
2012-12-31,56.2606
2013-01-31,55.7890
2013-02-28,57.0019
2013-03-29,0
2013-04-30,63.2987
2013-05-31,63.5279
2013-06-28,61.3013
2013-07-31,63.2505
2013-08-30,61.5690
