,SMA_daily_20
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,13.1076
2002-11-29,13.4432
2002-12-31,14.9416
2003-01-31,16.1470
2003-02-28,17.0092
2003-03-31,16.8772
2003-04-30,17.2583
2003-05-30,18.2455
2003-06-30,20.4411
2003-07-31,18.5148
2003-08-29,18.5846
2003-09-30,18.4508
2003-10-31,18.6685
2003-11-28,19.5382
2003-12-31,23.3083
2004-01-30,23.7079
2004-02-27,23.6655
2004-03-31,24.7300
2004-04-30,24.7896
2004-05-31,0
2004-06-30,25.1852
2004-07-30,27.9640
2004-08-31,26.5870
2004-09-30,29.6356
2004-10-29,31.0564
2004-11-30,33.5960
2004-12-31,33.0242
2005-01-31,32.6101
2005-02-28,32.6781
2005-03-31,35.2031
2005-04-29,32.8485
2005-05-31,31.9187
2005-06-30,34.8719
2005-07-29,36.1753
2005-08-31,36.2777
2005-09-30,38.3784
2005-10-31,35.2680
2005-11-30,33.7717
2005-12-30,36.4936
2006-01-31,40.4160
2006-02-28,38.5602
2006-03-31,36.4577
2006-04-28,39.3096
2006-05-31,36.5694
2006-06-30,34.0751
2006-07-31,35.9577
2006-08-31,34.3032
2006-09-29,31.7519
2006-10-31,31.1762
2006-11-30,32.0669
2006-12-29,33.1363
2007-01-31,32.2222
2007-02-28,32.3458
2007-03-30,31.6417
2007-04-30,33.8565
2007-05-31,35.7988
2007-06-29,36.2761
2007-07-31,35.5223
2007-08-31,31.7314
2007-09-28,33.2234
2007-10-31,34.3735
2007-11-30,35.3272
2007-12-31,36.5426
2008-01-31,36.8854
2008-02-29,41.6051
2008-03-31,47.2799
2008-04-30,54.2878
2008-05-30,60.9699
2008-06-30,62.7680
2008-07-31,52.6997
2008-08-29,46.7086
2008-09-30,43.5714
2008-10-31,33.2521
2008-11-28,27.1776
2008-12-31,23.3952
2009-01-30,23.5461
2009-02-27,21.1121
2009-03-31,16.6342
2009-04-30,21.9625
2009-05-29,26.5727
2009-06-30,28.2079
2009-07-31,28.2245
2009-08-31,35.0348
2009-09-30,36.7953
2009-10-30,39.8612
2009-11-30,41.1894
2009-12-31,45.5745
2010-01-29,48.6381
2010-02-26,49.5703
2010-03-31,54.0211
2010-04-30,58.1169
2010-05-31,0
2010-06-30,68.6480
2010-07-30,66.2311
2010-08-31,61.9334
2010-09-30,61.5555
2010-10-29,66.1770
2010-11-30,73.4329
2010-12-31,79.5873
2011-01-31,86.4316
2011-02-28,98.7517
2011-03-31,100.1614
2011-04-29,100.6848
2011-05-31,85.0794
2011-06-30,78.4312
2011-07-29,80.6132
2011-08-31,59.9971
2011-09-30,57.5008
2011-10-31,55.0543
2011-11-30,58.5479
2011-12-30,58.4024
2012-01-31,54.8867
2012-02-29,67.6075
2012-03-30,72.0935
2012-04-30,62.5531
2012-05-31,54.1379
2012-06-29,45.3342
2012-07-31,50.4847
2012-08-31,54.5561
2012-09-28,54.9110
2012-10-31,54.7848
