,SMA_daily_20
2000-01-31,11.5788
2000-02-29,12.7566
2000-03-31,10.7346
2000-04-28,10.1396
2000-05-31,9.9345
2000-06-30,9.4280
2000-07-31,9.3152
2000-08-31,10.2890
2000-09-29,9.5501
2000-10-31,8.2358
2000-11-30,9.2066
2000-12-29,8.1188
2001-01-31,9.9492
2001-02-28,9.3423
2001-03-30,8.0697
2001-04-30,7.8073
2001-05-31,9.0108
2001-06-29,9.1424
2001-07-31,8.8877
2001-08-31,9.3771
2001-09-28,8.5133
2001-10-31,8.5128
2001-11-30,10.1795
2001-12-31,10.6359
2002-01-31,10.7183
2002-02-28,10.1744
2002-03-29,0
2002-04-30,10.8800
2002-05-31,11.4518
2002-06-28,10.6804
2002-07-31,9.6814
2002-08-30,10.6371
2002-09-30,10.5838
2002-10-31,11.0976
2002-11-29,12.5498
2002-12-31,11.8140
2003-01-31,11.3597
2003-02-28,11.6992
2003-03-31,12.3987
2003-04-30,12.6923
2003-05-30,13.3723
2003-06-30,14.6273
2003-07-31,15.8145
2003-08-29,18.0862
2003-09-30,23.2391
2003-10-31,25.4111
2003-11-28,26.7284
2003-12-31,27.9189
2004-01-30,29.5511
2004-02-27,29.5380
2004-03-31,30.9287
2004-04-30,32.4413
2004-05-31,0
2004-06-30,36.0191
2004-07-30,36.5924
2004-08-31,41.0717
2004-09-30,59.8250
2004-10-29,57.8935
2004-11-30,52.9020
2004-12-31,54.4270
2005-01-31,51.8430
2005-02-28,50.4533
2005-03-31,48.2203
2005-04-29,46.8395
2005-05-31,42.4595
2005-06-30,44.2075
2005-07-29,44.4760
2005-08-31,36.7015
2005-09-30,37.6055
2005-10-31,38.8420
2005-11-30,45.0490
2005-12-30,43.4520
2006-01-31,44.4955
2006-02-28,44.5470
2006-03-31,44.7710
2006-04-28,42.7265
2006-05-31,37.5320
2006-06-30,33.8495
2006-07-31,31.4900
2006-08-31,33.2850
2006-09-29,35.1045
2006-10-31,36.6425
2006-11-30,35.5725
2006-12-29,34.9395
2007-01-31,34.7830
2007-02-28,38.2210
2007-03-30,38.3863
2007-04-30,40.3160
2007-05-31,39.1475
2007-06-29,39.7265
2007-07-31,39.5985
2007-08-31,35.3580
2007-09-28,36.2395
2007-10-31,35.2410
2007-11-30,37.4730
2007-12-31,35.6775
2008-01-31,30.9135
2008-02-29,30.9985
2008-03-31,33.1420
2008-04-30,34.3210
2008-05-30,37.3620
2008-06-30,35.6670
2008-07-31,31.4240
2008-08-29,31.8035
2008-09-30,29.5350
2008-10-31,19.9095
2008-11-28,19.2535
2008-12-31,19.3910
2009-01-30,18.6980
2009-02-27,17.4515
2009-03-31,18.6290
2009-04-30,19.8780
2009-05-29,20.5600
2009-06-30,22.8740
2009-07-31,23.6105
2009-08-31,24.6575
2009-09-30,26.4190
2009-10-30,25.6805
2009-11-30,26.7880
2009-12-31,27.7160
2010-01-29,27.7970
2010-02-26,28.3460
2010-03-31,29.5375
2010-04-30,30.1527
2010-05-31,0
2010-06-30,26.7135
2010-07-30,26.2420
2010-08-31,28.7240
2010-09-30,31.6725
2010-10-29,35.0845
2010-11-30,37.2235
2010-12-31,38.5035
2011-01-31,38.3795
2011-02-28,39.3546
2011-03-31,37.2231
2011-04-29,38.3598
2011-05-31,42.1135
2011-06-30,40.8643
2011-07-29,42.0605
2011-08-31,33.7640
2011-09-30,31.6245
2011-10-31,34.4130
2011-11-30,36.2995
2011-12-30,36.7445
2012-01-31,36.4050
2012-02-29,38.9320
2012-03-30,40.3198
2012-04-30,38.6940
2012-05-31,36.1615
2012-06-29,32.8520
2012-07-31,34.5715
2012-08-31,36.4580
2012-09-28,38.0700
2012-10-31,36.6755
2012-11-30,37.9340
2012-12-31,39.5775
2013-01-31,41.6476
2013-02-28,44.3155
2013-03-29,0
2013-04-30,45.4995
2013-05-31,46.2850
2013-06-28,44.7255
2013-07-31,45.7315
2013-08-30,47.3595
2013-09-30,45.3470
2013-10-31,47.3580
2013-11-29,51.2450
2013-12-31,52.2567
2014-01-31,54.0115
2014-02-28,59.7250
2014-03-31,69.9270
2014-04-30,67.2220
2014-05-30,73.1155
2014-06-30,78.7512
2014-07-31,82.5725
2014-08-29,76.5782
2014-09-30,74.0467
2014-10-31,67.4718
2014-11-28,72.2455
2014-12-31,76.7757
2015-01-30,81.5153
2015-02-27,88.8298
2015-03-31,88.5728
2015-04-30,94.8588
2015-05-29,102.0775
2015-06-30,114.2583
2015-07-31,110.8530
2015-08-31,89.8225
2015-09-30,80.5955
2015-10-30,76.1515
2015-11-30,76.5930
2015-12-31,71.4005
2016-01-29,59.2350
2016-02-29,61.6835
2016-03-31,66.7325
2016-04-29,65.0005
2016-05-31,53.9935
2016-06-30,55.0680
2016-07-29,50.1335
2016-08-31,66.6065
2016-09-30,68.4270
2016-10-31,66.5650
2016-11-30,71.7550
2016-12-30,84.4760
2017-01-31,84.6920
2017-02-28,85.9225
2017-03-31,88.7600
2017-04-28,91.5615
2017-05-31,100.3545
2017-06-30,104.4065
2017-07-31,100.5050
2017-08-31,102.7400
2017-09-29,105.2620
2017-10-31,111.2720
2017-11-30,108.5825
2017-12-29,105.8840
2018-01-31,119.6630
2018-02-28,123.6590
2018-03-30,0
2018-04-30,139.6090
2018-05-31,151.0645
2018-06-29,152.6135
2018-07-31,146.2825
2018-08-31,164.8955
2018-09-28,173.5080
2018-10-31,161.8295
2018-11-30,174.0340
2018-12-31,163.5145
2019-01-31,166.5960
2019-02-28,189.7755
2019-03-29,208.4980
2019-04-30,225.8515
2019-05-31,184.3040
2019-06-28,193.8080
2019-07-31,198.7385
2019-08-30,203.3265
2019-09-30,203.3115
2019-10-31,208.4290
2019-11-29,242.9705
2019-12-31,254.8165
2020-01-31,250.1005
2020-02-28,237.2710
2020-03-31,186.7505
2020-04-30,203.4410
2020-05-29,238.1840
2020-06-30,261.2585
2020-07-31,268.6535
2020-08-31,282.2785
2020-09-30,256.6895
2020-10-30,287.2895
2020-11-30,348.5350
2020-12-31,378.2020
2021-01-29,400.2625
2021-02-26,452.9805
2021-03-31,470.6385
2021-04-30,498.9135
2021-05-31,0
2021-06-30,510.1115
2021-07-30,537.4155
2021-08-31,571.9540
2021-09-30,563.2845
2021-10-29,515.8155
2021-11-30,595.5955
2021-12-31,593.8280
2022-01-31,521.1265
2022-02-28,457.1680
2022-03-31,409.9490
