,SMA_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,22.1215
2000-09-29,23.3987
2000-10-31,24.7760
2000-11-30,24.6447
2000-12-29,23.7302
2001-01-31,23.6604
2001-02-28,24.4508
2001-03-30,24.2597
2001-04-30,24.1648
2001-05-31,24.2427
2001-06-29,23.9627
2001-07-31,22.8123
2001-08-31,21.4323
2001-09-28,20.6073
2001-10-31,20.2810
2001-11-30,20.0614
2001-12-31,19.4125
2002-01-31,19.3699
2002-02-28,18.7521
2002-03-29,0
2002-04-30,15.8191
2002-05-31,14.4699
2002-06-28,13.3077
2002-07-31,12.1968
2002-08-30,10.4481
2002-09-30,9.0049
2002-10-31,7.5690
2002-11-29,6.5881
2002-12-31,5.9329
2003-01-31,5.3420
2003-02-28,5.0209
2003-03-31,4.6938
2003-04-30,4.3527
2003-05-30,4.1685
2003-06-30,4.2271
2003-07-31,4.4281
2003-08-29,4.5815
2003-09-30,4.8140
2003-10-31,5.3860
2003-11-28,5.6941
2003-12-31,6.1000
2004-01-30,6.4733
2004-02-27,6.8030
2004-03-31,7.0652
2004-04-30,7.6502
2004-05-31,0
2004-06-30,9.0387
2004-07-30,9.3174
2004-08-31,9.4725
2004-09-30,9.7276
2004-10-29,10.0072
2004-11-30,10.8039
2004-12-31,11.5726
2005-01-31,11.9772
2005-02-28,11.8217
2005-03-31,11.6794
2005-04-29,11.5249
2005-05-31,11.4688
2005-06-30,11.3819
2005-07-29,11.3448
2005-08-31,11.0721
2005-09-30,10.5736
2005-10-31,10.0284
2005-11-30,9.7999
2005-12-30,9.6353
2006-01-31,9.5909
2006-02-28,9.6389
2006-03-31,9.8632
2006-04-28,10.2539
2006-05-31,10.5722
2006-06-30,10.8794
2006-07-31,11.2139
2006-08-31,11.7536
2006-09-29,12.3470
2006-10-31,12.8758
2006-11-30,13.1211
2006-12-29,13.3908
2007-01-31,13.5392
2007-02-28,13.6673
2007-03-30,13.7390
2007-04-30,13.8185
2007-05-31,13.7007
2007-06-29,13.4318
2007-07-31,12.9880
2007-08-31,12.7484
2007-09-28,12.6679
2007-10-31,12.5749
2007-11-30,12.3477
2007-12-31,12.4426
2008-01-31,12.5638
2008-02-29,12.7447
2008-03-31,12.9196
2008-04-30,13.2741
2008-05-30,13.6238
2008-06-30,14.2788
2008-07-31,14.9282
2008-08-29,15.5090
2008-09-30,16.0102
2008-10-31,15.8664
2008-11-28,15.7747
2008-12-31,15.9579
2009-01-30,15.9559
2009-02-27,15.4114
2009-03-31,14.2751
2009-04-30,12.9444
2009-05-29,11.6969
2009-06-30,10.5862
2009-07-31,9.6225
2009-08-31,9.0406
2009-09-30,8.4659
2009-10-30,7.9212
2009-11-30,7.6452
2009-12-31,7.9011
2010-01-29,8.1839
2010-02-26,8.4790
2010-03-31,8.9352
2010-04-30,9.0713
2010-05-31,0
2010-06-30,9.4171
2010-07-30,9.5399
2010-08-31,9.5264
2010-09-30,9.6588
2010-10-29,9.8969
2010-11-30,10.2186
2010-12-31,10.1661
2011-01-31,10.1603
2011-02-28,10.4806
2011-03-31,10.9968
2011-04-29,11.5912
2011-05-31,12.3179
2011-06-30,13.1080
2011-07-29,13.7123
2011-08-31,13.8366
2011-09-30,13.8713
2011-10-31,14.1441
2011-11-30,14.8614
2011-12-30,15.4945
2012-01-31,15.8187
2012-02-29,16.3408
2012-03-30,16.8235
2012-04-30,17.3709
