,SMA_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,28.1103
2000-09-29,30.4457
2000-10-31,32.2131
2000-11-30,33.4848
2000-12-29,34.1906
2001-01-31,35.2899
2001-02-28,36.2817
2001-03-30,36.7925
2001-04-30,36.8934
2001-05-31,36.3142
2001-06-29,35.0295
2001-07-31,33.1161
2001-08-31,31.4014
2001-09-28,29.9117
2001-10-31,27.0078
2001-11-30,24.1984
2001-12-31,21.4808
2002-01-31,19.3051
2002-02-28,16.7450
2002-03-29,0
2002-04-30,11.8266
2002-05-31,9.5898
2002-06-28,7.6315
2002-07-31,6.5120
2002-08-30,5.6744
2002-09-30,4.7744
2002-10-31,3.6695
2002-11-29,2.9362
2002-12-31,2.7026
2003-01-31,2.3400
2003-02-28,2.0554
2003-03-31,1.8864
2003-04-30,1.9141
2003-05-30,2.2419
2003-06-30,2.5697
2003-07-31,2.9037
2003-08-29,3.2328
2003-09-30,3.5825
2003-10-31,3.9434
2003-11-28,4.2813
2003-12-31,4.6728
2004-01-30,5.0828
2004-02-27,5.2983
2004-03-31,5.3565
2004-04-30,5.4533
2004-05-31,0
2004-06-30,5.8007
2004-07-30,5.9609
2004-08-31,6.0577
2004-09-30,6.1775
2004-10-29,6.2832
2004-11-30,6.4307
2004-12-31,6.7276
2005-01-31,7.0610
2005-02-28,7.5307
2005-03-31,8.1224
2005-04-29,8.5983
2005-05-31,8.9661
2005-06-30,9.3595
2005-07-29,9.7496
2005-08-31,10.0777
2005-09-30,10.2831
2005-10-31,10.4811
2005-11-30,10.5549
2005-12-30,10.4866
2006-01-31,10.4929
2006-02-28,10.5640
2006-03-31,10.7593
2006-04-28,10.8011
2006-05-31,10.9229
2006-06-30,11.1115
2006-07-31,11.3626
2006-08-31,11.7318
2006-09-29,12.0472
2006-10-31,12.4079
2006-11-30,12.7870
2006-12-29,13.1472
2007-01-31,13.4163
2007-02-28,13.7359
2007-03-30,13.9402
2007-04-30,14.2144
2007-05-31,14.4384
2007-06-29,14.5198
2007-07-31,14.6149
2007-08-31,14.3699
2007-09-28,14.1171
2007-10-31,14.0419
2007-11-30,14.0579
2007-12-31,14.0920
2008-01-31,13.9593
2008-02-29,13.7342
2008-03-31,13.3556
2008-04-30,13.0265
2008-05-30,12.9353
2008-06-30,13.0197
2008-07-31,12.7987
2008-08-29,12.4007
2008-09-30,11.8114
2008-10-31,10.8502
2008-11-28,10.1354
2008-12-31,9.3463
2009-01-30,8.7986
2009-02-27,8.1334
2009-03-31,7.1424
2009-04-30,6.3322
2009-05-29,5.9129
2009-06-30,5.6708
2009-07-31,5.8502
2009-08-31,6.3734
2009-09-30,6.9832
2009-10-30,7.5653
2009-11-30,8.0109
2009-12-31,8.6661
2010-01-29,9.2151
2010-02-26,9.5388
2010-03-31,9.6852
2010-04-30,9.7532
2010-05-31,0
2010-06-30,9.2514
2010-07-30,8.8896
2010-08-31,8.6103
2010-09-30,8.4608
2010-10-29,8.3290
2010-11-30,8.2311
2010-12-31,8.2322
2011-01-31,8.3446
2011-02-28,8.4162
2011-03-31,8.6585
2011-04-29,8.8873
2011-05-31,9.0682
2011-06-30,9.2012
2011-07-29,9.2880
2011-08-31,9.1742
2011-09-30,9.1098
2011-10-31,8.9641
2011-11-30,8.8822
2011-12-30,8.8075
2012-01-31,8.7963
2012-02-29,8.8276
2012-03-30,8.8773
2012-04-30,8.8734
