,SMA_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,961.2071
2000-09-29,986.5053
2000-10-31,1020.6932
2000-11-30,1061.6088
2000-12-29,1114.2973
2001-01-31,1135.2689
2001-02-28,1149.3550
2001-03-30,1150.4507
2001-04-30,1149.5745
2001-05-31,1147.6161
2001-06-29,1140.7491
2001-07-31,1129.2867
2001-08-31,1104.5473
2001-09-28,1081.6180
2001-10-31,1060.8762
2001-11-30,1054.5841
2001-12-31,1051.1635
2002-01-31,1050.6182
2002-02-28,1041.5072
2002-03-29,0
2002-04-30,1013.0143
2002-05-31,991.9161
2002-06-28,975.7694
2002-07-31,955.1249
2002-08-30,929.1366
2002-09-30,898.7707
2002-10-31,870.6580
2002-11-29,857.9504
2002-12-31,839.1676
2003-01-31,821.4373
2003-02-28,797.0724
2003-03-31,774.2989
2003-04-30,758.0379
2003-05-30,753.5361
2003-06-30,746.5304
2003-07-31,751.9272
2003-08-29,748.7314
2003-09-30,742.8781
2003-10-31,744.1473
2003-11-28,750.8227
2003-12-31,770.6350
2004-01-30,792.6857
2004-02-27,814.1753
2004-03-31,836.6793
2004-04-30,860.2116
2004-05-31,0
2004-06-30,889.0498
2004-07-30,903.2330
2004-08-31,916.3743
2004-09-30,933.3474
2004-10-29,927.8126
2004-11-30,916.0786
2004-12-31,904.7664
2005-01-31,896.5080
2005-02-28,892.6631
2005-03-31,877.8667
2005-04-29,851.2631
2005-05-31,830.5257
2005-06-30,808.9681
2005-07-29,798.3414
2005-08-31,800.5652
2005-09-30,796.0594
2005-10-31,791.7491
2005-11-30,791.1129
2005-12-30,792.6326
2006-01-31,811.6870
2006-02-28,830.6550
2006-03-31,850.5374
2006-04-28,859.5986
2006-05-31,863.4621
2006-06-30,863.2221
2006-07-31,861.5818
2006-08-31,858.2233
2006-09-29,856.4949
2006-10-31,855.2912
2006-11-30,860.3382
2006-12-29,866.6442
2007-01-31,873.2436
2007-02-28,879.5473
2007-03-30,890.7039
2007-04-30,903.2619
2007-05-31,921.8604
2007-06-29,934.1881
2007-07-31,938.3329
2007-08-31,935.5693
2007-09-28,930.1207
2007-10-31,922.3090
2007-11-30,905.3424
2007-12-31,892.0850
2008-01-31,876.0697
2008-02-29,848.1392
2008-03-31,810.4762
2008-04-30,774.7690
2008-05-30,739.0986
2008-06-30,692.9393
2008-07-31,630.7375
2008-08-29,576.2125
2008-09-30,510.2066
2008-10-31,424.9256
2008-11-28,360.3186
2008-12-31,294.3118
2009-01-30,234.6765
2009-02-27,176.6874
2009-03-31,123.4593
2009-04-30,85.2907
2009-05-29,51.7535
2009-06-30,23.1967
2009-07-31,19.0690
2009-08-31,18.2352
2009-09-30,18.5833
2009-10-30,19.2488
2009-11-30,20.0871
2009-12-31,21.5096
2010-01-29,21.7097
2010-02-26,21.3073
2010-03-31,21.2070
2010-04-30,22.5114
2010-05-31,0
2010-06-30,24.0060
2010-07-30,23.4769
2010-08-31,23.3893
2010-09-30,23.6828
2010-10-29,24.5391
2010-11-30,25.7907
2010-12-31,27.4211
2011-01-31,28.6630
2011-02-28,29.2054
2011-03-31,29.8244
2011-04-29,30.0536
2011-05-31,29.8883
2011-06-30,29.7481
2011-07-29,29.4777
2011-08-31,28.4086
2011-09-30,27.2622
2011-10-31,25.1242
2011-11-30,23.4683
2011-12-30,22.1964
2012-01-31,21.3388
2012-02-29,21.0081
