,SMA_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,24.9283
2001-05-31,25.1283
2001-06-29,25.5607
2001-07-31,26.0480
2001-08-31,27.0935
2001-09-28,27.7238
2001-10-31,28.8786
2001-11-30,29.6429
2001-12-31,30.5057
2002-01-31,31.4111
2002-02-28,31.9735
2002-03-29,0
2002-04-30,31.7156
2002-05-31,32.2007
2002-06-28,32.3197
2002-07-31,32.2956
2002-08-30,32.8568
2002-09-30,33.4046
2002-10-31,34.2915
2002-11-29,35.0394
2002-12-31,35.9516
2003-01-31,36.0377
2003-02-28,35.8950
2003-03-31,34.8485
2003-04-30,33.9310
2003-05-30,33.2798
2003-06-30,32.6844
2003-07-31,32.0974
2003-08-29,31.7028
2003-09-30,31.0665
2003-10-31,30.6911
2003-11-28,30.8977
2003-12-31,31.4609
2004-01-30,32.5391
2004-02-27,33.9336
2004-03-31,35.2887
2004-04-30,36.6405
2004-05-31,0
2004-06-30,38.9722
2004-07-30,40.2332
2004-08-31,41.3736
2004-09-30,42.7088
2004-10-29,44.0881
2004-11-30,44.8167
2004-12-31,45.2321
2005-01-31,45.3884
2005-02-28,45.5604
2005-03-31,45.7931
2005-04-29,46.0561
2005-05-31,46.5263
2005-06-30,46.9458
2005-07-29,47.3775
2005-08-31,47.7821
2005-09-30,47.6365
2005-10-31,47.3720
2005-11-30,47.1002
2005-12-30,46.7892
2006-01-31,46.4572
2006-02-28,46.4570
2006-03-31,46.6713
2006-04-28,46.6021
2006-05-31,45.6561
2006-06-30,44.3560
2006-07-31,43.5324
2006-08-31,43.0024
2006-09-29,42.6785
2006-10-31,42.7309
2006-11-30,42.4189
2006-12-29,41.8546
2007-01-31,41.4135
2007-02-28,41.3929
2007-03-30,42.0126
2007-04-30,43.1113
2007-05-31,44.7725
2007-06-29,46.0627
2007-07-31,47.0377
2007-08-31,47.9994
2007-09-28,49.1508
2007-10-31,50.6570
2007-11-30,52.3386
2007-12-31,54.3253
2008-01-31,56.3173
2008-02-29,57.4900
2008-03-31,57.9307
2008-04-30,58.5338
2008-05-30,59.6529
2008-06-30,60.8598
2008-07-31,61.7775
2008-08-29,62.6487
2008-09-30,62.5706
2008-10-31,59.8913
2008-11-28,56.3341
2008-12-31,52.6894
2009-01-30,49.4258
2009-02-27,46.3095
2009-03-31,42.2115
2009-04-30,38.3890
2009-05-29,34.7222
2009-06-30,30.8868
2009-07-31,28.2494
2009-08-31,28.1809
2009-09-30,29.5833
2009-10-30,31.0130
2009-11-30,31.7194
2009-12-31,32.4517
2010-01-29,33.1992
2010-02-26,34.0991
2010-03-31,35.0702
2010-04-30,35.7821
2010-05-31,0
2010-06-30,35.7889
2010-07-30,35.4702
2010-08-31,34.7384
2010-09-30,34.5848
2010-10-29,34.4767
2010-11-30,34.0481
2010-12-31,33.6913
2011-01-31,33.4423
2011-02-28,33.6781
2011-03-31,34.2289
2011-04-29,34.8878
2011-05-31,35.6634
2011-06-30,36.7134
2011-07-29,37.5802
2011-08-31,37.6362
2011-09-30,37.3058
2011-10-31,36.6307
2011-11-30,35.7284
2011-12-30,34.6537
2012-01-31,33.8133
2012-02-29,33.2013
2012-03-30,32.9195
2012-04-30,32.4358
2012-05-31,32.1194
2012-06-29,32.1486
