,SMA_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,16.2498
2000-09-29,17.1100
2000-10-31,18.0693
2000-11-30,18.6408
2000-12-29,19.1658
2001-01-31,19.6106
2001-02-28,19.9524
2001-03-30,20.0794
2001-04-30,20.1925
2001-05-31,20.6030
2001-06-29,20.4461
2001-07-31,20.1326
2001-08-31,19.9579
2001-09-28,19.5750
2001-10-31,18.7645
2001-11-30,17.9729
2001-12-31,17.1246
2002-01-31,16.3061
2002-02-28,15.7037
2002-03-29,0
2002-04-30,15.0893
2002-05-31,15.0386
2002-06-28,15.0538
2002-07-31,15.3183
2002-08-30,15.5951
2002-09-30,16.0375
2002-10-31,16.5547
2002-11-29,16.8737
2002-12-31,16.9873
2003-01-31,16.9040
2003-02-28,16.8333
2003-03-31,16.7935
2003-04-30,16.7981
2003-05-30,17.1263
2003-06-30,17.3938
2003-07-31,17.4975
2003-08-29,17.5692
2003-09-30,17.7095
2003-10-31,17.7580
2003-11-28,17.8865
2003-12-31,18.1505
2004-01-30,18.5589
2004-02-27,18.8107
2004-03-31,19.0215
2004-04-30,19.3606
2004-05-31,0
2004-06-30,20.2253
2004-07-30,21.0186
2004-08-31,21.7597
2004-09-30,22.5051
2004-10-29,23.1536
2004-11-30,23.9415
2004-12-31,24.8463
2005-01-31,25.5437
2005-02-28,26.3805
2005-03-31,27.7388
2005-04-29,28.7501
2005-05-31,29.5570
2005-06-30,30.8314
2005-07-29,32.1456
2005-08-31,33.9217
2005-09-30,35.8814
2005-10-31,37.6751
2005-11-30,39.0817
2005-12-30,40.4773
2006-01-31,41.9196
2006-02-28,43.0373
2006-03-31,44.2288
2006-04-28,44.9258
2006-05-31,45.1951
2006-06-30,44.8144
2006-07-31,44.5143
2006-08-31,44.8331
2006-09-29,45.0750
2006-10-31,45.1170
2006-11-30,45.5870
2006-12-29,46.4168
2007-01-31,46.8803
2007-02-28,47.2729
2007-03-30,48.1237
2007-04-30,49.3252
2007-05-31,50.4767
2007-06-29,51.7398
2007-07-31,53.0333
2007-08-31,53.7345
2007-09-28,54.4242
2007-10-31,56.2177
2007-11-30,57.6649
2007-12-31,59.4156
2008-01-31,60.6161
2008-02-29,62.1541
2008-03-31,64.0025
2008-04-30,66.7695
2008-05-30,69.9217
2008-06-30,73.2150
2008-07-31,74.8316
2008-08-29,75.4529
2008-09-30,76.2895
2008-10-31,74.9936
2008-11-28,74.0930
2008-12-31,71.2608
2009-01-30,68.0488
2009-02-27,63.5205
2009-03-31,57.5363
2009-04-30,52.4226
2009-05-29,49.9358
2009-06-30,46.9837
2009-07-31,44.3582
2009-08-31,43.5603
2009-09-30,43.4562
2009-10-30,43.7230
2009-11-30,44.4840
2009-12-31,46.5379
2010-01-29,48.3430
2010-02-26,49.3744
2010-03-31,49.8103
2010-04-30,50.7976
2010-05-31,0
2010-06-30,51.5318
2010-07-30,51.1147
2010-08-31,50.6900
2010-09-30,50.3892
2010-10-29,49.8751
2010-11-30,50.0310
2010-12-31,50.5185
2011-01-31,51.8341
2011-02-28,53.3737
2011-03-31,55.6664
2011-04-29,57.6280
2011-05-31,59.2568
2011-06-30,60.7151
2011-07-29,61.9746
2011-08-31,62.0104
2011-09-30,61.2249
2011-10-31,59.8771
2011-11-30,58.1634
2011-12-30,56.1476
2012-01-31,54.1645
2012-02-29,52.9194
2012-03-30,52.1993
2012-04-30,51.5027
