,SMA_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,8.0098
2000-09-29,8.1440
2000-10-31,8.2360
2000-11-30,8.2833
2000-12-29,8.3655
2001-01-31,8.4226
2001-02-28,8.4102
2001-03-30,8.3891
2001-04-30,8.3802
2001-05-31,8.4002
2001-06-29,8.4997
2001-07-31,8.6313
2001-08-31,8.8852
2001-09-28,9.0055
2001-10-31,9.2081
2001-11-30,9.4227
2001-12-31,9.6312
2002-01-31,9.9085
2002-02-28,10.2021
2002-03-29,0
2002-04-30,10.9179
2002-05-31,11.2549
2002-06-28,11.5235
2002-07-31,11.8685
2002-08-30,12.1874
2002-09-30,12.4586
2002-10-31,12.6943
2002-11-29,12.8993
2002-12-31,13.0986
2003-01-31,13.2196
2003-02-28,13.3688
2003-03-31,13.6110
2003-04-30,13.8979
2003-05-30,14.2782
2003-06-30,14.6680
2003-07-31,15.1696
2003-08-29,15.6941
2003-09-30,16.2527
2003-10-31,16.9245
2003-11-28,17.5602
2003-12-31,18.2292
2004-01-30,18.7579
2004-02-27,19.3923
2004-03-31,20.2078
2004-04-30,20.6665
2004-05-31,0
2004-06-30,21.2676
2004-07-30,21.6344
2004-08-31,22.0453
2004-09-30,22.4430
2004-10-29,22.9503
2004-11-30,23.5136
2004-12-31,24.1197
2005-01-31,24.4733
2005-02-28,25.2359
2005-03-31,26.0127
2005-04-29,26.5926
2005-05-31,27.4291
2005-06-30,28.3750
2005-07-29,29.4473
2005-08-31,30.4214
2005-09-30,31.1033
2005-10-31,31.7080
2005-11-30,32.6440
2005-12-30,33.4548
2006-01-31,34.5125
2006-02-28,35.3887
2006-03-31,36.5842
2006-04-28,37.2042
2006-05-31,37.6352
2006-06-30,38.2347
2006-07-31,39.0618
2006-08-31,40.0326
2006-09-29,40.7966
2006-10-31,41.8301
2006-11-30,42.8100
2006-12-29,43.7306
2007-01-31,44.7767
2007-02-28,46.3164
2007-03-30,47.8871
2007-04-30,49.3245
2007-05-31,50.4744
2007-06-29,51.0991
2007-07-31,51.4848
2007-08-31,51.6954
2007-09-28,51.9525
2007-10-31,52.4960
2007-11-30,51.9777
2007-12-31,51.6212
2008-01-31,50.4969
2008-02-29,49.5751
2008-03-31,49.0359
2008-04-30,49.2869
2008-05-30,49.6600
2008-06-30,49.3737
2008-07-31,48.0994
2008-08-29,47.4830
2008-09-30,47.4682
2008-10-31,46.6180
2008-11-28,45.7069
2008-12-31,44.8761
2009-01-30,43.3399
2009-02-27,41.3221
2009-03-31,38.8867
2009-04-30,37.9394
2009-05-29,36.8264
2009-06-30,35.3870
2009-07-31,33.8010
2009-08-31,34.1195
2009-09-30,34.8391
2009-10-30,35.0879
2009-11-30,36.1256
2009-12-31,37.9672
2010-01-29,39.2426
2010-02-26,40.0680
2010-03-31,41.7238
2010-04-30,43.6031
2010-05-31,0
2010-06-30,46.0282
2010-07-30,47.0477
2010-08-31,48.4959
2010-09-30,49.8361
2010-10-29,51.1095
2010-11-30,52.2694
2010-12-31,52.9103
2011-01-31,53.3166
2011-02-28,53.7404
2011-03-31,54.6104
2011-04-29,55.4930
2011-05-31,56.2565
2011-06-30,56.7916
2011-07-29,57.3810
2011-08-31,57.7872
2011-09-30,58.5561
2011-10-31,59.2416
2011-11-30,59.9023
2011-12-30,60.6741
2012-01-31,61.5822
2012-02-29,62.4477
2012-03-30,63.5734
2012-04-30,64.5230
