,SMA_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,1.6132
2000-09-29,1.7564
2000-10-31,1.8608
2000-11-30,1.9275
2000-12-29,1.9491
2001-01-31,1.9502
2001-02-28,1.9758
2001-03-30,1.9850
2001-04-30,1.9899
2001-05-31,2.0543
2001-06-29,2.0863
2001-07-31,2.1030
2001-08-31,2.1551
2001-09-28,2.2144
2001-10-31,2.3548
2001-11-30,2.5424
2001-12-31,2.7046
2002-01-31,2.8847
2002-02-28,2.9957
2002-03-29,0
2002-04-30,3.1695
2002-05-31,3.2669
2002-06-28,3.3170
2002-07-31,3.3400
2002-08-30,3.3521
2002-09-30,3.3346
2002-10-31,3.3433
2002-11-29,3.3800
2002-12-31,3.3935
2003-01-31,3.3935
2003-02-28,3.3975
2003-03-31,3.4413
2003-04-30,3.5735
2003-05-30,3.7453
2003-06-30,3.9480
2003-07-31,4.2865
2003-08-29,4.5875
2003-09-30,4.8475
2003-10-31,5.1035
2003-11-28,5.2953
2003-12-31,5.5447
2004-01-30,5.7385
2004-02-27,5.8390
2004-03-31,5.8964
2004-04-30,5.9052
2004-05-31,0
2004-06-30,5.8382
2004-07-30,5.8786
2004-08-31,5.9762
2004-09-30,6.1300
2004-10-29,6.2795
2004-11-30,6.3973
2004-12-31,6.5640
2005-01-31,6.6711
2005-02-28,6.7447
2005-03-31,6.8246
2005-04-29,6.9176
2005-05-31,7.0990
2005-06-30,7.2941
2005-07-29,7.4548
2005-08-31,7.6025
2005-09-30,7.8126
2005-10-31,8.0788
2005-11-30,8.4857
2005-12-30,8.8672
2006-01-31,9.3026
2006-02-28,9.7304
2006-03-31,10.1966
2006-04-28,10.5307
2006-05-31,10.7830
2006-06-30,11.0919
2006-07-31,11.3714
2006-08-31,11.6953
2006-09-29,11.9241
2006-10-31,12.1877
2006-11-30,12.3605
2006-12-29,12.4410
2007-01-31,12.4870
2007-02-28,12.7303
2007-03-30,13.0774
2007-04-30,13.5145
2007-05-31,13.9848
2007-06-29,14.3336
2007-07-31,14.5934
2007-08-31,14.7397
2007-09-28,14.9380
2007-10-31,15.4274
2007-11-30,15.8731
2007-12-31,16.3013
2008-01-31,16.6316
2008-02-29,16.7762
2008-03-31,17.0846
2008-04-30,17.6089
2008-05-30,18.2663
2008-06-30,18.9773
2008-07-31,19.5109
2008-08-29,19.9461
2008-09-30,20.0375
2008-10-31,19.8794
2008-11-28,19.8799
2008-12-31,19.9220
2009-01-30,19.8467
2009-02-27,19.7558
2009-03-31,19.3460
2009-04-30,19.0369
2009-05-29,18.6235
2009-06-30,18.3281
2009-07-31,18.4432
2009-08-31,18.4933
2009-09-30,18.5527
2009-10-30,18.3654
2009-11-30,18.2082
2009-12-31,18.1423
2010-01-29,18.1348
2010-02-26,18.2160
2010-03-31,18.3780
2010-04-30,18.2840
2010-05-31,0
2010-06-30,17.4334
2010-07-30,16.9366
2010-08-31,16.4492
2010-09-30,15.9571
2010-10-29,15.6896
2010-11-30,15.3403
2010-12-31,14.8710
2011-01-31,14.5450
2011-02-28,14.4804
2011-03-31,14.7122
2011-04-29,14.9346
2011-05-31,15.2191
2011-06-30,15.5317
2011-07-29,15.7788
2011-08-31,15.7564
2011-09-30,15.8362
2011-10-31,15.9826
2011-11-30,16.0439
2011-12-30,16.0158
2012-01-31,16.1841
2012-02-29,16.5791
2012-03-30,16.8468
2012-04-30,17.1592
