,SMA_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,8.7804
2000-09-29,9.1711
2000-10-31,9.6117
2000-11-30,9.8742
2000-12-29,10.2023
2001-01-31,10.6504
2001-02-28,11.2306
2001-03-30,11.8007
2001-04-30,12.2066
2001-05-31,12.5796
2001-06-29,12.5546
2001-07-31,12.4099
2001-08-31,12.3548
2001-09-28,12.2557
2001-10-31,11.8779
2001-11-30,11.3245
2001-12-31,10.6142
2002-01-31,10.0218
2002-02-28,9.5291
2002-03-29,0
2002-04-30,9.6157
2002-05-31,9.9630
2002-06-28,10.1148
2002-07-31,10.3163
2002-08-30,10.5134
2002-09-30,10.6967
2002-10-31,10.5585
2002-11-29,10.5004
2002-12-31,10.2997
2003-01-31,9.8669
2003-02-28,9.4199
2003-03-31,9.0625
2003-04-30,8.7739
2003-05-30,8.6745
2003-06-30,8.5054
2003-07-31,8.4264
2003-08-29,8.4490
2003-09-30,8.4583
2003-10-31,8.4196
2003-11-28,8.4349
2003-12-31,8.4454
2004-01-30,8.5314
2004-02-27,8.6231
2004-03-31,8.5844
2004-04-30,8.5734
2004-05-31,0
2004-06-30,8.4260
2004-07-30,8.4189
2004-08-31,8.3838
2004-09-30,8.4749
2004-10-29,8.5313
2004-11-30,8.5726
2004-12-31,8.6799
2005-01-31,8.8636
2005-02-28,9.2391
2005-03-31,9.7412
2005-04-29,10.1876
2005-05-31,10.6693
2005-06-30,11.3071
2005-07-29,12.0278
2005-08-31,13.0672
2005-09-30,14.0046
2005-10-31,14.6871
2005-11-30,15.3180
2005-12-30,16.0741
2006-01-31,17.0802
2006-02-28,17.9935
2006-03-31,18.9100
2006-04-28,19.6439
2006-05-31,20.1884
2006-06-30,20.2404
2006-07-31,20.1635
2006-08-31,20.0664
2006-09-29,19.6753
2006-10-31,19.0552
2006-11-30,18.2887
2006-12-29,17.8844
2007-01-31,17.2962
2007-02-28,16.7082
2007-03-30,16.4928
2007-04-30,16.6859
2007-05-31,17.1357
2007-06-29,17.8094
2007-07-31,18.6470
2007-08-31,19.1529
2007-09-28,19.5909
2007-10-31,20.1503
2007-11-30,20.5757
2007-12-31,21.2312
2008-01-31,21.7158
2008-02-29,22.4262
2008-03-31,23.2029
2008-04-30,24.4213
2008-05-30,26.1703
2008-06-30,28.7093
2008-07-31,30.8267
2008-08-29,32.4533
2008-09-30,33.2907
2008-10-31,32.6708
2008-11-28,31.9348
2008-12-31,30.2579
2009-01-30,28.6874
2009-02-27,26.6911
2009-03-31,23.8658
2009-04-30,21.1969
2009-05-29,19.5843
2009-06-30,18.1904
2009-07-31,17.5640
2009-08-31,17.9108
2009-09-30,18.9217
2009-10-30,20.2518
2009-11-30,21.2518
2009-12-31,22.4774
2010-01-29,23.7060
2010-02-26,24.2929
2010-03-31,24.7527
2010-04-30,25.4882
2010-05-31,0
2010-06-30,26.0905
2010-07-30,26.1090
2010-08-31,25.9590
2010-09-30,26.0874
2010-10-29,26.0426
2010-11-30,26.1560
2010-12-31,26.6756
2011-01-31,27.4898
2011-02-28,28.7929
2011-03-31,30.7450
2011-04-29,32.6014
2011-05-31,33.9722
2011-06-30,35.6383
2011-07-29,37.5530
2011-08-31,38.5402
2011-09-30,38.8030
2011-10-31,38.6861
2011-11-30,38.5262
2011-12-30,38.2078
2012-01-31,37.9046
2012-02-29,37.7494
2012-03-30,37.5332
2012-04-30,36.7971
