,SMA_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,14.1261
2000-09-29,15.0033
2000-10-31,15.9885
2000-11-30,17.0182
2000-12-29,17.9741
2001-01-31,18.6428
2001-02-28,18.9781
2001-03-30,19.2149
2001-04-30,19.1988
2001-05-31,19.6311
2001-06-29,20.2290
2001-07-31,20.8577
2001-08-31,20.7738
2001-09-28,20.5219
2001-10-31,20.0098
2001-11-30,20.1175
2001-12-31,19.9764
2002-01-31,19.9309
2002-02-28,19.5304
2002-03-29,0
2002-04-30,18.5304
2002-05-31,17.8406
2002-06-28,17.2528
2002-07-31,16.5602
2002-08-30,15.7658
2002-09-30,15.0329
2002-10-31,13.9915
2002-11-29,13.2292
2002-12-31,12.3984
2003-01-31,11.6777
2003-02-28,10.8878
2003-03-31,10.2172
2003-04-30,9.8778
2003-05-30,9.8800
2003-06-30,9.9031
2003-07-31,10.3887
2003-08-29,11.0468
2003-09-30,11.5680
2003-10-31,12.1087
2003-11-28,12.7017
2003-12-31,13.5733
2004-01-30,14.2566
2004-02-27,14.6613
2004-03-31,15.0270
2004-04-30,15.2029
2004-05-31,0
2004-06-30,15.3359
2004-07-30,15.3534
2004-08-31,15.2468
2004-09-30,15.1063
2004-10-29,14.9897
2004-11-30,15.1007
2004-12-31,15.1932
2005-01-31,15.3468
2005-02-28,15.4653
2005-03-31,15.5045
2005-04-29,15.3847
2005-05-31,15.3577
2005-06-30,15.3667
2005-07-29,15.3808
2005-08-31,15.3469
2005-09-30,15.3271
2005-10-31,15.1689
2005-11-30,15.0317
2005-12-30,15.0044
2006-01-31,15.1977
2006-02-28,15.5184
2006-03-31,15.9426
2006-04-28,16.2963
2006-05-31,16.4032
2006-06-30,16.4126
2006-07-31,16.3949
2006-08-31,16.4361
2006-09-29,16.5697
2006-10-31,16.8136
2006-11-30,16.9253
2006-12-29,16.9083
2007-01-31,16.7936
2007-02-28,16.8693
2007-03-30,17.2651
2007-04-30,17.7031
2007-05-31,18.3338
2007-06-29,18.9253
2007-07-31,19.3269
2007-08-31,19.6524
2007-09-28,19.9934
2007-10-31,20.5832
2007-11-30,21.0310
2007-12-31,21.2336
2008-01-31,21.2285
2008-02-29,21.2936
2008-03-31,21.1522
2008-04-30,21.1496
2008-05-30,21.0620
2008-06-30,20.8075
2008-07-31,20.3160
2008-08-29,19.8123
2008-09-30,19.3006
2008-10-31,18.6559
2008-11-28,18.1329
2008-12-31,17.6400
2009-01-30,17.1307
2009-02-27,16.4699
2009-03-31,15.7890
2009-04-30,15.4405
2009-05-29,15.1493
2009-06-30,15.0473
2009-07-31,15.2141
2009-08-31,15.7029
2009-09-30,16.2826
2009-10-30,16.7720
2009-11-30,17.2805
2009-12-31,18.0087
2010-01-29,18.5111
2010-02-26,18.8848
2010-03-31,19.4409
2010-04-30,19.9099
2010-05-31,0
2010-06-30,20.3303
2010-07-30,20.4347
2010-08-31,20.5301
2010-09-30,20.7253
2010-10-29,21.0220
2010-11-30,21.5472
2010-12-31,22.1333
2011-01-31,22.6216
2011-02-28,23.1451
2011-03-31,23.9783
2011-04-29,24.7912
2011-05-31,25.3829
2011-06-30,25.9086
2011-07-29,26.3190
2011-08-31,26.3447
2011-09-30,26.4230
2011-10-31,26.5830
2011-11-30,26.7585
2011-12-30,26.9372
2012-01-31,27.0179
2012-02-29,27.1797
2012-03-30,27.5781
2012-04-30,27.9210
