,SMA_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,25.1219
2000-09-29,24.9978
2000-10-31,25.0364
2000-11-30,25.4148
2000-12-29,26.1748
2001-01-31,26.7725
2001-02-28,27.1204
2001-03-30,27.3069
2001-04-30,27.2163
2001-05-31,27.3551
2001-06-29,27.6131
2001-07-31,28.0043
2001-08-31,28.5505
2001-09-28,28.8291
2001-10-31,29.3428
2001-11-30,30.1662
2001-12-31,30.7384
2002-01-31,31.6071
2002-02-28,32.2208
2002-03-29,0
2002-04-30,33.8996
2002-05-31,34.4572
2002-06-28,34.5896
2002-07-31,34.3177
2002-08-30,34.0783
2002-09-30,33.8493
2002-10-31,33.8675
2002-11-29,34.0035
2002-12-31,33.6352
2003-01-31,33.1160
2003-02-28,32.5655
2003-03-31,32.3340
2003-04-30,32.5907
2003-05-30,32.9362
2003-06-30,32.8674
2003-07-31,32.6979
2003-08-29,32.2049
2003-09-30,31.8116
2003-10-31,31.5172
2003-11-28,31.4219
2003-12-31,31.2376
2004-01-30,30.9776
2004-02-27,30.9019
2004-03-31,30.7902
2004-04-30,30.8337
2004-05-31,0
2004-06-30,31.4997
2004-07-30,31.8985
2004-08-31,32.3891
2004-09-30,32.8999
2004-10-29,33.3306
2004-11-30,33.8208
2004-12-31,34.5128
2005-01-31,35.3039
2005-02-28,36.0327
2005-03-31,36.8902
2005-04-29,37.7970
2005-05-31,38.6433
2005-06-30,39.2930
2005-07-29,39.8017
2005-08-31,40.2253
2005-09-30,40.4897
2005-10-31,40.5288
2005-11-30,40.3967
2005-12-30,40.0586
2006-01-31,39.6734
2006-02-28,39.1404
2006-03-31,38.6599
2006-04-28,38.2985
2006-05-31,38.0436
2006-06-30,37.9423
2006-07-31,37.8818
2006-08-31,38.0795
2006-09-29,38.3195
2006-10-31,38.7610
2006-11-30,39.3692
2006-12-29,39.9208
2007-01-31,40.4644
2007-02-28,40.9514
2007-03-30,41.0785
2007-04-30,41.2989
2007-05-31,41.4625
2007-06-29,41.4095
2007-07-31,41.3095
2007-08-31,40.9733
2007-09-28,40.8916
2007-10-31,40.9094
2007-11-30,41.0112
2007-12-31,41.4235
2008-01-31,41.8137
2008-02-29,41.8360
2008-03-31,41.9617
2008-04-30,42.3486
2008-05-30,42.7962
2008-06-30,43.1329
2008-07-31,43.3607
2008-08-29,43.8814
2008-09-30,44.1490
2008-10-31,43.8802
2008-11-28,43.7225
2008-12-31,43.4724
2009-01-30,43.0721
2009-02-27,42.4664
2009-03-31,41.4042
2009-04-30,40.5452
2009-05-29,39.6855
2009-06-30,38.6713
2009-07-31,38.2280
2009-08-31,38.2955
2009-09-30,38.5756
2009-10-30,38.8067
2009-11-30,39.1923
2009-12-31,40.3323
2010-01-29,41.2123
2010-02-26,42.0024
2010-03-31,42.8409
2010-04-30,43.5813
2010-05-31,0
2010-06-30,43.8540
2010-07-30,43.8393
2010-08-31,43.8333
2010-09-30,43.7691
2010-10-29,43.8038
2010-11-30,43.9448
2010-12-31,43.9520
2011-01-31,43.8589
2011-02-28,43.7007
2011-03-31,43.8180
2011-04-29,44.0872
2011-05-31,44.7877
2011-06-30,45.5251
2011-07-29,45.9676
2011-08-31,46.1005
2011-09-30,46.3355
2011-10-31,46.5665
2011-11-30,46.9047
2011-12-30,47.3799
2012-01-31,47.9423
2012-02-29,48.0874
2012-03-30,48.1448
2012-04-30,48.1057
