,SMA_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,33.2815
2000-09-29,33.5576
2000-10-31,32.3251
2000-11-30,30.3364
2000-12-29,27.8565
2001-01-31,25.5913
2001-02-28,24.3943
2001-03-30,23.7080
2001-04-30,22.9448
2001-05-31,23.0504
2001-06-29,22.9241
2001-07-31,23.4534
2001-08-31,24.7286
2001-09-28,25.0700
2001-10-31,25.2502
2001-11-30,25.6191
2001-12-31,26.2494
2002-01-31,27.0647
2002-02-28,27.4980
2002-03-29,0
2002-04-30,28.6234
2002-05-31,28.8984
2002-06-28,28.8052
2002-07-31,29.2169
2002-08-30,28.8680
2002-09-30,27.6889
2002-10-31,26.2613
2002-11-29,25.3803
2002-12-31,23.9640
2003-01-31,22.3436
2003-02-28,21.0439
2003-03-31,20.0325
2003-04-30,19.7017
2003-05-30,19.8412
2003-06-30,20.5513
2003-07-31,21.8725
2003-08-29,22.9664
2003-09-30,23.8561
2003-10-31,25.0431
2003-11-28,26.3037
2003-12-31,27.6088
2004-01-30,28.7994
2004-02-27,29.5248
2004-03-31,29.9861
2004-04-30,30.0468
2004-05-31,0
2004-06-30,29.1087
2004-07-30,28.3311
2004-08-31,27.1030
2004-09-30,26.1224
2004-10-29,25.2572
2004-11-30,24.5380
2004-12-31,24.1315
2005-01-31,23.7319
2005-02-28,23.9408
2005-03-31,23.9974
2005-04-29,23.8197
2005-05-31,23.9955
2005-06-30,24.4689
2005-07-29,24.8463
2005-08-31,25.2099
2005-09-30,25.3655
2005-10-31,25.5415
2005-11-30,25.7736
2005-12-30,25.9858
2006-01-31,26.4253
2006-02-28,27.0983
2006-03-31,27.4602
2006-04-28,27.6018
2006-05-31,27.3520
2006-06-30,26.8480
2006-07-31,26.4576
2006-08-31,26.1283
2006-09-29,25.7306
2006-10-31,25.5262
2006-11-30,25.3907
2006-12-29,25.3636
2007-01-31,25.4518
2007-02-28,25.6053
2007-03-30,26.2777
2007-04-30,27.0794
2007-05-31,27.9682
2007-06-29,28.6469
2007-07-31,29.4232
2007-08-31,30.0924
2007-09-28,30.4047
2007-10-31,30.6441
2007-11-30,30.6528
2007-12-31,30.5118
2008-01-31,29.8589
2008-02-29,29.1479
2008-03-31,28.2901
2008-04-30,27.4825
2008-05-30,26.6909
2008-06-30,25.7608
2008-07-31,24.7467
2008-08-29,23.9863
2008-09-30,23.0876
2008-10-31,21.6404
2008-11-28,20.3945
2008-12-31,19.1360
2009-01-30,18.1029
2009-02-27,16.7538
2009-03-31,15.1862
2009-04-30,14.2717
2009-05-29,13.6596
2009-06-30,13.0011
2009-07-31,12.9947
2009-08-31,13.6647
2009-09-30,14.6616
2009-10-30,15.5741
2009-11-30,16.3598
2009-12-31,17.5761
2010-01-29,18.2702
2010-02-26,18.4757
2010-03-31,18.7370
2010-04-30,19.2241
2010-05-31,0
2010-06-30,19.1940
2010-07-30,18.8817
2010-08-31,18.6616
2010-09-30,18.5432
2010-10-29,18.5131
2010-11-30,18.9686
2010-12-31,19.6566
2011-01-31,20.2782
2011-02-28,21.1095
2011-03-31,22.3502
2011-04-29,23.2479
2011-05-31,24.0561
2011-06-30,24.8061
2011-07-29,25.3320
2011-08-31,25.3728
2011-09-30,25.3842
2011-10-31,25.6930
2011-11-30,25.8263
2011-12-30,25.8781
2012-01-31,26.1933
2012-02-29,26.6378
2012-03-30,27.3857
2012-04-30,28.2530
