,SMA_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,1.3846
2000-09-29,1.4819
2000-10-31,1.5910
2000-11-30,1.7271
2000-12-29,1.8255
2001-01-31,1.9142
2001-02-28,2.0391
2001-03-30,2.2155
2001-04-30,2.4777
2001-05-31,2.9955
2001-06-29,3.5257
2001-07-31,4.1582
2001-08-31,4.8380
2001-09-28,5.1128
2001-10-31,5.8063
2001-11-30,6.5548
2001-12-31,7.4008
2002-01-31,8.1429
2002-02-28,8.8805
2002-03-29,0
2002-04-30,10.2685
2002-05-31,10.9844
2002-06-28,11.3806
2002-07-31,11.6952
2002-08-30,11.5502
2002-09-30,11.4156
2002-10-31,11.0743
2002-11-29,10.8232
2002-12-31,10.3575
2003-01-31,9.8156
2003-02-28,9.0901
2003-03-31,8.4376
2003-04-30,8.2801
2003-05-30,8.5968
2003-06-30,9.2200
2003-07-31,10.2158
2003-08-29,11.2148
2003-09-30,12.0889
2003-10-31,13.0167
2003-11-28,13.8023
2003-12-31,14.7434
2004-01-30,15.5597
2004-02-27,16.1938
2004-03-31,16.5076
2004-04-30,16.3610
2004-05-31,0
2004-06-30,15.0385
2004-07-30,14.2047
2004-08-31,13.5000
2004-09-30,12.9145
2004-10-29,12.5575
2004-11-30,12.2452
2004-12-31,12.0059
2005-01-31,12.0404
2005-02-28,12.3198
2005-03-31,12.8863
2005-04-29,13.3487
2005-05-31,13.7616
2005-06-30,14.0769
2005-07-29,14.3480
2005-08-31,14.6106
2005-09-30,14.7705
2005-10-31,14.6457
2005-11-30,14.5018
2005-12-30,14.2236
2006-01-31,14.1177
2006-02-28,14.2176
2006-03-31,14.6469
2006-04-28,15.0085
2006-05-31,15.2582
2006-06-30,15.3663
2006-07-31,15.5660
2006-08-31,16.0572
2006-09-29,16.6887
2006-10-31,17.5215
2006-11-30,18.3759
2006-12-29,19.2931
2007-01-31,20.4418
2007-02-28,21.4585
2007-03-30,22.5785
2007-04-30,23.3642
2007-05-31,24.1566
2007-06-29,24.7663
2007-07-31,25.2371
2007-08-31,25.3395
2007-09-28,25.2341
2007-10-31,24.5912
2007-11-30,23.7957
2007-12-31,23.2706
2008-01-31,22.6029
2008-02-29,22.0825
2008-03-31,21.6358
2008-04-30,21.0385
2008-05-30,20.6694
2008-06-30,20.0572
2008-07-31,19.1199
2008-08-29,18.5485
2008-09-30,17.8393
2008-10-31,16.8175
2008-11-28,15.6716
2008-12-31,14.4383
2009-01-30,13.2706
2009-02-27,12.1342
2009-03-31,11.1975
2009-04-30,10.9649
2009-05-29,10.6985
2009-06-30,10.4997
2009-07-31,10.7016
2009-08-31,11.4661
2009-09-30,12.6457
2009-10-30,14.0897
2009-11-30,15.3105
2009-12-31,16.6667
2010-01-29,17.6729
2010-02-26,18.4561
2010-03-31,19.8325
2010-04-30,21.0123
2010-05-31,0
2010-06-30,22.0800
2010-07-30,22.0612
2010-08-31,22.0427
2010-09-30,22.4427
2010-10-29,23.0271
2010-11-30,24.2073
2010-12-31,25.4892
2011-01-31,26.2097
2011-02-28,27.1923
2011-03-31,28.5922
2011-04-29,29.8573
2011-05-31,30.9355
2011-06-30,31.8200
2011-07-29,32.3950
2011-08-31,31.9987
2011-09-30,31.2487
2011-10-31,30.7495
2011-11-30,30.2415
2011-12-30,29.7934
2012-01-31,29.6934
2012-02-29,29.4112
2012-03-30,29.9810
2012-04-30,29.9476
