,SMA_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,7.4440
2007-04-30,8.0321
2007-05-31,8.9507
2007-06-29,9.9249
2007-07-31,10.8606
2007-08-31,11.4996
2007-09-28,11.8670
2007-10-31,12.4952
2007-11-30,13.2828
2007-12-31,14.2676
2008-01-31,15.0820
2008-02-29,15.8333
2008-03-31,16.4269
2008-04-30,17.1746
2008-05-30,18.5055
2008-06-30,20.0179
2008-07-31,21.1467
2008-08-29,21.7926
2008-09-30,21.9095
2008-10-31,21.3918
2008-11-28,20.8859
2008-12-31,20.3033
2009-01-30,19.5058
2009-02-27,18.5317
2009-03-31,17.1594
2009-04-30,16.1576
2009-05-29,15.4289
2009-06-30,14.7593
2009-07-31,14.7026
2009-08-31,15.2792
2009-09-30,16.0065
2009-10-30,16.7436
2009-11-30,17.6088
2009-12-31,18.5875
2010-01-29,19.3893
2010-02-26,19.8895
2010-03-31,20.7042
2010-04-30,21.6393
2010-05-31,0
2010-06-30,21.9346
2010-07-30,21.9010
2010-08-31,21.6965
2010-09-30,21.4275
2010-10-29,21.2247
2010-11-30,21.2351
2010-12-31,21.2509
2011-01-31,21.0687
2011-02-28,21.0816
2011-03-31,21.5533
2011-04-29,22.0879
2011-05-31,22.8015
2011-06-30,23.5531
2011-07-29,24.3943
2011-08-31,25.2148
2011-09-30,26.1007
2011-10-31,27.1334
2011-11-30,28.2895
2011-12-30,29.5279
2012-01-31,30.3968
2012-02-29,31.5629
2012-03-30,33.0652
2012-04-30,34.4425
2012-05-31,35.5646
2012-06-29,36.5171
2012-07-31,37.5148
2012-08-31,38.3378
2012-09-28,39.0729
2012-10-31,40.1373
2012-11-30,41.1872
2012-12-31,41.8928
2013-01-31,42.8116
2013-02-28,43.5294
2013-03-29,0
2013-04-30,45.7180
2013-05-31,47.1761
2013-06-28,48.5507
2013-07-31,49.9990
2013-08-30,51.6852
2013-09-30,53.4578
2013-10-31,55.5770
2013-11-29,57.7239
