,SMA_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,7.1310
2005-10-31,7.3242
2005-11-30,7.9557
2005-12-30,8.6160
2006-01-31,9.2838
2006-02-28,10.1941
2006-03-31,11.0362
2006-04-28,11.8058
2006-05-31,12.5728
2006-06-30,13.0596
2006-07-31,13.1661
2006-08-31,12.8081
2006-09-29,12.3924
2006-10-31,12.0442
2006-11-30,11.3643
2006-12-29,10.8535
2007-01-31,10.4133
2007-02-28,10.0058
2007-03-30,9.8083
2007-04-30,9.9502
2007-05-31,10.5475
2007-06-29,11.2915
2007-07-31,12.0092
2007-08-31,12.8160
2007-09-28,13.8052
2007-10-31,15.0487
2007-11-30,15.7120
2007-12-31,16.4027
2008-01-31,16.7719
2008-02-29,16.9903
2008-03-31,16.9927
2008-04-30,17.2833
2008-05-30,17.8450
2008-06-30,18.1912
2008-07-31,18.1182
2008-08-29,18.3556
2008-09-30,18.3570
2008-10-31,17.8941
2008-11-28,17.5461
2008-12-31,16.9756
2009-01-30,16.3710
2009-02-27,15.5727
2009-03-31,14.6301
2009-04-30,14.0529
2009-05-29,13.5844
2009-06-30,13.4271
2009-07-31,14.0504
2009-08-31,14.7736
2009-09-30,16.0848
2009-10-30,16.9678
2009-11-30,17.6996
2009-12-31,18.7277
2010-01-29,19.2255
2010-02-26,19.4721
2010-03-31,19.6043
2010-04-30,19.7505
2010-05-31,0
2010-06-30,19.1542
2010-07-30,18.7519
2010-08-31,18.4360
2010-09-30,17.8701
2010-10-29,17.1665
2010-11-30,16.7095
2010-12-31,16.3029
2011-01-31,15.6576
2011-02-28,15.0029
2011-03-31,14.4728
2011-04-29,14.1409
2011-05-31,13.9856
2011-06-30,13.8136
2011-07-29,13.6205
2011-08-31,13.2730
2011-09-30,12.7876
2011-10-31,12.3472
2011-11-30,12.0391
2011-12-30,11.9863
2012-01-31,12.1596
2012-02-29,12.3153
2012-03-30,12.5678
2012-04-30,12.9928
2012-05-31,13.6570
2012-06-29,14.3330
2012-07-31,15.0797
2012-08-31,16.0015
2012-09-28,16.6758
2012-10-31,17.0161
2012-11-30,17.2822
2012-12-31,17.6115
2013-01-31,18.0474
2013-02-28,18.4970
2013-03-29,0
2013-04-30,19.4139
2013-05-31,20.0165
2013-06-28,20.3739
2013-07-31,21.0468
