,SMA_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,7.2342
2000-09-29,7.3633
2000-10-31,7.4373
2000-11-30,7.4678
2000-12-29,7.5195
2001-01-31,7.5569
2001-02-28,7.6239
2001-03-30,7.6602
2001-04-30,7.8634
2001-05-31,8.1585
2001-06-29,8.3470
2001-07-31,8.4797
2001-08-31,8.7883
2001-09-28,8.9422
2001-10-31,9.2693
2001-11-30,9.4978
2001-12-31,9.6905
2002-01-31,9.8924
2002-02-28,9.9465
2002-03-29,0
2002-04-30,10.3126
2002-05-31,10.6127
2002-06-28,10.7163
2002-07-31,10.7075
2002-08-30,10.7728
2002-09-30,10.9085
2002-10-31,11.0093
2002-11-29,11.0582
2002-12-31,11.0591
2003-01-31,10.9311
2003-02-28,10.8309
2003-03-31,10.7942
2003-04-30,10.8901
2003-05-30,11.1711
2003-06-30,11.4538
2003-07-31,11.7120
2003-08-29,11.9763
2003-09-30,12.4274
2003-10-31,12.9980
2003-11-28,13.4434
2003-12-31,14.0540
2004-01-30,14.5991
2004-02-27,15.0594
2004-03-31,15.4748
2004-04-30,15.8495
2004-05-31,0
2004-06-30,16.7273
2004-07-30,17.2550
2004-08-31,17.6647
2004-09-30,18.3012
2004-10-29,18.8144
2004-11-30,19.3783
2004-12-31,19.8757
2005-01-31,20.3949
2005-02-28,21.1107
2005-03-31,22.1269
2005-04-29,22.7191
2005-05-31,23.1744
2005-06-30,24.0567
2005-07-29,24.6865
2005-08-31,25.5383
2005-09-30,26.1498
2005-10-31,26.4553
2005-11-30,26.7018
2005-12-30,26.9424
2006-01-31,27.3421
2006-02-28,27.5562
2006-03-31,27.5313
2006-04-28,27.4281
2006-05-31,27.2867
2006-06-30,27.1733
2006-07-31,27.5498
2006-08-31,27.8457
2006-09-29,27.6817
2006-10-31,27.3543
2006-11-30,27.1748
2006-12-29,27.4841
2007-01-31,27.3963
2007-02-28,27.4022
2007-03-30,27.5253
2007-04-30,27.7169
2007-05-31,28.0747
2007-06-29,28.6769
2007-07-31,29.5943
2007-08-31,30.2984
2007-09-28,31.0474
2007-10-31,32.6971
2007-11-30,34.0295
2007-12-31,35.5222
2008-01-31,36.8007
2008-02-29,37.8963
2008-03-31,39.0484
2008-04-30,40.8067
2008-05-30,42.4544
2008-06-30,44.3523
2008-07-31,45.1588
2008-08-29,45.3656
2008-09-30,45.1395
2008-10-31,43.1986
2008-11-28,41.8172
2008-12-31,39.5695
2009-01-30,37.5716
2009-02-27,35.2769
2009-03-31,32.3855
2009-04-30,29.7763
2009-05-29,28.5561
2009-06-30,27.4998
2009-07-31,27.1871
2009-08-31,27.9300
2009-09-30,28.9409
2009-10-30,30.0136
2009-11-30,30.8756
2009-12-31,31.6826
2010-01-29,32.1281
2010-02-26,32.3073
2010-03-31,32.1626
2010-04-30,32.6523
2010-05-31,0
2010-06-30,32.2269
2010-07-30,31.8026
2010-08-31,31.4000
2010-09-30,31.6030
2010-10-29,32.1658
2010-11-30,33.0856
2010-12-31,34.3233
2011-01-31,35.2126
2011-02-28,35.9149
2011-03-31,37.2149
2011-04-29,38.6066
2011-05-31,39.5369
2011-06-30,40.1137
2011-07-29,40.4030
2011-08-31,39.5681
2011-09-30,38.4275
2011-10-31,37.1269
2011-11-30,36.2225
2011-12-30,35.1814
2012-01-31,34.4267
2012-02-29,33.8800
2012-03-30,33.4424
2012-04-30,32.8704
