,SMA_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,21.3690
2000-09-29,20.0518
2000-10-31,18.9302
2000-11-30,18.1906
2000-12-29,18.1339
2001-01-31,18.5000
2001-02-28,18.8170
2001-03-30,18.9299
2001-04-30,19.0704
2001-05-31,19.3198
2001-06-29,19.3781
2001-07-31,19.4558
2001-08-31,19.5438
2001-09-28,19.5448
2001-10-31,19.5306
2001-11-30,19.7484
2001-12-31,19.9799
2002-01-31,20.5041
2002-02-28,21.1839
2002-03-29,0
2002-04-30,22.7283
2002-05-31,23.4647
2002-06-28,23.9871
2002-07-31,24.4204
2002-08-30,24.9704
2002-09-30,25.3816
2002-10-31,25.7718
2002-11-29,25.9715
2002-12-31,26.0444
2003-01-31,25.9480
2003-02-28,25.7857
2003-03-31,25.6482
2003-04-30,25.6852
2003-05-30,25.8636
2003-06-30,25.9266
2003-07-31,25.9335
2003-08-29,25.9487
2003-09-30,26.1641
2003-10-31,26.5219
2003-11-28,26.8897
2003-12-31,27.4292
2004-01-30,27.7830
2004-02-27,28.1878
2004-03-31,28.6803
2004-04-30,29.2232
2004-05-31,0
2004-06-30,30.5196
2004-07-30,31.0332
2004-08-31,31.5013
2004-09-30,32.0076
2004-10-29,32.2990
2004-11-30,32.5459
2004-12-31,32.8692
2005-01-31,33.0971
2005-02-28,33.1436
2005-03-31,33.1254
2005-04-29,33.1368
2005-05-31,33.3066
2005-06-30,33.2685
2005-07-29,33.3276
2005-08-31,33.5053
2005-09-30,33.6602
2005-10-31,33.7470
2005-11-30,33.9722
2005-12-30,34.3393
2006-01-31,34.7092
2006-02-28,35.1061
2006-03-31,35.4529
2006-04-28,35.7204
2006-05-31,35.8394
2006-06-30,35.8733
2006-07-31,35.9144
2006-08-31,36.3097
2006-09-29,36.6419
2006-10-31,37.0043
2006-11-30,37.3520
2006-12-29,37.6156
2007-01-31,38.1242
2007-02-28,38.6523
2007-03-30,39.2829
2007-04-30,39.8189
2007-05-31,40.2505
2007-06-29,40.3858
2007-07-31,40.4814
2007-08-31,40.6704
2007-09-28,41.0149
2007-10-31,41.6035
2007-11-30,42.1341
2007-12-31,42.8989
2008-01-31,43.3592
2008-02-29,43.6604
2008-03-31,44.0283
2008-04-30,44.6151
2008-05-30,44.8519
2008-06-30,44.8737
2008-07-31,44.5267
2008-08-29,44.5344
2008-09-30,44.4201
2008-10-31,43.8490
2008-11-28,43.7838
2008-12-31,43.4350
2009-01-30,42.7786
2009-02-27,41.8840
2009-03-31,40.5702
2009-04-30,39.6875
2009-05-29,38.8257
2009-06-30,37.5227
2009-07-31,36.6176
2009-08-31,36.0597
2009-09-30,35.7158
2009-10-30,35.6096
2009-11-30,36.1725
2009-12-31,37.3303
2010-01-29,38.2516
2010-02-26,39.1313
2010-03-31,40.1041
2010-04-30,41.0196
2010-05-31,0
2010-06-30,42.3041
2010-07-30,42.7433
2010-08-31,42.9445
2010-09-30,42.9212
2010-10-29,43.1210
2010-11-30,43.4002
2010-12-31,43.5326
2011-01-31,43.7737
2011-02-28,43.9625
2011-03-31,44.0555
2011-04-29,44.3101
2011-05-31,44.8206
2011-06-30,45.2669
2011-07-29,45.5895
2011-08-31,45.5232
2011-09-30,45.6299
2011-10-31,45.7440
2011-11-30,45.7304
2011-12-30,46.0776
2012-01-31,46.4855
2012-02-29,46.5997
2012-03-30,46.8226
2012-04-30,47.1245
