,SMA_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,7.5787
2000-09-29,7.7031
2000-10-31,7.8501
2000-11-30,7.9875
2000-12-29,8.1872
2001-01-31,8.3798
2001-02-28,8.5281
2001-03-30,8.7076
2001-04-30,8.8393
2001-05-31,8.9482
2001-06-29,9.1157
2001-07-31,9.3104
2001-08-31,9.5506
2001-09-28,9.6755
2001-10-31,9.8336
2001-11-30,9.9904
2001-12-31,10.1673
2002-01-31,10.3966
2002-02-28,10.6322
2002-03-29,0
2002-04-30,11.1429
2002-05-31,11.4060
2002-06-28,11.6350
2002-07-31,11.9169
2002-08-30,12.2489
2002-09-30,12.5091
2002-10-31,12.7325
2002-11-29,12.9237
2002-12-31,13.1122
2003-01-31,13.2859
2003-02-28,13.4595
2003-03-31,13.6860
2003-04-30,13.9308
2003-05-30,14.2147
2003-06-30,14.4442
2003-07-31,14.7730
2003-08-29,15.0683
2003-09-30,15.3811
2003-10-31,15.7424
2003-11-28,16.1087
2003-12-31,16.5662
2004-01-30,16.9692
2004-02-27,17.4033
2004-03-31,18.0408
2004-04-30,18.3863
2004-05-31,0
2004-06-30,18.9385
2004-07-30,19.3531
2004-08-31,19.8317
2004-09-30,20.2655
2004-10-29,20.7402
2004-11-30,21.3126
2004-12-31,21.9886
2005-01-31,22.4477
2005-02-28,23.1217
2005-03-31,23.7729
2005-04-29,24.2131
2005-05-31,24.9047
2005-06-30,25.6828
2005-07-29,26.4313
2005-08-31,27.0936
2005-09-30,27.5129
2005-10-31,27.6804
2005-11-30,28.0933
2005-12-30,28.6040
2006-01-31,29.4516
2006-02-28,30.0849
2006-03-31,30.7732
2006-04-28,31.1510
2006-05-31,31.3937
2006-06-30,31.6586
2006-07-31,32.0872
2006-08-31,32.8078
2006-09-29,33.4106
2006-10-31,34.0693
2006-11-30,34.7350
2006-12-29,35.5464
2007-01-31,36.4474
2007-02-28,37.8688
2007-03-30,39.2090
2007-04-30,40.5007
2007-05-31,41.5327
2007-06-29,42.0629
2007-07-31,42.2740
2007-08-31,42.1931
2007-09-28,42.0511
2007-10-31,41.9714
2007-11-30,41.0219
2007-12-31,40.1176
2008-01-31,38.7741
2008-02-29,37.6325
2008-03-31,36.9374
2008-04-30,36.9586
2008-05-30,37.1444
2008-06-30,36.9603
2008-07-31,35.9407
2008-08-29,35.4259
2008-09-30,35.4133
2008-10-31,34.4431
2008-11-28,33.1587
2008-12-31,32.0739
2009-01-30,30.5764
2009-02-27,28.5437
2009-03-31,26.1360
2009-04-30,24.8079
2009-05-29,23.5374
2009-06-30,22.0270
2009-07-31,20.3711
2009-08-31,20.2671
2009-09-30,20.6037
2009-10-30,20.2584
2009-11-30,20.2790
2009-12-31,20.8719
2010-01-29,21.2726
2010-02-26,21.2197
2010-03-31,21.5321
2010-04-30,22.0171
2010-05-31,0
2010-06-30,22.8570
2010-07-30,22.8287
2010-08-31,23.1627
2010-09-30,23.6603
2010-10-29,24.2246
2010-11-30,24.8790
2010-12-31,25.3713
2011-01-31,25.6934
2011-02-28,25.9906
2011-03-31,26.5877
2011-04-29,27.2385
2011-05-31,27.9299
2011-06-30,28.4044
2011-07-29,28.9157
2011-08-31,28.7923
2011-09-30,28.6262
2011-10-31,28.3719
2011-11-30,28.1179
2011-12-30,27.7291
2012-01-31,27.5999
2012-02-29,27.5379
2012-03-30,27.6022
2012-04-30,27.6579
