,SMA_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,10.0181
2000-09-29,9.6793
2000-10-31,9.3269
2000-11-30,9.1878
2000-12-29,9.1807
2001-01-31,9.3141
2001-02-28,9.5066
2001-03-30,9.6093
2001-04-30,9.8337
2001-05-31,10.0817
2001-06-29,10.1096
2001-07-31,10.3418
2001-08-31,10.4742
2001-09-28,10.4057
2001-10-31,10.2383
2001-11-30,10.0528
2001-12-31,10.0231
2002-01-31,10.2322
2002-02-28,10.3551
2002-03-29,0
2002-04-30,10.9275
2002-05-31,11.3831
2002-06-28,11.6744
2002-07-31,11.9705
2002-08-30,12.2709
2002-09-30,12.3648
2002-10-31,12.2809
2002-11-29,12.3431
2002-12-31,12.4120
2003-01-31,12.6103
2003-02-28,12.7380
2003-03-31,12.7797
2003-04-30,12.9511
2003-05-30,13.3394
2003-06-30,13.8042
2003-07-31,14.4631
2003-08-29,15.1661
2003-09-30,15.7005
2003-10-31,16.3140
2003-11-28,16.9742
2003-12-31,17.9791
2004-01-30,18.9376
2004-02-27,19.5437
2004-03-31,20.1877
2004-04-30,20.9527
2004-05-31,0
2004-06-30,22.0933
2004-07-30,22.7621
2004-08-31,23.3729
2004-09-30,23.8259
2004-10-29,24.1807
2004-11-30,25.0670
2004-12-31,26.4087
2005-01-31,27.6894
2005-02-28,29.4441
2005-03-31,31.4335
2005-04-29,32.7497
2005-05-31,33.7166
2005-06-30,34.5823
2005-07-29,35.5816
2005-08-31,36.3935
2005-09-30,36.9389
2005-10-31,37.2111
2005-11-30,37.1972
2005-12-30,37.2225
2006-01-31,37.8036
2006-02-28,39.0622
2006-03-31,40.7686
2006-04-28,42.4242
2006-05-31,43.9174
2006-06-30,45.1634
2006-07-31,46.3156
2006-08-31,46.8861
2006-09-29,46.8165
2006-10-31,46.8257
2006-11-30,46.6563
2006-12-29,46.1935
2007-01-31,45.4071
2007-02-28,44.6601
2007-03-30,44.2061
2007-04-30,43.4919
2007-05-31,43.5809
2007-06-29,44.4043
2007-07-31,45.5571
2007-08-31,46.2400
2007-09-28,46.6916
2007-10-31,47.4599
2007-11-30,47.9678
2007-12-31,48.5809
2008-01-31,48.5882
2008-02-29,48.3447
2008-03-31,47.5449
2008-04-30,46.6293
2008-05-30,45.6172
2008-06-30,44.4058
2008-07-31,42.2933
2008-08-29,40.7597
2008-09-30,38.6957
2008-10-31,35.6088
2008-11-28,33.6134
2008-12-31,31.6069
2009-01-30,29.6263
2009-02-27,27.3677
2009-03-31,24.6230
2009-04-30,23.2751
2009-05-29,22.4204
2009-06-30,21.3537
2009-07-31,21.5254
2009-08-31,22.7719
2009-09-30,24.0379
2009-10-30,25.0465
2009-11-30,26.4481
2009-12-31,28.6604
2010-01-29,30.4278
2010-02-26,31.9380
2010-03-31,34.1080
2010-04-30,36.4951
2010-05-31,0
2010-06-30,38.9400
2010-07-30,39.7908
2010-08-31,40.7272
2010-09-30,41.9322
2010-10-29,43.2158
2010-11-30,44.6735
2010-12-31,46.1409
2011-01-31,47.6127
2011-02-28,49.6409
2011-03-31,52.9538
2011-04-29,56.3084
2011-05-31,58.8302
2011-06-30,61.2866
2011-07-29,63.0510
2011-08-31,62.9329
2011-09-30,62.1211
2011-10-31,61.4653
2011-11-30,60.6989
2011-12-30,59.7155
2012-01-31,58.6595
2012-02-29,58.2196
2012-03-30,58.3434
2012-04-30,57.9928
