,SMA_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,3.4530
2000-09-29,3.5708
2000-10-31,3.7420
2000-11-30,3.9081
2000-12-29,4.0093
2001-01-31,4.0702
2001-02-28,4.2050
2001-03-30,4.3268
2001-04-30,4.3478
2001-05-31,4.3415
2001-06-29,4.3818
2001-07-31,4.3905
2001-08-31,4.3120
2001-09-28,4.1914
2001-10-31,4.0654
2001-11-30,3.9508
2001-12-31,3.8543
2002-01-31,3.8807
2002-02-28,3.9284
2002-03-29,0
2002-04-30,4.0809
2002-05-31,4.1687
2002-06-28,4.3032
2002-07-31,4.4369
2002-08-30,4.4911
2002-09-30,4.5383
2002-10-31,4.5894
2002-11-29,4.5887
2002-12-31,4.5488
2003-01-31,4.4855
2003-02-28,4.4629
2003-03-31,4.4797
2003-04-30,4.5100
2003-05-30,4.5908
2003-06-30,4.6688
2003-07-31,4.7960
2003-08-29,4.8805
2003-09-30,5.0471
2003-10-31,5.2698
2003-11-28,5.4616
2003-12-31,5.6608
2004-01-30,5.8401
2004-02-27,6.0988
2004-03-31,6.4165
2004-04-30,6.6989
2004-05-31,0
2004-06-30,7.2655
2004-07-30,7.6225
2004-08-31,7.9222
2004-09-30,8.2062
2004-10-29,8.5621
2004-11-30,8.9715
2004-12-31,9.4612
2005-01-31,9.8467
2005-02-28,10.0842
2005-03-31,10.3709
2005-04-29,10.4502
2005-05-31,10.6125
2005-06-30,10.8363
2005-07-29,10.9453
2005-08-31,10.9076
2005-09-30,10.7102
2005-10-31,10.5659
2005-11-30,10.7327
2005-12-30,10.9393
2006-01-31,11.1806
2006-02-28,11.5865
2006-03-31,11.9958
2006-04-28,12.4529
2006-05-31,12.9457
2006-06-30,13.4604
2006-07-31,13.8837
2006-08-31,13.9926
2006-09-29,14.0706
2006-10-31,14.3692
2006-11-30,14.5520
2006-12-29,14.5676
2007-01-31,14.4794
2007-02-28,14.2775
2007-03-30,14.0482
2007-04-30,13.8341
2007-05-31,13.6846
2007-06-29,13.5322
2007-07-31,13.1768
2007-08-31,12.6807
2007-09-28,12.3191
2007-10-31,11.8747
2007-11-30,11.4239
2007-12-31,11.0361
2008-01-31,10.5221
2008-02-29,10.0233
2008-03-31,9.5805
2008-04-30,9.1760
2008-05-30,8.7213
2008-06-30,8.3007
2008-07-31,7.7507
2008-08-29,7.3312
2008-09-30,7.0096
2008-10-31,6.6159
2008-11-28,6.2453
2008-12-31,5.8519
2009-01-30,5.5134
2009-02-27,5.2485
2009-03-31,4.9278
2009-04-30,4.7679
2009-05-29,4.7174
2009-06-30,4.6630
2009-07-31,4.7170
2009-08-31,5.0693
2009-09-30,5.5479
2009-10-30,6.0236
2009-11-30,6.4941
2009-12-31,7.0832
2010-01-29,7.5278
2010-02-26,7.8909
2010-03-31,8.3726
2010-04-30,8.8709
2010-05-31,0
2010-06-30,9.5733
2010-07-30,9.7905
2010-08-31,9.9790
2010-09-30,10.1512
2010-10-29,10.3306
2010-11-30,10.6803
2010-12-31,11.0982
2011-01-31,11.4392
2011-02-28,11.7060
2011-03-31,12.1579
2011-04-29,12.6076
2011-05-31,13.1148
2011-06-30,13.6867
2011-07-29,14.2813
2011-08-31,14.6987
2011-09-30,15.0341
2011-10-31,15.4136
2011-11-30,15.8630
2011-12-30,16.3430
2012-01-31,16.8272
2012-02-29,17.3567
2012-03-30,18.1587
2012-04-30,19.0231
