,SMA_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,11.0186
2000-09-29,10.8727
2000-10-31,10.5582
2000-11-30,10.4065
2000-12-29,10.4633
2001-01-31,10.6179
2001-02-28,10.8578
2001-03-30,11.1182
2001-04-30,11.3059
2001-05-31,11.6738
2001-06-29,12.1544
2001-07-31,12.6271
2001-08-31,13.1034
2001-09-28,13.2289
2001-10-31,13.3776
2001-11-30,13.5805
2001-12-31,13.9323
2002-01-31,14.6979
2002-02-28,15.3090
2002-03-29,0
2002-04-30,16.9201
2002-05-31,17.8926
2002-06-28,18.6817
2002-07-31,19.3873
2002-08-30,19.9490
2002-09-30,20.1684
2002-10-31,20.0902
2002-11-29,19.9635
2002-12-31,19.4492
2003-01-31,18.7416
2003-02-28,18.0063
2003-03-31,17.1514
2003-04-30,16.7533
2003-05-30,16.9461
2003-06-30,17.1772
2003-07-31,17.6750
2003-08-29,18.1639
2003-09-30,18.9901
2003-10-31,20.1787
2003-11-28,21.0618
2003-12-31,22.1102
2004-01-30,23.0701
2004-02-27,23.8299
2004-03-31,24.7537
2004-04-30,25.5703
2004-05-31,0
2004-06-30,26.8106
2004-07-30,27.1726
2004-08-31,27.3783
2004-09-30,27.7015
2004-10-29,28.0145
2004-11-30,28.3726
2004-12-31,28.6949
2005-01-31,28.8332
2005-02-28,29.0263
2005-03-31,29.1751
2005-04-29,29.1336
2005-05-31,29.0374
2005-06-30,29.1349
2005-07-29,29.2020
2005-08-31,29.3554
2005-09-30,29.2369
2005-10-31,28.7787
2005-11-30,28.2780
2005-12-30,27.9089
2006-01-31,27.6450
2006-02-28,27.4861
2006-03-31,27.4471
2006-04-28,27.4180
2006-05-31,27.2117
2006-06-30,26.9127
2006-07-31,26.9438
2006-08-31,27.6958
2006-09-29,28.1971
2006-10-31,28.7765
2006-11-30,29.7263
2006-12-29,30.6417
2007-01-31,31.4533
2007-02-28,32.2065
2007-03-30,33.1187
2007-04-30,34.2667
2007-05-31,35.1321
2007-06-29,35.3442
2007-07-31,35.5145
2007-08-31,35.1088
2007-09-28,34.3301
2007-10-31,33.5720
2007-11-30,32.4371
2007-12-31,31.0756
2008-01-31,29.2253
2008-02-29,27.4708
2008-03-31,25.7116
2008-04-30,24.2219
2008-05-30,23.1236
2008-06-30,21.8794
2008-07-31,20.5937
2008-08-29,19.4874
2008-09-30,19.0934
2008-10-31,18.1481
2008-11-28,16.9874
2008-12-31,15.6767
2009-01-30,14.4666
2009-02-27,13.0135
2009-03-31,11.6576
2009-04-30,11.2565
2009-05-29,10.9572
2009-06-30,10.7092
2009-07-31,10.7637
2009-08-31,11.6934
2009-09-30,13.1694
2009-10-30,14.8209
2009-11-30,16.4350
2009-12-31,18.0908
2010-01-29,19.2617
2010-02-26,20.1847
2010-03-31,21.2400
2010-04-30,22.4005
2010-05-31,0
2010-06-30,23.7820
2010-07-30,24.0163
2010-08-31,24.1599
2010-09-30,24.4213
2010-10-29,24.9975
2010-11-30,25.8358
2010-12-31,27.0434
2011-01-31,27.9124
2011-02-28,28.8175
2011-03-31,30.0532
2011-04-29,31.3381
2011-05-31,32.5114
2011-06-30,33.9522
2011-07-29,35.1351
2011-08-31,35.1868
2011-09-30,34.8441
2011-10-31,34.5991
2011-11-30,34.6651
2011-12-30,34.6864
2012-01-31,34.7821
2012-02-29,35.0870
2012-03-30,35.5967
2012-04-30,35.7775
