,SMA_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,1.9652
2000-09-29,2.0713
2000-10-31,2.2261
2000-11-30,2.3910
2000-12-29,2.5530
2001-01-31,2.6852
2001-02-28,2.7854
2001-03-30,2.8932
2001-04-30,3.0050
2001-05-31,3.1674
2001-06-29,3.2323
2001-07-31,3.1938
2001-08-31,3.1432
2001-09-28,3.0766
2001-10-31,3.0005
2001-11-30,2.9542
2001-12-31,2.9225
2002-01-31,2.8924
2002-02-28,2.8183
2002-03-29,0
2002-04-30,2.7786
2002-05-31,2.8519
2002-06-28,2.8781
2002-07-31,2.9031
2002-08-30,2.9157
2002-09-30,2.9285
2002-10-31,2.9143
2002-11-29,2.9428
2002-12-31,2.9997
2003-01-31,3.0202
2003-02-28,3.0245
2003-03-31,3.0538
2003-04-30,3.1405
2003-05-30,3.2754
2003-06-30,3.4034
2003-07-31,3.5363
2003-08-29,3.6344
2003-09-30,3.7143
2003-10-31,3.7794
2003-11-28,3.8515
2003-12-31,3.9495
2004-01-30,4.0342
2004-02-27,4.0976
2004-03-31,4.1454
2004-04-30,4.1867
2004-05-31,0
2004-06-30,4.3264
2004-07-30,4.4451
2004-08-31,4.5655
2004-09-30,4.6808
2004-10-29,4.8375
2004-11-30,5.0313
2004-12-31,5.2315
2005-01-31,5.4064
2005-02-28,5.6017
2005-03-31,5.9102
2005-04-29,6.1795
2005-05-31,6.4278
2005-06-30,6.7767
2005-07-29,7.0889
2005-08-31,7.4696
2005-09-30,7.9133
2005-10-31,8.3175
2005-11-30,8.6821
2005-12-30,9.0018
2006-01-31,9.2987
2006-02-28,9.5219
2006-03-31,9.6669
2006-04-28,9.7431
2006-05-31,9.8415
2006-06-30,9.8148
2006-07-31,9.7780
2006-08-31,9.9532
2006-09-29,10.0249
2006-10-31,10.0691
2006-11-30,10.1264
2006-12-29,10.3164
2007-01-31,10.4347
2007-02-28,10.4896
2007-03-30,10.6909
2007-04-30,10.9363
2007-05-31,11.1967
2007-06-29,11.4955
2007-07-31,11.8877
2007-08-31,12.1301
2007-09-28,12.3455
2007-10-31,12.7239
2007-11-30,13.1192
2007-12-31,13.4729
2008-01-31,13.6623
2008-02-29,13.8123
2008-03-31,13.9139
2008-04-30,14.1240
2008-05-30,14.4831
2008-06-30,15.0043
2008-07-31,15.3281
2008-08-29,15.2322
2008-09-30,14.9854
2008-10-31,14.2162
2008-11-28,13.7092
2008-12-31,12.9859
2009-01-30,12.3772
2009-02-27,11.6240
2009-03-31,10.5630
2009-04-30,9.5282
2009-05-29,8.9862
2009-06-30,8.5360
2009-07-31,8.3913
2009-08-31,8.5267
2009-09-30,8.7164
2009-10-30,8.9196
2009-11-30,9.0984
2009-12-31,9.4747
2010-01-29,9.8104
2010-02-26,10.0664
2010-03-31,10.3666
2010-04-30,10.8091
2010-05-31,0
2010-06-30,11.5337
2010-07-30,11.8726
2010-08-31,12.1464
2010-09-30,12.4750
2010-10-29,12.7353
2010-11-30,13.0097
2010-12-31,13.3133
2011-01-31,13.5738
2011-02-28,13.7404
2011-03-31,13.9655
2011-04-29,14.1034
2011-05-31,14.1794
2011-06-30,14.2881
2011-07-29,14.3981
2011-08-31,14.5320
2011-09-30,14.6387
2011-10-31,14.8098
2011-11-30,14.9870
2011-12-30,15.2090
2012-01-31,15.4349
2012-02-29,15.6783
2012-03-30,15.9347
2012-04-30,16.1009
