,SMA_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,19.6290
2000-09-29,20.0984
2000-10-31,20.9568
2000-11-30,21.9613
2000-12-29,22.9732
2001-01-31,23.8081
2001-02-28,24.7501
2001-03-30,25.7941
2001-04-30,26.5016
2001-05-31,27.2037
2001-06-29,27.5785
2001-07-31,27.2132
2001-08-31,26.7166
2001-09-28,26.2623
2001-10-31,25.8498
2001-11-30,25.4044
2001-12-31,24.6843
2002-01-31,24.3207
2002-02-28,24.0998
2002-03-29,0
2002-04-30,24.1038
2002-05-31,24.4561
2002-06-28,24.6019
2002-07-31,24.6842
2002-08-30,24.8662
2002-09-30,24.8927
2002-10-31,24.8757
2002-11-29,24.4951
2002-12-31,23.7890
2003-01-31,23.2228
2003-02-28,22.5833
2003-03-31,22.0015
2003-04-30,21.5504
2003-05-30,21.3962
2003-06-30,21.1350
2003-07-31,20.9383
2003-08-29,20.7473
2003-09-30,20.8880
2003-10-31,21.1083
2003-11-28,21.5349
2003-12-31,22.1282
2004-01-30,22.3936
2004-02-27,22.6162
2004-03-31,22.8002
2004-04-30,22.9881
2004-05-31,0
2004-06-30,23.5845
2004-07-30,23.9093
2004-08-31,24.0767
2004-09-30,24.1265
2004-10-29,24.1828
2004-11-30,24.4884
2004-12-31,24.8343
2005-01-31,25.4779
2005-02-28,26.1220
2005-03-31,26.9481
2005-04-29,27.5262
2005-05-31,28.1954
2005-06-30,28.9113
2005-07-29,29.6878
2005-08-31,30.5542
2005-09-30,30.9684
2005-10-31,31.3049
2005-11-30,31.5940
2005-12-30,31.7596
2006-01-31,31.6881
2006-02-28,31.7862
2006-03-31,31.7107
2006-04-28,31.4998
2006-05-31,31.0209
2006-06-30,30.7956
2006-07-31,31.0288
2006-08-31,31.3129
2006-09-29,31.4540
2006-10-31,31.4072
2006-11-30,31.3145
2006-12-29,31.2852
2007-01-31,31.4322
2007-02-28,31.6837
2007-03-30,32.0458
2007-04-30,32.1525
2007-05-31,31.9720
2007-06-29,31.6018
2007-07-31,31.5287
2007-08-31,31.6950
2007-09-28,31.9619
2007-10-31,31.4483
2007-11-30,30.9803
2007-12-31,30.4491
2008-01-31,29.5711
2008-02-29,28.9593
2008-03-31,28.4066
2008-04-30,27.8201
2008-05-30,27.1307
2008-06-30,26.4289
2008-07-31,25.6996
2008-08-29,25.5161
2008-09-30,25.2207
2008-10-31,24.3355
2008-11-28,23.5964
2008-12-31,22.7282
2009-01-30,21.9938
2009-02-27,21.3743
2009-03-31,20.4756
2009-04-30,20.1814
2009-05-29,19.9214
2009-06-30,19.5251
2009-07-31,19.5730
2009-08-31,20.1903
2009-09-30,20.9786
2009-10-30,22.0683
2009-11-30,22.9835
2009-12-31,24.1339
2010-01-29,24.8341
2010-02-26,25.1333
2010-03-31,25.5621
2010-04-30,26.0939
2010-05-31,0
2010-06-30,26.1757
2010-07-30,25.6017
2010-08-31,24.7424
2010-09-30,24.0883
2010-10-29,23.8889
2010-11-30,23.8914
2010-12-31,24.1541
2011-01-31,24.5126
2011-02-28,25.0282
2011-03-31,25.8551
2011-04-29,26.9224
2011-05-31,28.1429
2011-06-30,29.4057
2011-07-29,30.1448
2011-08-31,30.3005
2011-09-30,30.3382
2011-10-31,29.9074
2011-11-30,29.2236
2011-12-30,28.6239
2012-01-31,28.1406
2012-02-29,27.5190
2012-03-30,26.7339
2012-04-30,26.1326
