,SMA_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,0
2010-08-31,0
2010-09-30,0
2010-10-29,0
2010-11-30,0
2010-12-31,0
2011-01-31,0
2011-02-28,0
2011-03-31,0
2011-04-29,0
2011-05-31,0
2011-06-30,0
2011-07-29,0
2011-08-31,0
2011-09-30,0
2011-10-31,0
2011-11-30,0
2011-12-30,0
2012-01-31,0
2012-02-29,0
2012-03-30,0
2012-04-30,0
2012-05-31,0
2012-06-29,0
2012-07-31,0
2012-08-31,0
2012-09-28,0
2012-10-31,0
2012-11-30,0
2012-12-31,0
2013-01-31,0
2013-02-28,0
2013-03-29,0
2013-04-30,0
2013-05-31,0
2013-06-28,0
2013-07-31,0
2013-08-30,0
2013-09-30,0
2013-10-31,0
2013-11-29,29.8850
2013-12-31,29.7407
2014-01-31,29.6431
2014-02-28,29.4331
2014-03-31,29.1724
2014-04-30,29.0549
2014-05-30,29.0854
2014-06-30,29.3183
2014-07-31,29.4432
2014-08-29,29.6314
2014-09-30,30.1519
2014-10-31,30.6539
2014-11-28,31.7379
2014-12-31,33.1431
2015-01-30,34.5361
2015-02-27,35.8984
2015-03-31,37.5484
2015-04-30,38.9854
2015-05-29,40.3554
2015-06-30,41.9071
2015-07-31,43.1467
2015-08-31,44.0864
2015-09-30,44.1117
2015-10-30,44.0889
2015-11-30,44.3205
2015-12-31,44.4116
2016-01-29,44.2385
2016-02-29,43.8079
2016-03-31,43.1014
2016-04-29,42.9909
2016-05-31,42.8626
2016-06-30,43.1144
2016-07-29,43.7624
2016-08-31,44.6124
2016-09-30,45.1197
2016-10-31,45.5639
2016-11-30,46.3963
2016-12-30,47.4921
2017-01-31,48.3814
2017-02-28,49.0565
2017-03-31,49.7978
2017-04-28,50.4165
2017-05-31,51.4548
2017-06-30,52.7113
2017-07-31,53.8229
2017-08-31,55.1302
2017-09-29,56.5302
2017-10-31,57.7580
2017-11-30,59.3231
2017-12-29,61.1566
2018-01-31,63.4947
2018-02-28,65.4229
2018-03-30,0
2018-04-30,69.8159
2018-05-31,72.1398
2018-06-29,74.5949
2018-07-31,76.8303
2018-08-31,79.6188
2018-09-28,81.3477
2018-10-31,83.3751
2018-11-30,85.0648
2018-12-31,85.5072
2019-01-31,85.7332
2019-02-28,86.4424
2019-03-29,87.7385
2019-04-30,89.3354
2019-05-31,90.9445
2019-06-28,93.0541
2019-07-31,95.7291
2019-08-30,99.2104
2019-09-30,102.5589
2019-10-31,107.2938
2019-11-29,110.6688
2019-12-31,113.9792
2020-01-31,117.8087
2020-02-28,121.4444
2020-03-31,123.0338
2020-04-30,124.2368
2020-05-29,125.4797
2020-06-30,126.8281
2020-07-31,128.8162
2020-08-31,132.5141
2020-09-30,136.6885
2020-10-30,139.9512
2020-11-30,142.5186
2020-12-31,145.6881
2021-01-29,150.1623
2021-02-26,153.4231
2021-03-31,155.5905
2021-04-30,158.6211
2021-05-31,0
2021-06-30,163.4851
2021-07-30,167.3964
2021-08-31,171.8546
2021-09-30,176.2609
2021-10-29,180.4603
2021-11-30,186.7157
2021-12-31,195.4421
2022-01-31,200.2764
2022-02-28,202.7695
2022-03-31,204.5352
