,SMA_daily_60
2000-01-31,25.1615
2000-02-29,24.5484
2000-03-31,23.8686
2000-04-28,23.8647
2000-05-31,25.3053
2000-06-30,26.3045
2000-07-31,26.4550
2000-08-31,27.0214
2000-09-29,28.6601
2000-10-31,30.6933
2000-11-30,32.1401
2000-12-29,31.8977
2001-01-31,31.3127
2001-02-28,30.0572
2001-03-30,28.7356
2001-04-30,27.5974
2001-05-31,26.8016
2001-06-29,26.6986
2001-07-31,26.6181
2001-08-31,25.7545
2001-09-28,25.1489
2001-10-31,24.6988
2001-11-30,25.6096
2001-12-31,27.4108
2002-01-31,28.5889
2002-02-28,28.2882
2002-03-29,0
2002-04-30,27.4294
2002-05-31,27.1284
2002-06-28,25.6384
2002-07-31,23.0232
2002-08-30,20.2964
2002-09-30,18.7581
2002-10-31,19.2212
2002-11-29,20.1486
2002-12-31,20.9601
2003-01-31,20.4086
2003-02-28,18.8221
2003-03-31,17.0790
2003-04-30,16.2601
2003-05-30,16.4572
2003-06-30,17.2385
2003-07-31,17.8435
2003-08-29,18.6457
2003-09-30,19.3141
2003-10-31,19.6158
2003-11-28,19.4402
2003-12-31,19.6374
2004-01-30,20.2692
2004-02-27,21.1325
2004-03-31,21.7855
2004-04-30,22.3160
2004-05-31,0
2004-06-30,22.9893
2004-07-30,22.2614
2004-08-31,21.3361
2004-09-30,21.0945
2004-10-29,21.3873
2004-11-30,22.3486
2004-12-31,22.9225
2005-01-31,23.1147
2005-02-28,22.7648
2005-03-31,22.6643
2005-04-29,22.9097
2005-05-31,23.1786
2005-06-30,22.8480
2005-07-29,22.6829
2005-08-31,22.6959
2005-09-30,22.7269
2005-10-31,22.7849
2005-11-30,23.4172
2005-12-30,24.2341
2006-01-31,24.5455
2006-02-28,24.2259
2006-03-31,24.2616
2006-04-28,24.3742
2006-05-31,24.2995
2006-06-30,23.9938
2006-07-31,23.6989
2006-08-31,24.0201
2006-09-29,24.5024
2006-10-31,25.2698
2006-11-30,25.6824
2006-12-29,25.9719
2007-01-31,26.1050
2007-02-28,26.3259
2007-03-30,26.4263
2007-04-30,26.7897
2007-05-31,27.5474
2007-06-29,28.5138
2007-07-31,29.1705
2007-08-31,28.8906
2007-09-28,28.3337
2007-10-31,28.3617
2007-11-30,28.3889
2007-12-31,28.3201
2008-01-31,26.8009
2008-02-29,25.4491
2008-03-31,24.5890
2008-04-30,25.3560
2008-05-30,26.1956
2008-06-30,26.5663
2008-07-31,26.2972
2008-08-29,26.6593
2008-09-30,27.0417
2008-10-31,25.4522
2008-11-28,23.6881
2008-12-31,22.5482
2009-01-30,23.5077
2009-02-27,23.7485
2009-03-31,23.1322
2009-04-30,22.6191
2009-05-29,22.7277
2009-06-30,23.0650
2009-07-31,23.0924
2009-08-31,23.4484
2009-09-30,24.2052
2009-10-30,25.2199
2009-11-30,26.3173
2009-12-31,27.3511
2010-01-29,27.7815
2010-02-26,27.4242
2010-03-31,27.6843
