,SMA_daily_60
2000-01-31,1.2363
2000-02-29,1.2390
2000-03-31,1.2598
2000-04-28,1.2806
2000-05-31,1.3296
2000-06-30,1.3903
2000-07-31,1.4657
2000-08-31,1.5465
2000-09-29,1.5798
2000-10-31,1.5577
2000-11-30,1.5485
2000-12-29,1.5930
2001-01-31,1.6426
2001-02-28,1.6454
2001-03-30,1.5829
2001-04-30,1.5488
2001-05-31,1.5715
2001-06-29,1.6378
2001-07-31,1.6994
2001-08-31,1.7400
2001-09-28,1.7332
2001-10-31,1.6730
2001-11-30,1.6371
2001-12-31,1.6442
2002-01-31,1.6830
2002-02-28,1.6916
2002-03-29,0
2002-04-30,1.8020
2002-05-31,1.8627
2002-06-28,1.8701
2002-07-31,1.8183
2002-08-30,1.7499
2002-09-30,1.6758
2002-10-31,1.5750
2002-11-29,1.5180
2002-12-31,1.4798
2003-01-31,1.5121
2003-02-28,1.5058
2003-03-31,1.5068
2003-04-30,1.5205
2003-05-30,1.5309
2003-06-30,1.5263
2003-07-31,1.5194
2003-08-29,1.5687
2003-09-30,1.6329
2003-10-31,1.7109
2003-11-28,1.6779
2003-12-31,1.6156
2004-01-30,1.5207
2004-02-27,1.5116
2004-03-31,1.4814
2004-04-30,1.4059
2004-05-31,0
2004-06-30,1.3274
2004-07-30,1.3969
2004-08-31,1.4786
2004-09-30,1.5639
2004-10-29,1.6252
2004-11-30,1.6920
2004-12-31,1.7456
2005-01-31,1.7568
2005-02-28,1.7640
2005-03-31,1.7715
2005-04-29,1.7997
2005-05-31,1.8192
2005-06-30,1.8749
2005-07-29,1.9660
2005-08-31,2.0092
2005-09-30,2.0024
2005-10-31,1.9100
2005-11-30,1.9084
2005-12-30,1.9131
2006-01-31,2.0069
2006-02-28,2.0935
2006-03-31,2.2495
2006-04-28,2.3137
2006-05-31,2.3260
2006-06-30,2.2932
2006-07-31,2.3299
2006-08-31,2.4656
2006-09-29,2.6380
2006-10-31,2.8389
2006-11-30,2.9324
2006-12-29,2.9879
2007-01-31,3.0455
2007-02-28,3.1797
2007-03-30,3.2007
2007-04-30,3.1650
2007-05-31,3.0390
2007-06-29,2.9457
2007-07-31,2.7859
2007-08-31,2.5688
2007-09-28,2.4651
2007-10-31,2.4756
2007-11-30,2.3893
2007-12-31,2.2650
2008-01-31,2.1205
2008-02-29,2.1441
2008-03-31,2.1647
2008-04-30,2.2097
2008-05-30,2.2842
2008-06-30,2.2958
2008-07-31,2.2583
2008-08-29,2.2745
2008-09-30,2.3168
2008-10-31,1.9963
2008-11-28,1.5219
2008-12-31,1.0305
2009-01-30,0.9295
2009-02-27,0.8233
2009-03-31,0.6571
2009-04-30,0.5430
2009-05-29,0.6242
2009-06-30,0.7645
2009-07-31,0.8159
2009-08-31,0.8901
2009-09-30,1.0320
2009-10-30,1.2281
2009-11-30,1.2791
2009-12-31,1.3247
2010-01-29,1.3831
2010-02-26,1.4724
2010-03-31,1.5688
2010-04-30,1.7086
2010-05-31,0
2010-06-30,1.9626
2010-07-30,1.9490
2010-08-31,1.9440
2010-09-30,1.9837
2010-10-29,2.0416
2010-11-30,2.1683
2010-12-31,2.2829
2011-01-31,2.3509
2011-02-28,2.3604
2011-03-31,2.3352
2011-04-29,2.3540
2011-05-31,2.4155
2011-06-30,2.4507
2011-07-29,2.4950
2011-08-31,2.4648
2011-09-30,2.4497
2011-10-31,2.3422
2011-11-30,2.2480
2011-12-30,2.1690
2012-01-31,2.1638
2012-02-29,2.2648
2012-03-30,2.3881
2012-04-30,2.4811
2012-05-31,2.5574
2012-06-29,2.6010
2012-07-31,2.6403
2012-08-31,2.6338
2012-09-28,2.6278
2012-10-31,2.5857
2012-11-30,2.5514
2012-12-31,2.5404
2013-01-31,2.6011
2013-02-28,2.7244
2013-03-29,0
2013-04-30,3.0153
2013-05-31,3.1169
2013-06-28,3.0812
2013-07-31,3.0672
2013-08-30,2.9583
2013-09-30,2.9399
2013-10-31,2.8794
2013-11-29,2.8227
2013-12-31,2.7377
2014-01-31,2.6783
2014-02-28,2.7963
2014-03-31,2.9679
2014-04-30,3.0942
2014-05-30,3.1602
2014-06-30,3.2302
2014-07-31,3.3712
2014-08-29,3.4747
2014-09-30,3.5350
2014-10-31,3.5452
2014-11-28,3.6435
2014-12-31,3.8247
2015-01-30,4.0353
2015-02-27,4.1110
2015-03-31,4.1863
2015-04-30,4.1392
2015-05-29,4.1371
2015-06-30,4.0849
2015-07-31,4.1379
2015-08-31,4.1753
2015-09-30,4.1259
2015-10-30,4.1371
2015-11-30,4.1218
2015-12-31,4.2379
2016-01-29,4.2134
2016-02-29,4.2046
2016-03-31,4.2449
2016-04-29,4.3433
2016-05-31,4.5635
2016-06-30,4.6264
2016-07-29,4.8011
2016-08-31,4.9382
2016-09-30,5.0754
2016-10-31,4.9995
2016-11-30,4.9010
2016-12-30,4.8433
2017-01-31,4.9195
2017-02-28,5.0465
2017-03-31,5.1031
2017-04-28,5.1148
2017-05-31,5.0333
2017-06-30,5.0326
2017-07-31,5.0225
2017-08-31,5.1398
2017-09-29,5.2056
2017-10-31,5.2300
2017-11-30,5.2028
2017-12-29,5.1666
2018-01-31,5.0790
2018-02-28,4.8864
2018-03-30,0
2018-04-30,4.7053
2018-05-31,4.7734
2018-06-29,4.8545
2018-07-31,4.9402
2018-08-31,5.0998
2018-09-28,5.2007
2018-10-31,5.2515
2018-11-30,5.3443
2018-12-31,5.4141
2019-01-31,5.5593
2019-02-28,5.7168
2019-03-29,5.9258
2019-04-30,6.0888
2019-05-31,6.1320
2019-06-28,6.1773
2019-07-31,6.2401
2019-08-30,6.2686
2019-09-30,6.3071
2019-10-31,6.4840
2019-11-29,6.6266
2019-12-31,6.6352
2020-01-31,6.5732
2020-02-28,6.5825
2020-03-31,6.0413
2020-04-30,5.3366
2020-05-29,4.6409
2020-06-30,4.7698
2020-07-31,4.8130
2020-08-31,4.8049
2020-09-30,4.6659
2020-10-30,4.5634
2020-11-30,4.3343
2020-12-31,4.3746
2021-01-29,4.5137
2021-02-26,4.7930
2021-03-31,5.0655
2021-04-30,5.6400
2021-05-31,0
2021-06-30,6.9040
2021-07-30,7.0430
2021-08-31,6.9872
2021-09-30,6.8825
2021-10-29,7.0415
2021-11-30,7.4017
2021-12-31,7.6660
2022-01-31,7.5530
2022-02-28,7.2462
2022-03-31,7.0938
