,SMA_daily_60
2000-01-31,2.4120
2000-02-29,2.2383
2000-03-31,2.0669
2000-04-28,1.9930
2000-05-31,2.1613
2000-06-30,2.3315
2000-07-31,2.2899
2000-08-31,2.0631
2000-09-29,1.7890
2000-10-31,1.6300
2000-11-30,1.6510
2000-12-29,1.7891
2001-01-31,1.9056
2001-02-28,1.9668
2001-03-30,2.0821
2001-04-30,2.1694
2001-05-31,2.1597
2001-06-29,2.1130
2001-07-31,2.0589
2001-08-31,2.0336
2001-09-28,2.0046
2001-10-31,1.9152
2001-11-30,1.9230
2001-12-31,1.9925
2002-01-31,2.2255
2002-02-28,2.4342
2002-03-29,0
2002-04-30,3.0803
2002-05-31,3.4107
2002-06-28,3.4855
2002-07-31,3.4957
2002-08-30,3.4707
2002-09-30,3.4760
2002-10-31,3.3533
2002-11-29,3.1274
2002-12-31,3.0706
2003-01-31,3.1282
2003-02-28,3.1609
2003-03-31,3.1325
2003-04-30,3.2283
2003-05-30,3.4934
2003-06-30,3.6758
2003-07-31,3.7807
2003-08-29,3.8934
2003-09-30,4.0443
2003-10-31,3.9881
2003-11-28,3.9626
2003-12-31,4.0902
2004-01-30,4.1939
2004-02-27,4.1098
2004-03-31,3.8977
2004-04-30,3.7905
2004-05-31,0
2004-06-30,3.7157
2004-07-30,3.6893
2004-08-31,3.5916
2004-09-30,3.3397
2004-10-29,3.1995
2004-11-30,3.3282
2004-12-31,3.5780
2005-01-31,3.6382
2005-02-28,3.5594
2005-03-31,3.5126
2005-04-29,3.6058
2005-05-31,3.7159
2005-06-30,3.8276
2005-07-29,3.7494
2005-08-31,3.6347
2005-09-30,3.5221
2005-10-31,3.6619
2005-11-30,3.9705
2005-12-30,4.3704
2006-01-31,4.7883
2006-02-28,5.2123
2006-03-31,5.9270
2006-04-28,6.4077
2006-05-31,6.3367
2006-06-30,5.9953
2006-07-31,5.6969
2006-08-31,5.5873
2006-09-29,5.4039
2006-10-31,5.1946
2006-11-30,4.9858
2006-12-29,4.8240
2007-01-31,4.7837
2007-02-28,4.9218
2007-03-30,5.0399
2007-04-30,5.0990
2007-05-31,5.1124
2007-06-29,5.1946
2007-07-31,5.5366
2007-08-31,5.9855
2007-09-28,6.2604
2007-10-31,5.9986
2007-11-30,5.3837
2007-12-31,4.9488
2008-01-31,4.6008
2008-02-29,4.7047
2008-03-31,4.6362
2008-04-30,4.6005
2008-05-30,4.4986
2008-06-30,4.5659
2008-07-31,4.7665
2008-08-29,5.0448
2008-09-30,5.3943
2008-10-31,5.1061
2008-11-28,4.6308
2008-12-31,4.0793
2009-01-30,4.0695
2009-02-27,3.9491
2009-03-31,3.6741
2009-04-30,3.6141
2009-05-29,3.7922
2009-06-30,4.1805
2009-07-31,4.5336
2009-08-31,5.0127
2009-09-30,5.3382
2009-10-30,5.5357
2009-11-30,5.6677
2009-12-31,5.9686
2010-01-29,6.0651
2010-02-26,6.1390
2010-03-31,6.4453
2010-04-30,6.9523
2010-05-31,0
2010-06-30,7.0318
2010-07-30,6.9922
2010-08-31,7.2473
2010-09-30,7.6293
2010-10-29,7.8342
2010-11-30,8.1008
2010-12-31,8.3135
2011-01-31,8.4547
2011-02-28,8.7085
2011-03-31,8.8905
2011-04-29,9.0573
2011-05-31,9.0421
2011-06-30,8.8517
2011-07-29,8.8556
2011-08-31,8.5922
2011-09-30,8.2222
2011-10-31,7.6739
2011-11-30,7.7042
2011-12-30,8.0443
2012-01-31,8.5612
2012-02-29,9.1886
2012-03-30,9.6197
2012-04-30,9.8495
2012-05-31,9.8751
2012-06-29,10.0377
2012-07-31,10.3423
2012-08-31,10.9090
2012-09-28,11.5383
2012-10-31,12.1881
2012-11-30,12.7940
2012-12-31,13.2157
2013-01-31,13.8543
2013-02-28,14.5441
2013-03-29,0
2013-04-30,15.6753
2013-05-31,16.2629
2013-06-28,16.5084
2013-07-31,17.0506
2013-08-30,17.5722
2013-09-30,18.5767
2013-10-31,19.8098
2013-11-29,21.4854
2013-12-31,22.8279
2014-01-31,23.3237
2014-02-28,22.5199
2014-03-31,21.5690
2014-04-30,20.8625
2014-05-30,20.8852
2014-06-30,21.3917
2014-07-31,21.7307
2014-08-29,21.7303
2014-09-30,21.6447
2014-10-31,21.7805
2014-11-28,22.4795
2014-12-31,23.5341
2015-01-30,24.5914
2015-02-27,25.8436
2015-03-31,27.3298
2015-04-30,28.7256
2015-05-29,29.6826
2015-06-30,31.1049
2015-07-31,31.8426
2015-08-31,31.5589
2015-09-30,30.7437
2015-10-30,30.9925
2015-11-30,32.7050
2015-12-31,34.4206
2016-01-29,33.7188
2016-02-29,32.1879
2016-03-31,31.7049
2016-04-29,33.5641
2016-05-31,35.3277
2016-06-30,36.8808
2016-07-29,38.7203
2016-08-31,41.1999
2016-09-30,42.8723
2016-10-31,43.7834
2016-11-30,43.6794
2016-12-30,44.0795
2017-01-31,44.1975
2017-02-28,44.9156
2017-03-31,45.6294
2017-04-28,46.5003
2017-05-31,47.9994
2017-06-30,49.9106
2017-07-31,51.3287
2017-08-31,51.2738
2017-09-29,51.7461
2017-10-31,53.4106
2017-11-30,55.2750
2017-12-29,56.1820
2018-01-31,57.7124
2018-02-28,58.9448
2018-03-30,0
2018-04-30,59.4110
2018-05-31,59.3373
2018-06-29,58.6243
2018-07-31,57.4741
2018-08-31,55.6982
2018-09-28,54.7886
2018-10-31,50.6904
2018-11-30,46.9111
2018-12-31,42.7893
2019-01-31,42.5760
2019-02-28,44.0556
2019-03-29,46.9155
2019-04-30,49.8315
2019-05-31,48.3246
2019-06-28,46.1258
2019-07-31,42.8014
2019-08-30,42.9906
2019-09-30,43.8878
2019-10-31,45.3693
2019-11-29,46.8088
2019-12-31,46.4615
2020-01-31,45.5880
2020-02-28,43.4802
2020-03-31,40.7325
2020-04-30,38.7745
2020-05-29,39.0879
2020-06-30,42.5301
2020-07-31,45.7247
2020-08-31,47.2700
2020-09-30,48.5942
2020-10-30,50.3435
2020-11-30,52.3470
2020-12-31,53.7990
2021-01-29,54.4403
2021-02-26,55.8624
2021-03-31,59.6609
2021-04-30,63.5636
2021-05-31,0
2021-06-30,67.8684
2021-07-30,68.7201
2021-08-31,69.3495
2021-09-30,68.8277
2021-10-29,67.1770
2021-11-30,70.1372
2021-12-31,76.4370
2022-01-31,80.6600
2022-02-28,78.0062
2022-03-31,71.9754
