,SMA_daily_60
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,52.6778
2007-04-30,55.2965
2007-05-31,57.0055
2007-06-29,58.2412
2007-07-31,58.2515
2007-08-31,56.8157
2007-09-28,56.8810
2007-10-31,57.6477
2007-11-30,58.4539
2007-12-31,57.9331
2008-01-31,57.4696
2008-02-29,56.2077
2008-03-31,51.5537
2008-04-30,45.8414
2008-05-30,42.7867
2008-06-30,41.2519
2008-07-31,36.9739
2008-08-29,34.3017
2008-09-30,33.6711
2008-10-31,29.9131
2008-11-28,22.4227
2008-12-31,15.0614
2009-01-30,12.8042
2009-02-27,13.7241
2009-03-31,12.9940
2009-04-30,13.1310
2009-05-29,14.4588
2009-06-30,16.7955
2009-07-31,18.4358
2009-08-31,19.7863
2009-09-30,21.1189
2009-10-30,20.7189
2009-11-30,20.7316
2009-12-31,21.6382
2010-01-29,23.4080
2010-02-26,23.4448
2010-03-31,23.7576
2010-04-30,23.6145
2010-05-31,0
2010-06-30,21.2949
2010-07-30,19.5619
2010-08-31,19.3797
2010-09-30,20.0451
2010-10-29,21.1538
2010-11-30,22.7883
2010-12-31,24.7137
2011-01-31,26.7532
2011-02-28,28.1914
2011-03-31,29.8052
2011-04-29,30.5516
2011-05-31,31.7807
2011-06-30,33.1938
2011-07-29,34.5763
2011-08-31,33.2356
2011-09-30,31.7801
2011-10-31,30.0699
2011-11-30,30.1227
2011-12-30,30.3049
2012-01-31,30.2623
2012-02-29,30.5541
2012-03-30,31.3031
2012-04-30,32.3422
2012-05-31,31.6704
2012-06-29,31.3744
2012-07-31,31.2319
2012-08-31,33.7178
2012-09-28,36.5282
2012-10-31,40.4647
2012-11-30,42.4648
2012-12-31,43.4172
2013-01-31,44.1144
2013-02-28,45.0676
2013-03-29,0
2013-04-30,47.1035
2013-05-31,48.6233
2013-06-28,49.6418
2013-07-31,49.9900
2013-08-30,49.9900
2013-09-30,49.9900
2013-10-31,0
2013-11-29,0
2013-12-31,0
2014-01-31,0
2014-02-28,0
2014-03-31,0
2014-04-30,0
2014-05-30,0
2014-06-30,0
2014-07-31,0
2014-08-29,0
2014-09-30,0
2014-10-31,0
2014-11-28,0
2014-12-31,0
2015-01-30,0
2015-02-27,0
2015-03-31,0
2015-04-30,0
2015-05-29,0
2015-06-30,0
2015-07-31,0
2015-08-31,0
2015-09-30,0
2015-10-30,0
2015-11-30,0
2015-12-31,0
2016-01-29,0
2016-02-29,0
2016-03-31,0
2016-04-29,0
2016-05-31,0
2016-06-30,0
2016-07-29,0
2016-08-31,0
2016-09-30,0
2016-10-31,0
2016-11-30,0
2016-12-30,0
2017-01-31,0
2017-02-28,0
2017-03-31,0
2017-04-28,0
2017-05-31,0
2017-06-30,0
2017-07-31,0
2017-08-31,0
2017-09-29,0
2017-10-31,0
2017-11-30,0
2017-12-29,0
2018-01-31,0
2018-02-28,0
2018-03-30,0
2018-04-30,0
2018-05-31,0
2018-06-29,0
2018-07-31,0
2018-08-31,0
2018-09-28,0
2018-10-31,0
2018-11-30,0
2018-12-31,0
2019-01-31,0
2019-02-28,0
2019-03-29,0
2019-04-30,0
2019-05-31,0
2019-06-28,0
2019-07-31,0
2019-08-30,0
2019-09-30,0
2019-10-31,0
2019-11-29,0
2019-12-31,0
2020-01-31,0
2020-02-28,0
2020-03-31,0
2020-04-30,0
2020-05-29,0
2020-06-30,0
2020-07-31,0
2020-08-31,0
2020-09-30,0
2020-10-30,0
2020-11-30,0
2020-12-31,0
2021-01-29,0
2021-02-26,0
2021-03-31,0
2021-04-30,0
2021-05-31,0
2021-06-30,0
2021-07-30,0
2021-08-31,0
2021-09-30,0
2021-10-29,0
2021-11-30,0
2021-12-31,0
2022-01-31,0
2022-02-28,0
2022-03-31,0
