,SMA_daily_60
2000-01-31,2.1783
2000-02-29,1.8319
2000-03-31,1.3667
2000-04-28,1.0927
2000-05-31,1.0727
2000-06-30,1.3207
2000-07-31,1.7560
2000-08-31,2.1267
2000-09-29,2.2762
2000-10-31,2.6508
2000-11-30,3.1936
2000-12-29,3.9906
2001-01-31,4.7988
2001-02-28,5.3210
2001-03-30,5.5888
2001-04-30,5.4792
2001-05-31,5.7727
2001-06-29,6.0581
2001-07-31,6.5790
2001-08-31,6.7799
2001-09-28,6.8526
2001-10-31,6.4699
2001-11-30,6.5134
2001-12-31,6.9248
2002-01-31,7.5322
2002-02-28,7.8067
2002-03-29,0
2002-04-30,8.1229
2002-05-31,8.0687
2002-06-28,7.9940
2002-07-31,7.5190
2002-08-30,7.5123
2002-09-30,7.4144
2002-10-31,7.7073
2002-11-29,8.0051
2002-12-31,8.1968
2003-01-31,8.3238
2003-02-28,7.9726
2003-03-31,7.4381
2003-04-30,6.9102
2003-05-30,7.1542
2003-06-30,7.8401
2003-07-31,8.7187
2003-08-29,9.2878
2003-09-30,9.8617
2003-10-31,10.6873
2003-11-28,11.5759
2003-12-31,12.3743
2004-01-30,12.8693
2004-02-27,13.4122
2004-03-31,14.3303
2004-04-30,15.4447
2004-05-31,0
2004-06-30,15.7513
2004-07-30,15.3735
2004-08-31,14.8695
2004-09-30,14.9729
2004-10-29,15.1339
2004-11-30,15.7668
2004-12-31,17.0247
2005-01-31,18.6642
2005-02-28,20.1545
2005-03-31,20.8942
2005-04-29,21.0453
2005-05-31,21.0878
2005-06-30,21.8195
2005-07-29,22.4204
2005-08-31,22.9566
2005-09-30,23.1052
2005-10-31,23.6512
2005-11-30,24.6096
2005-12-30,25.4332
2006-01-31,26.3570
2006-02-28,27.1199
2006-03-31,28.5398
2006-04-28,28.8367
2006-05-31,27.9517
2006-06-30,26.1247
2006-07-31,25.1822
2006-08-31,25.9757
2006-09-29,27.4060
2006-10-31,28.5269
2006-11-30,27.9608
2006-12-29,27.6495
2007-01-31,27.0763
2007-02-28,27.5002
2007-03-30,27.0467
2007-04-30,27.3685
2007-05-31,27.1155
2007-06-29,27.3205
2007-07-31,27.0609
2007-08-31,27.2943
2007-09-28,28.3676
2007-10-31,30.4052
2007-11-30,31.0158
2007-12-31,30.3983
2008-01-31,28.8030
2008-02-29,27.5251
2008-03-31,25.5826
2008-04-30,24.4669
2008-05-30,24.5844
2008-06-30,25.5173
2008-07-31,26.1871
2008-08-29,27.3608
2008-09-30,28.2873
2008-10-31,27.4792
2008-11-28,26.1966
2008-12-31,24.8103
2009-01-30,24.3158
2009-02-27,24.2922
2009-03-31,23.5990
2009-04-30,23.1048
2009-05-29,22.4634
2009-06-30,23.0061
2009-07-31,23.8725
2009-08-31,24.8988
2009-09-30,26.0529
2009-10-30,27.1187
2009-11-30,28.1713
2009-12-31,28.9541
2010-01-29,29.8705
2010-02-26,30.2209
2010-03-31,30.8583
2010-04-30,31.5006
2010-05-31,0
2010-06-30,31.9074
2010-07-30,31.0901
2010-08-31,31.2305
2010-09-30,31.6158
2010-10-29,33.5770
2010-11-30,35.0212
2010-12-31,35.8228
2011-01-31,35.7160
2011-02-28,36.5173
2011-03-31,38.6608
2011-04-29,41.2374
2011-05-31,42.4180
2011-06-30,42.7034
2011-07-29,42.5751
2011-08-31,40.4652
2011-09-30,37.9947
2011-10-31,34.7305
2011-11-30,34.8900
2011-12-30,35.8575
2012-01-31,37.9975
2012-02-29,39.8817
2012-03-30,42.1673
2012-04-30,43.3523
2012-05-31,42.9582
2012-06-29,43.2072
2012-07-31,45.1174
2012-08-31,47.9357
2012-09-28,49.1004
2012-10-31,51.1587
2012-11-30,53.6927
2012-12-31,55.1002
2013-01-31,55.3775
2013-02-28,56.3008
2013-03-29,0
2013-04-30,60.0844
2013-05-31,61.4052
2013-06-28,62.4557
2013-07-31,61.5583
2013-08-30,58.9815
2013-09-30,57.2452
2013-10-31,56.6261
2013-11-29,57.4028
2013-12-31,58.7315
2014-01-31,61.4857
2014-02-28,63.8610
2014-03-31,66.4637
2014-04-30,67.9088
2014-05-30,68.6303
2014-06-30,69.5497
2014-07-31,70.9713
2014-08-29,72.3753
2014-09-30,73.2072
2014-10-31,74.1908
2014-11-28,74.9723
2014-12-31,75.4005
2015-01-30,75.4267
2015-02-27,75.0295
2015-03-31,76.7558
2015-04-30,79.1675
2015-05-29,81.7733
2015-06-30,82.1952
2015-07-31,81.1392
2015-08-31,79.6675
2015-09-30,77.4157
2015-10-30,75.6997
2015-11-30,74.7132
2015-12-31,73.2977
2016-01-29,70.5213
2016-02-29,67.1265
2016-03-31,67.5142
2016-04-29,70.1892
2016-05-31,74.0942
2016-06-30,75.6977
2016-07-29,76.7738
2016-08-31,73.8690
2016-09-30,69.9700
2016-10-31,64.3422
2016-11-30,62.2168
2016-12-30,62.1828
2017-01-31,63.3737
2017-02-28,65.0207
2017-03-31,66.2275
2017-04-28,67.5202
2017-05-31,67.0705
2017-06-30,66.1452
2017-07-31,64.9987
2017-08-31,61.9505
2017-09-29,60.0068
2017-10-31,58.2922
2017-11-30,58.2903
2017-12-29,61.6038
2018-01-31,68.2700
2018-02-28,73.6135
2018-03-30,0
2018-04-30,68.3473
2018-05-31,65.9030
2018-06-29,67.0022
2018-07-31,69.4433
2018-08-31,71.3633
2018-09-28,70.7670
2018-10-31,70.2127
2018-11-30,68.1543
2018-12-31,63.5927
2019-01-31,58.8675
2019-02-28,56.4512
2019-03-29,55.4043
2019-04-30,54.9577
2019-05-31,52.6310
2019-06-28,51.6507
2019-07-31,52.6177
2019-08-30,55.8063
2019-09-30,58.1630
2019-10-31,57.8655
2019-11-29,62.0183
2019-12-31,67.0120
2020-01-31,74.3850
2020-02-28,78.3030
2020-03-31,78.7287
2020-04-30,77.2150
2020-05-29,75.9285
2020-06-30,78.5060
2020-07-31,81.6155
2020-08-31,83.3230
2020-09-30,85.7085
2020-10-30,86.7340
2020-11-30,93.3420
2020-12-31,103.0018
2021-01-29,112.7975
2021-02-26,112.9610
2021-03-31,111.0220
2021-04-30,108.0952
2021-05-31,0
2021-06-30,118.9527
