,SMA_daily_60
2000-01-31,14.2293
2000-02-29,14.4883
2000-03-31,15.1738
2000-04-28,15.7389
2000-05-31,16.6932
2000-06-30,17.6902
2000-07-31,18.7538
2000-08-31,20.5782
2000-09-29,22.1946
2000-10-31,23.5281
2000-11-30,23.8813
2000-12-29,24.2132
2001-01-31,24.0854
2001-02-28,23.9989
2001-03-30,23.2680
2001-04-30,22.3977
2001-05-31,21.8871
2001-06-29,21.9498
2001-07-31,22.7751
2001-08-31,23.9446
2001-09-28,23.9924
2001-10-31,23.8760
2001-11-30,23.0274
2001-12-31,23.1064
2002-01-31,23.1464
2002-02-28,23.1972
2002-03-29,0
2002-04-30,24.6047
2002-05-31,25.4819
2002-06-28,25.9463
2002-07-31,25.5744
2002-08-30,25.6416
2002-09-30,25.2273
2002-10-31,24.9076
2002-11-29,24.7102
2002-12-31,24.9402
2003-01-31,25.7314
2003-02-28,25.9351
2003-03-31,26.1631
2003-04-30,27.0876
2003-05-30,28.4621
2003-06-30,29.6099
2003-07-31,30.4633
2003-08-29,31.3911
2003-09-30,32.5745
2003-10-31,33.3840
2003-11-28,33.4856
2003-12-31,33.9222
2004-01-30,34.0374
2004-02-27,34.1531
2004-03-31,34.3467
2004-04-30,34.5043
2004-05-31,0
2004-06-30,35.0958
2004-07-30,36.4004
2004-08-31,37.7802
2004-09-30,38.9395
2004-10-29,40.7470
2004-11-30,42.8510
2004-12-31,45.0302
2005-01-31,44.9065
2005-02-28,43.8457
2005-03-31,41.7766
2005-04-29,41.2997
2005-05-31,42.4303
2005-06-30,44.9919
2005-07-29,48.1631
2005-08-31,49.9965
2005-09-30,51.2187
2005-10-31,50.5464
2005-11-30,51.6250
2005-12-30,52.2500
2006-01-31,54.7513
2006-02-28,56.4184
2006-03-31,59.6050
2006-04-28,61.2387
2006-05-31,62.8729
2006-06-30,62.9699
2006-07-31,64.9686
2006-08-31,68.1524
2006-09-29,71.5780
2006-10-31,74.0418
2006-11-30,76.1002
2006-12-29,77.4423
2007-01-31,79.2252
2007-02-28,82.2125
2007-03-30,82.4562
2007-04-30,81.3104
2007-05-31,77.8385
2007-06-29,75.8640
2007-07-31,73.2504
2007-08-31,70.5347
2007-09-28,70.1012
2007-10-31,71.9847
2007-11-30,70.4613
2007-12-31,67.1173
2008-01-31,61.6378
2008-02-29,62.3120
2008-03-31,64.5117
2008-04-30,69.7088
2008-05-30,72.7856
2008-06-30,73.6385
2008-07-31,72.9606
2008-08-29,73.1949
2008-09-30,74.4551
2008-10-31,70.3771
2008-11-28,62.3115
2008-12-31,53.4771
2009-01-30,48.2265
2009-02-27,44.3275
2009-03-31,40.2063
2009-04-30,39.6738
2009-05-29,41.8845
2009-06-30,43.0117
2009-07-31,42.3972
2009-08-31,44.3089
2009-09-30,48.0814
2009-10-30,51.7895
2009-11-30,53.4332
2009-12-31,54.8865
2010-01-29,56.3263
2010-02-26,57.0530
2010-03-31,59.0298
2010-04-30,63.3088
2010-05-31,0
2010-06-30,72.4181
2010-07-30,72.8638
2010-08-31,73.0318
2010-09-30,74.9931
2010-10-29,77.1249
2010-11-30,78.9981
2010-12-31,80.0553
2011-01-31,80.6086
2011-02-28,82.1111
2011-03-31,84.1858
2011-04-29,87.6859
2011-05-31,92.2641
2011-06-30,96.1739
2011-07-29,99.3098
2011-08-31,100.0622
2011-09-30,99.8885
2011-10-31,97.9283
2011-11-30,97.0952
2011-12-30,98.7616
2012-01-31,100.8527
2012-02-29,103.8136
2012-03-30,106.6366
2012-04-30,109.8626
2012-05-31,113.4443
2012-06-29,114.4275
2012-07-31,115.4217
2012-08-31,115.6004
2012-09-28,115.9984
2012-10-31,113.4935
2012-11-30,111.1266
2012-12-31,109.4182
2013-01-31,111.1220
2013-02-28,113.9264
2013-03-29,0
2013-04-30,116.8649
2013-05-31,120.2300
2013-06-28,121.5773
2013-07-31,124.5228
2013-08-30,121.7356
2013-09-30,120.2557
2013-10-31,118.4031
2013-11-29,121.0437
2013-12-31,120.5453
2014-01-31,119.1897
2014-02-28,121.7820
2014-03-31,127.7133
2014-04-30,132.7278
2014-05-30,136.6455
2014-06-30,140.9298
2014-07-31,146.7698
2014-08-29,150.0770
2014-09-30,151.2432
2014-10-31,151.0431
2014-11-28,153.8263
2014-12-31,160.8070
2015-01-30,170.0930
2015-02-27,176.6870
2015-03-31,184.0503
2015-04-30,184.7117
2015-05-29,184.6158
2015-06-30,180.5210
2015-07-31,180.3539
2015-08-31,181.2491
2015-09-30,181.4560
2015-10-30,183.6765
2015-11-30,184.6897
2015-12-31,190.2462
2016-01-29,190.3945
2016-02-29,185.2105
2016-03-31,182.4073
2016-04-29,183.1513
2016-05-31,189.5986
2016-06-30,186.6811
2016-07-29,187.8873
2016-08-31,189.6786
2016-09-30,191.9633
2016-10-31,186.9585
2016-11-30,183.8643
2016-12-30,183.8326
2017-01-31,189.6183
2017-02-28,193.3087
2017-03-31,196.4058
2017-04-28,199.0363
2017-05-31,207.1619
2017-06-30,217.7749
2017-07-31,224.1302
2017-08-31,227.4307
2017-09-29,226.9667
2017-10-31,227.1533
2017-11-30,224.2907
2017-12-29,220.5606
2018-01-31,212.5914
2018-02-28,205.1987
2018-03-30,0
2018-04-30,206.4514
2018-05-31,211.2192
2018-06-29,211.3584
2018-07-31,210.4003
2018-08-31,212.4467
2018-09-28,215.6722
2018-10-31,219.6654
2018-11-30,224.3141
2018-12-31,227.6202
2019-01-31,230.5857
2019-02-28,237.7207
2019-03-29,248.4262
2019-04-30,257.9080
2019-05-31,260.5952
2019-06-28,263.5035
2019-07-31,270.4017
2019-08-30,279.6687
2019-09-30,288.6823
2019-10-31,298.5890
2019-11-29,298.9170
2019-12-31,291.8578
2020-01-31,285.1800
2020-02-28,286.2220
2020-03-31,267.4962
2020-04-30,245.0493
2020-05-29,222.6327
2020-06-30,227.6255
2020-07-31,222.0148
2020-08-31,214.5913
2020-09-30,205.7441
2020-10-30,201.2690
2020-11-30,211.1624
2020-12-31,222.5734
2021-01-29,233.2439
2021-02-26,237.8640
2021-03-31,251.4419
2021-04-30,268.5774
2021-05-31,0
2021-06-30,288.4888
2021-07-30,301.0621
2021-08-31,311.6287
2021-09-30,318.6296
2021-10-29,321.4166
2021-11-30,329.6146
2021-12-31,337.1551
2022-01-31,339.8688
2022-02-28,333.4210
2022-03-31,331.2979
