,SMA_daily_60
2000-01-31,27.2908
2000-02-29,33.9929
2000-03-31,41.5660
2000-04-28,44.1335
2000-05-31,44.1281
2000-06-30,48.2238
2000-07-31,55.2186
2000-08-31,64.4583
2000-09-29,69.3687
2000-10-31,70.4016
2000-11-30,61.4287
2000-12-29,52.5582
2001-01-31,45.5374
2001-02-28,39.8172
2001-03-30,29.7075
2001-04-30,20.5327
2001-05-31,16.5816
2001-06-29,14.7802
2001-07-31,12.7683
2001-08-31,11.0959
2001-09-28,10.0807
2001-10-31,8.2172
2001-11-30,6.5892
2001-12-31,6.4304
2002-01-31,6.6929
2002-02-28,6.2121
2002-03-29,0
2002-04-30,5.2896
2002-05-31,5.0254
2002-06-28,4.1309
2002-07-31,3.2022
2002-08-30,2.1487
2002-09-30,1.6826
2002-10-31,1.2844
2002-11-29,1.6399
2002-12-31,2.1294
2003-01-31,2.7686
2003-02-28,3.0743
2003-03-31,3.6182
2003-04-30,4.0331
2003-05-30,4.3292
2003-06-30,4.7852
2003-07-31,5.4113
2003-08-29,5.8009
2003-09-30,6.1605
2003-10-31,6.8966
2003-11-28,7.6661
2003-12-31,8.0003
2004-01-30,8.3803
2004-02-27,8.6469
2004-03-31,8.9229
2004-04-30,8.5648
2004-05-31,0
2004-06-30,8.6408
2004-07-30,8.8729
2004-08-31,8.5862
2004-09-30,8.1899
2004-10-29,7.8761
2004-11-30,8.3619
2004-12-31,8.4924
2005-01-31,8.6682
2005-02-28,8.4780
2005-03-31,8.3738
2005-04-29,8.5275
2005-05-31,9.3354
2005-06-30,10.7196
2005-07-29,11.9796
2005-08-31,13.1711
2005-09-30,14.0287
2005-10-31,14.0785
2005-11-30,14.3171
2005-12-30,14.5414
2006-01-31,15.7666
2006-02-28,16.6905
2006-03-31,18.4116
2006-04-28,19.1678
2006-05-31,19.4077
2006-06-30,18.2604
2006-07-31,16.7886
2006-08-31,15.4370
2006-09-29,15.6287
2006-10-31,16.4709
2006-11-30,16.5268
2006-12-29,15.6718
2007-01-31,14.8022
2007-02-28,14.9650
2007-03-30,15.5089
2007-04-30,16.4593
2007-05-31,17.1369
2007-06-29,17.9997
2007-07-31,18.5157
2007-08-31,18.2626
2007-09-28,17.9432
2007-10-31,17.8488
2007-11-30,17.7714
2007-12-31,17.7348
2008-01-31,17.1884
2008-02-29,17.3057
2008-03-31,17.1979
2008-04-30,17.9436
2008-05-30,18.8271
2008-06-30,19.3188
2008-07-31,17.9388
2008-08-29,16.4036
2008-09-30,14.1301
2008-10-31,11.8420
2008-11-28,9.2592
2008-12-31,7.3646
2009-01-30,7.0002
2009-02-27,7.3338
2009-03-31,8.1803
2009-04-30,9.4584
2009-05-29,10.4104
2009-06-30,11.2745
2009-07-31,11.5591
2009-08-31,11.9798
2009-09-30,11.9449
2009-10-30,11.7036
2009-11-30,11.7887
2009-12-31,12.6888
2010-01-29,13.6793
2010-02-26,14.1043
2010-03-31,14.1710
2010-04-30,14.4098
2010-05-31,0
2010-06-30,13.9531
2010-07-30,13.2702
2010-08-31,13.2358
2010-09-30,13.1693
2010-10-29,13.3388
2010-11-30,13.7556
2010-12-31,14.1892
2011-01-31,14.6093
2011-02-28,15.6904
2011-03-31,16.4171
2011-04-29,16.3548
2011-05-31,15.7472
2011-06-30,14.9463
2011-07-29,14.1746
2011-08-31,12.5887
2011-09-30,11.3462
2011-10-31,10.6124
2011-11-30,10.6504
2011-12-30,10.7109
2012-01-31,10.6819
2012-02-29,10.4377
2012-03-30,10.6091
2012-04-30,10.6443
2012-05-31,10.5994
2012-06-29,10.3293
2012-07-31,9.9293
2012-08-31,9.5346
2012-09-28,9.5210
2012-10-31,9.8385
2012-11-30,9.8218
2012-12-31,9.7772
2013-01-31,9.6615
2013-02-28,9.9176
2013-03-29,0
2013-04-30,10.3441
2013-05-31,11.2184
2013-06-28,11.7320
2013-07-31,12.1238
2013-08-30,11.9483
2013-09-30,11.9782
2013-10-31,12.0826
2013-11-29,12.7263
2013-12-31,13.4796
2014-01-31,14.2061
2014-02-28,14.6934
2014-03-31,15.3863
2014-04-30,16.2553
2014-05-30,16.9196
2014-06-30,17.4276
2014-07-31,17.6845
2014-08-29,17.4461
2014-09-30,17.1407
2014-10-31,16.3707
2014-11-28,16.4492
2014-12-31,16.9913
2015-01-30,18.3098
2015-02-27,19.3396
2015-03-31,19.8402
2015-04-30,19.5182
2015-05-29,18.6089
2015-06-30,17.8924
2015-07-31,16.9981
2015-08-31,15.9751
2015-09-30,15.0743
2015-10-30,14.7164
2015-11-30,15.1536
2015-12-31,15.4592
2016-01-29,15.4246
2016-02-29,15.3404
2016-03-31,15.8643
2016-04-29,16.8056
2016-05-31,17.0574
2016-06-30,17.2167
2016-07-29,17.5749
2016-08-31,18.6001
2016-09-30,19.4411
2016-10-31,20.0113
2016-11-30,20.2750
2016-12-30,20.7347
2017-01-31,21.2950
2017-02-28,22.2998
2017-03-31,23.3887
2017-04-28,23.9716
2017-05-31,24.5884
2017-06-30,25.4083
2017-07-31,26.3664
2017-08-31,26.2614
2017-09-29,26.2093
2017-10-31,26.2455
2017-11-30,27.3098
2017-12-29,28.1076
2018-01-31,29.1729
2018-02-28,28.5470
2018-03-30,0
2018-04-30,25.5837
2018-05-31,24.9517
2018-06-29,24.9190
2018-07-31,25.8118
2018-08-31,27.7296
2018-09-28,29.6698
2018-10-31,30.3476
2018-11-30,30.1394
2018-12-31,28.9422
2019-01-31,28.4104
2019-02-28,28.9962
2019-03-29,30.1234
2019-04-30,31.4189
2019-05-31,30.1515
2019-06-28,29.5106
2019-07-31,29.3345
2019-08-30,28.7124
2019-09-30,27.5483
2019-10-31,26.5521
2019-11-29,27.1538
2019-12-31,27.2584
2020-01-31,27.3171
2020-02-28,26.7377
2020-03-31,24.4614
2020-04-30,21.6291
2020-05-29,19.8957
2020-06-30,21.7819
2020-07-31,24.5950
2020-08-31,28.0406
