,SMA_daily_60
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,20.4894
2004-09-30,20.9574
2004-10-29,21.4159
2004-11-30,22.7175
2004-12-31,23.8536
2005-01-31,24.6261
2005-02-28,25.1573
2005-03-31,25.8311
2005-04-29,26.3033
2005-05-31,26.3124
2005-06-30,26.8891
2005-07-29,28.2237
2005-08-31,29.3505
2005-09-30,29.7598
2005-10-31,29.4707
2005-11-30,29.9443
2005-12-30,31.0258
2006-01-31,31.9523
2006-02-28,31.9577
2006-03-31,31.6921
2006-04-28,31.7259
2006-05-31,31.7493
2006-06-30,31.7013
2006-07-31,31.8799
2006-08-31,32.3780
2006-09-29,32.8697
2006-10-31,33.2578
2006-11-30,32.8219
2006-12-29,32.3785
2007-01-31,32.1477
2007-02-28,33.1477
2007-03-30,33.5521
2007-04-30,33.8814
2007-05-31,33.8818
2007-06-29,34.1128
2007-07-31,33.4778
2007-08-31,31.0099
2007-09-28,29.3601
2007-10-31,28.3275
2007-11-30,27.0115
2007-12-31,25.6124
2008-01-31,23.9445
2008-02-29,23.3592
2008-03-31,22.2907
2008-04-30,22.2993
2008-05-30,22.2871
2008-06-30,21.4308
2008-07-31,19.0509
2008-08-29,16.6769
2008-09-30,14.5897
2008-10-31,10.5139
2008-11-28,6.4256
2008-12-31,3.2308
2009-01-30,2.4040
2009-02-27,2.3875
2009-03-31,2.0032
2009-04-30,1.8783
2009-05-29,2.8300
2009-06-30,4.5992
2009-07-31,6.0450
2009-08-31,7.1078
2009-09-30,8.8613
2009-10-30,10.5165
2009-11-30,11.2892
2009-12-31,11.1320
2010-01-29,11.8388
2010-02-26,13.0217
2010-03-31,14.9972
2010-04-30,16.7000
2010-05-31,0
2010-06-30,15.9842
2010-07-30,14.7252
2010-08-31,13.5353
2010-09-30,12.7955
2010-10-29,12.2652
2010-11-30,12.2828
2010-12-31,12.5130
2011-01-31,12.8695
2011-02-28,13.3610
2011-03-31,13.3193
2011-04-29,12.8883
2011-05-31,12.2547
2011-06-30,11.2747
2011-07-29,10.2720
2011-08-31,8.5570
2011-09-30,7.0158
2011-10-31,6.0151
2011-11-30,5.9781
2011-12-30,6.2253
2012-01-31,6.7735
2012-02-29,7.6401
2012-03-30,8.5293
2012-04-30,8.2922
2012-05-31,6.9993
2012-06-29,5.7652
2012-07-31,5.2593
2012-08-31,5.1148
2012-09-28,5.2069
2012-10-31,5.3884
2012-11-30,5.5988
2012-12-31,6.0425
2013-01-31,7.1247
2013-02-28,8.1497
2013-03-29,0
